category_id,volume,citation,institutions,persistence,current
N0001,0.586,0.914,0.652,0.5833333333333334,0.342
N0002,0.338,0.082,0.23,0.4166666666666667,0.182
N0003,0.98,0.962,0.992,1.0,0.912
N0004,0.89,0.186,0.872,0.6666666666666666,0.342
N0005,0.23,0.766,0.442,0.25,0.028
N0006,0.944,0.236,0.914,0.6666666666666666,0.536
N0007,0.998,0.944,0.998,1.0,0.994
N0008,0.95,0.874,0.946,0.75,0.774
N0009,0.946,0.146,0.878,0.6666666666666666,0.368
N0010,0.822,0.152,0.706,0.8333333333333334,0.852
N0011,0.924,0.642,0.956,1.0,0.782
N0012,0.022,0.018,0.024,0.0,0.012
N0013,0.974,0.942,0.968,1.0,0.972
N0014,0.01,0.404,0.014,0.0,0.028
N0015,0.752,0.22,0.668,0.75,0.492
N0016,0.93,0.226,0.898,1.0,0.958
N0017,0.996,0.38,0.996,1.0,0.996
N0018,0.268,0.732,0.36,0.25,0.286
N0019,0.976,0.762,0.984,1.0,0.966
N0020,0.81,0.15,0.81,0.8333333333333334,0.672
N0021,1.0,0.828,1.0,1.0,0.998
N0022,0.4,0.12,0.248,0.4166666666666667,0.342
N0023,0.426,0.692,0.578,0.3333333333333333,0.368
N0024,0.618,0.056,0.284,0.5,0.126
N0025,0.966,0.91,0.98,1.0,0.964
N0026,0.634,0.74,0.802,0.5,0.396
N0027,0.818,0.188,0.762,0.9166666666666666,0.754
N0028,0.934,0.882,0.944,1.0,0.93
N0029,0.7,0.064,0.508,0.75,0.768
N0030,0.622,0.704,0.706,0.5833333333333334,0.492
N0031,0.96,0.684,0.94,1.0,0.944
N0032,0.952,0.81,0.964,1.0,0.972
N0033,0.972,0.838,0.972,1.0,0.95
N0034,0.992,0.648,0.976,1.0,0.984
N0035,0.866,0.748,0.884,0.9166666666666666,0.926
N0036,0.214,0.398,0.23,0.25,0.086
N0037,0.948,0.452,0.958,1.0,0.956
N0038,0.978,0.084,0.954,0.9166666666666666,0.978
N0039,0.876,0.192,0.816,0.9166666666666666,0.904
N0040,0.182,0.284,0.16,0.08333333333333333,0.368
N0041,0.984,0.952,0.988,1.0,0.974
N0042,0.314,0.488,0.498,0.16666666666666666,0.182
N0043,0.912,0.594,0.96,1.0,0.91
N0044,0.858,0.364,0.778,0.8333333333333334,0.816
N0045,0.186,0.292,0.29,0.0,0.26
N0046,0.774,0.476,0.772,0.6666666666666666,0.808
N0047,0.906,0.232,0.814,1.0,0.898
N0048,0.418,0.63,0.554,0.4166666666666667,0.23
N0049,0.596,0.022,0.318,0.5833333333333334,0.23
N0050,0.908,0.886,0.962,0.8333333333333334,0.754
N0051,0.684,0.706,0.752,0.6666666666666666,0.634
N0052,0.066,0.14,0.088,0.0,0.152
N0053,0.816,0.218,0.734,1.0,0.808
N0054,0.71,0.406,0.59,0.5833333333333334,0.508
N0055,0.132,0.708,0.2,0.08333333333333333,0.342
N0056,0.096,0.366,0.16,0.08333333333333333,0.286
N0057,0.46,0.45,0.384,0.5,0.306
N0058,0.722,0.712,0.798,0.75,0.536
N0059,0.288,0.31,0.372,0.3333333333333333,0.23
N0060,0.898,0.854,0.904,1.0,0.898
N0061,0.896,0.678,0.908,1.0,0.866
N0062,0.674,0.68,0.72,0.8333333333333334,0.492
N0063,0.988,0.296,0.966,1.0,0.982
N0064,0.994,0.846,0.994,0.9166666666666666,0.964
N0065,0.79,0.458,0.762,0.9166666666666666,0.696
N0066,0.614,0.324,0.616,0.5833333333333334,0.696
N0067,0.67,0.246,0.676,0.5,0.342
