split,year,documents,metadata_fraction,title_only_fraction
replay,2025,12000,1.0,0.35541666666666666
replay,2026,6000,1.0,0.36966666666666664
train,2010,8000,1.0,0.391
train,2011,8000,1.0,0.384
train,2012,8000,1.0,0.384625
train,2013,8000,1.0,0.38825
train,2014,8000,1.0,0.39375
train,2015,8000,1.0,0.421375
train,2016,8000,1.0,0.44325
train,2017,8000,1.0,0.420875
train,2018,8000,1.0,0.418875
train,2019,8000,1.0,0.409125
train,2020,8000,1.0,0.397
train,2021,8000,1.0,0.3635
train,2022,8000,1.0,0.363875
train,2023,8000,1.0,0.33575
validation,2024,12000,1.0,0.3670833333333333
