category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter,core_numeric_candidate,emerging_numeric_candidate,core_failed_gates,emerging_failed_gates,core_rank,emerging_rank,abstract_available_core_candidate,abstract_available_emerging_candidate,abstract_available_multiyear_ratio,abstract_available_yoy_ratio,title_year_dedup_core_candidate,title_year_dedup_emerging_candidate,title_year_dedup_multiyear_ratio,title_year_dedup_yoy_ratio,exclude_jan1_core_candidate,exclude_jan1_emerging_candidate,exclude_jan1_multiyear_ratio,exclude_jan1_yoy_ratio,assignment_margin_core_candidate,assignment_margin_emerging_candidate,assignment_margin_multiyear_ratio,assignment_margin_yoy_ratio,equal_quarter_quota_core_candidate,equal_quarter_quota_emerging_candidate,equal_quarter_quota_multiyear_ratio,equal_quarter_quota_yoy_ratio,core_robust_candidate,emerging_robust_candidate,scope_review_status
N0343,Software deployment / Carbon capture and storage (timeline) / Scalability,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,98,11973,0.008058578090485151,17,11985,0.0014303228442991418,12,9992,0.001220464752977934,22,7998,0.002727934044616877,28,7996,0.0034562211981566822,98,17,5.634097310690619,3,51,17.0,0.0017929072139646507,4.494698904504511,2.3316152608470366,0.9437526970575103,4,4,3,127,0.0035697885625874093,7,1,0.5833333333333334,157,208,28.333333333333332,5.386363636363637,0.3502608463390473,0.0017038875103391232,4.729524714270169,3.37631831162736,3.3697964291303486e-24,5.616327381883914e-22,70.32000000000001,99.75,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence,,124,1,False,True,4.443207374390198,5.967785111844518,False,True,4.4567016738069345,5.582856674011909,False,True,4.208125079432914,5.440347071583513,False,True,4.409340236619164,4.9105841833355415,False,True,4.612235815481031,5.296296296296296,False,True,待主题与代表文献审阅
N0332,Key (lock) / Process management / Sustainable energy,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,114,11973,0.009367585699091876,31,11985,0.002574581119738455,14,9992,0.0014157391134544035,10,7998,0.0012730358874878758,19,7996,0.0023647829250545717,114,31,3.63848923899648,3,55,18.333333333333332,0.0017544520402269115,5.3393227539467665,3.63848923899648,0.9448018319064992,4,4,3,159,0.004452635310761578,7,2,0.5833333333333334,167,233,31.666666666666668,5.142857142857142,0.25264601931598474,0.001836228287841191,5.101536536127062,3.7023418830635606,1.5549834917259315e-29,3.887458729314829e-27,69.78999999999999,99.59,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence,,130,2,False,True,5.39726027201776,3.8346661589235844,False,True,5.300597549729305,3.6105654273524315,False,True,6.027432510548184,4.246963861466495,False,True,5.056027087201409,4.220448027839736,False,True,4.870542338611018,3.2127659574468086,False,True,待主题与代表文献审阅
N0127,Work (physics) / Mechanical engineering / Thermodynamics,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,66,11973,0.005440562873271701,13,11985,0.001103391908459338,9,9992,0.0009275532122632298,14,7998,0.0017580019398642096,14,7996,0.001758428328886733,66,13,4.930761981813279,3,36,12.0,0.0012629823535289257,4.3077109177892385,3.0939918243447204,0.8845438196502733,4,4,3,88,0.0024905026646647563,5,1,0.4166666666666667,81,103,17.666666666666668,4.392857142857142,0.1508709376815702,0.001207609594706369,4.505233228620196,3.0086308598111264,2.814809866939557e-16,3.518512333674446e-14,53.279999999999994,99.55,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence,,225,3,False,True,4.576749979437121,5.008038661008958,False,True,4.250094471920165,4.861803960179412,False,True,4.963220119977255,9.179820902163634,False,False,4.875803050793767,3.117153438117344,False,True,3.711307684837119,4.866666666666667,False,False,待主题与代表文献审阅
N0193,Robustness (evolution) / Control engineering / Robust control,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,171,11973,0.014030925304753333,38,11985,0.003146710257458112,35,9992,0.0034661198984573325,46,7998,0.005637730358874879,42,7996,0.005154014067426631,171,38,4.458918729965117,3,119,39.666666666666664,0.004083520171596774,3.435987754473816,2.4887542347011933,0.6991140301849286,4,4,3,244,0.006881251820222926,12,3,1.0,275,379,75.66666666666667,3.5999999999999996,0.3502539632521099,0.003953680727874277,3.5488260864951418,2.8096594306488383,5.761589192950443e-31,2.8807945964752215e-28,83.49,99.37,False,False,多年背景上持续抬升,2026Q2,True,True,,,59,4,False,True,3.3555212158024563,3.5657554885923375,True,True,3.401731365975947,4.411628001142278,False,True,3.608216637168154,5.415788205147722,False,True,3.8043812968902553,4.952376389151162,False,True,3.584850669524241,4.454545454545454,False,True,待主题与代表文献审阅
N0358,Raw material / Biorefinery / Metallurgy,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,33,11973,0.0027407346805203305,12,11985,0.001021659174499387,12,9992,0.001220464752977934,7,7998,0.0009093113482056256,12,7996,0.0015158864904195974,33,12,2.6826311052932996,3,31,10.333333333333334,0.001050478425227649,2.6090347166591132,1.8080078540456515,0.4044971423839989,4,3,3,57,0.0016609528693325507,4,1,0.3333333333333333,62,107,20.0,3.0,0.43107964181966296,0.0010421836228287841,2.6298001815468885,1.6168202019697842,2.2429525505946472e-05,0.0014842063617704225,50.71,97.21,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence | current_volume,,243,6,False,False,2.1752880339238603,2.0675388967468176,False,True,2.613272322604179,2.6854972103708565,False,True,2.833601078195394,3.0527149399166755,False,False,2.9410544377899206,2.422554863778867,False,False,2.660067033639224,2.764705882352941,False,False,待主题与代表文献审阅
N0337,Efficient energy use / Energy conservation / Energy accounting,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,38,11973,0.0031497995582099323,15,11985,0.00126685737637924,12,9992,0.001220464752977934,15,7998,0.001879243452958293,13,7996,0.001637157409653165,38,15,2.486309522238614,3,42,14.0,0.0014555218607718223,2.164034524730314,1.6760997907171304,0.4740535436153577,4,4,3,65,0.0018790405625223685,7,1,0.5833333333333334,60,101,23.0,2.5416666666666665,0.39676934712815376,0.0014061207609594706,2.2400633328681225,1.4483377591349686,8.55957911634902e-05,0.0038907177801586453,55.42,96.71000000000001,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence | current_volume,,207,8,False,True,3.0792984307526234,2.740178217821782,False,True,2.1676722314371792,2.488965878653779,False,True,2.385070578060553,2.482658887476002,False,False,2.302227886182515,2.422554863778867,False,True,2.1642680009010307,2.4782608695652173,False,False,待主题与代表文献审阅
N0339,Modular design / Scalability / High-voltage direct current,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,45,11973,0.0037224903869753742,15,11985,0.00126685737637924,20,9992,0.002001562194883812,15,7998,0.001879243452958293,11,7996,0.0013946155711860296,45,15,2.938365799009271,3,50,16.666666666666668,0.0017158876747404483,2.169425447699222,1.859792514312282,0.31023246502888746,4,4,3,80,0.002330303319412809,7,1,0.5833333333333334,80,134,28.0,2.793103448275862,0.347046796778102,0.0016708023159636063,2.227965781115459,1.4925139074518856,2.374730178832676e-05,0.0014842063617704225,59.870000000000005,96.41,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence | current_volume,,183,9,False,True,1.9773308344072584,2.561847046773643,False,True,2.173109608325468,2.9415051293181023,False,True,2.014705172550015,3.1954880694143166,False,True,2.0404782519731848,2.239226387601007,False,True,2.1907277346488923,2.6,False,True,待主题与代表文献审阅
N0395,Turbulence / Turbulence kinetic energy / Reynolds number,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,30,11973,0.00249529575390657,9,11985,0.0007764609726195341,13,9992,0.0013181019332161687,8,7998,0.001030552861299709,10,7996,0.0012733446519524619,30,9,3.213678268320724,3,30,10.0,0.001041705255711804,2.3953951851779016,1.8930977119637842,0.31910724420710723,4,3,3,52,0.0015299528865807576,4,1,0.3333333333333333,43,83,22.0,1.9130434782608696,0.31619172889547775,0.0010090984284532672,2.4727971856336417,1.4969735017346615,0.00011527406816147127,0.004710521375525376,40.14,96.11,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence | current_volume,,297,10,False,False,2.2196397931742795,3.151848184818482,False,True,2.4639199579411297,3.595595474816116,False,True,2.190864458743414,3.074816043554081,False,False,2.5731933296969607,2.1375484092166475,False,False,1.9409134795443066,3.0,False,False,待主题与代表文献审阅
N0197,Nonlinear system / Finite element method / Structural engineering,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,37,11973,0.0030679865826720117,16,11985,0.001348590110339191,15,9992,0.0015133762936926382,11,7998,0.0013942774005819593,15,7996,0.0018796992481203006,37,16,2.2749585356964888,3,42,14.0,0.0014187479348712628,2.1624606508769304,1.6321688619815102,0.3533391996481985,4,4,3,68,0.001976650995567947,6,1,0.5,68,112,25.333333333333332,2.6202531645569622,0.3654584617645882,0.0014061207609594706,2.1818798696767425,1.4064362130887762,0.00015691743365683518,0.0052305811218945055,54.46000000000001,95.61,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence | current_volume,,215,11,False,False,2.132809082323982,1.8224972497249725,False,True,2.1082434327456125,2.216658710505117,False,True,2.3551958696712525,2.482658887476002,False,False,1.9614527616848185,2.011001141746936,False,False,2.2612474450330913,2.578947368421053,False,False,待主题与代表文献审阅
N0369,Government (linguistics) / Public economics / Economic growth,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,39,11973,0.0032316125337478524,23,11985,0.0019207192480588475,8,9992,0.0008299160320249952,10,7998,0.0012730358874878758,11,7996,0.0013946155711860296,39,23,1.6825012489534033,3,41,13.666666666666666,0.001341223722523906,2.409450772065547,1.6825012489534033,0.6797059993280188,4,4,3,70,0.001994082604610565,6,1,0.5,48,84,16.0,2.8823529411764706,0.21529618053214394,0.0013730355665839537,2.3536262369284056,1.52237076105464,3.088778670844075e-05,0.0015526038422119287,48.06,94.39,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence | current_volume,,260,13,False,False,2.3169693808843785,2.488301198540907,False,True,2.4131112910805683,1.6842988220014103,False,True,2.820016998444178,2.643181489515546,False,False,2.8733281888943316,2.160657040667638,False,True,2.897977559637023,2.28,False,False,待主题与代表文献审阅
