category_id,multiyear_growth,recent_growth,trend,quarter_consistency,institution_expansion
N0001,0.178,0.114,0.094,0.25,0.23
N0002,0.286,0.228,0.158,0.25,0.116
N0003,0.346,0.568,0.222,0.75,0.338
N0004,0.004,0.006,0.004,0.0,0.004
N0005,0.002,0.002,0.002,0.0,0.002
N0006,0.058,0.032,0.046,0.25,0.182
N0007,0.616,0.59,0.616,0.75,0.626
N0008,0.222,0.128,0.256,0.25,0.18
N0009,0.05,0.016,0.058,0.0,0.132
N0010,0.744,0.468,0.796,0.5,0.236
N0011,0.068,0.052,0.076,0.25,0.044
N0012,0.078,0.026,0.224,0.0,0.03
N0013,0.614,0.922,0.46,1.0,0.698
N0014,0.022,0.086,0.048,0.5,0.05
N0015,0.194,0.184,0.278,0.0,0.176
N0016,0.868,0.776,0.888,1.0,0.892
N0017,0.506,0.388,0.348,0.5,0.66
N0018,0.434,0.454,0.266,0.25,0.542
N0019,0.488,0.66,0.476,0.5,0.47
N0020,0.192,0.308,0.23,0.75,0.046
N0021,0.43,0.348,0.528,0.25,0.258
N0022,0.246,0.218,0.316,0.25,0.37
N0023,0.404,0.264,0.298,0.5,0.396
N0024,0.012,0.008,0.01,0.0,0.02
N0025,0.698,0.274,0.952,0.25,0.546
N0026,0.084,0.05,0.052,0.0,0.088
N0027,0.48,0.484,0.374,0.5,0.62
N0028,0.762,0.43,0.846,0.5,0.688
N0029,0.524,0.39,0.516,0.5,0.6
N0030,0.322,0.124,0.446,0.25,0.406
N0031,0.276,0.374,0.326,0.5,0.392
N0032,0.924,0.902,0.824,1.0,0.924
N0033,0.558,0.44,0.478,0.25,0.504
N0034,0.598,0.526,0.548,0.5,0.408
N0035,0.864,0.732,0.884,0.75,0.894
N0036,0.086,0.04,0.114,0.0,0.116
N0037,0.56,0.64,0.608,0.75,0.576
N0038,0.79,0.53,0.756,0.75,0.836
N0039,0.496,0.45,0.482,0.5,0.506
N0040,0.608,0.812,0.578,1.0,0.68
N0041,0.412,0.322,0.45,0.25,0.448
N0042,0.152,0.998,0.09,0.75,0.098
N0043,0.394,0.518,0.302,0.75,0.42
N0044,0.364,0.134,0.564,0.0,0.4
N0045,0.154,0.206,0.116,0.25,0.154
N0046,0.814,0.328,0.848,0.5,0.812
N0047,0.476,0.362,0.442,0.25,0.54
N0048,0.316,0.454,0.266,0.5,0.276
N0049,0.08,0.092,0.044,0.25,0.082
N0050,0.358,0.16,0.556,0.0,0.35
N0051,0.71,0.468,0.796,0.25,0.858
N0052,0.096,0.352,0.18,0.5,0.206
N0053,0.674,0.544,0.588,0.75,0.796
N0054,0.148,0.398,0.13,0.5,0.198
N0055,0.862,0.506,0.986,0.5,0.502
N0056,0.146,0.518,0.08,0.75,0.3
N0057,0.216,0.164,0.254,0.25,0.24
N0058,0.17,0.086,0.226,0.25,0.104
N0059,0.208,0.07,0.836,0.0,0.382
N0060,0.456,0.314,0.43,0.5,0.466
N0061,0.504,0.358,0.57,0.25,0.74
N0062,0.15,0.176,0.206,0.0,0.194
N0063,0.582,0.38,0.532,0.0,0.65
N0064,0.632,0.336,0.574,0.25,0.63
N0065,0.374,0.43,0.3,0.5,0.53
N0066,0.824,0.58,0.818,0.5,0.866
N0067,0.13,0.102,0.134,0.25,0.13
N0068,0.204,0.26,0.13,0.25,0.196
N0069,0.172,0.086,0.39,0.5,0.25
N0070,0.796,0.76,0.784,1.0,0.656
N0071,0.048,0.1,0.072,0.25,0.062
N0072,0.51,0.984,0.54,1.0,0.306
N0073,0.196,0.18,0.18,0.5,0.212
N0074,0.462,0.648,0.694,0.75,0.324
N0075,0.836,0.772,0.56,0.75,0.51
N0076,0.746,0.394,0.81,0.5,0.818
N0077,0.324,0.422,0.254,0.5,0.302
N0078,0.378,0.284,0.368,0.5,0.322
N0079,0.028,0.054,0.04,0.0,0.054
N0080,0.54,0.678,0.746,0.5,0.652
N0081,0.474,0.46,0.34,0.5,0.438
N0082,0.69,0.81,0.762,1.0,0.876
N0083,0.108,0.122,0.074,0.25,0.124
N0084,0.398,0.162,0.434,0.0,0.402
N0085,0.026,0.018,0.09,0.0,0.018
N0086,0.47,0.384,0.442,0.25,0.566
N0087,0.97,0.868,0.968,1.0,0.774
N0088,0.856,0.436,0.944,0.5,0.968
N0089,0.768,0.578,0.776,0.75,0.966
N0090,0.658,0.98,0.454,1.0,0.76
N0091,0.96,0.944,1.0,0.75,0.83
N0092,0.644,0.262,0.796,0.0,0.522
N0093,0.628,0.604,0.906,0.75,0.126
N0094,0.554,0.22,0.726,0.0,0.658
N0095,0.894,0.62,0.84,0.75,0.856
N0096,0.046,0.034,0.042,0.0,0.026
N0097,0.438,0.838,0.522,1.0,0.71
N0098,0.01,0.004,0.012,0.0,0.012
N0099,0.344,0.382,0.584,0.5,0.628
N0100,0.008,0.012,0.018,0.0,0.014
N0101,0.936,0.964,0.894,0.75,0.896
N0102,0.652,0.408,0.656,0.25,0.764
N0103,0.81,0.962,0.796,1.0,0.948
N0104,0.07,0.028,0.122,0.0,0.032
N0105,0.482,0.246,0.86,0.25,0.55
N0106,0.602,0.794,0.636,0.75,0.724
N0107,0.414,0.414,0.248,0.5,0.564
N0108,0.292,0.252,0.418,0.25,0.184
N0109,0.766,0.616,0.77,0.75,0.758
N0110,0.486,0.332,0.668,0.5,0.32
N0111,0.64,0.478,0.766,0.25,0.56
N0112,0.396,0.532,0.372,0.5,0.368
N0113,0.648,0.546,0.958,0.5,0.34
N0114,0.772,0.248,0.968,0.25,0.498
N0115,0.806,0.72,0.766,0.75,0.732
N0116,0.28,0.244,0.338,0.25,0.052
N0117,0.182,0.168,0.124,0.0,0.226
N0118,0.308,0.232,0.352,0.0,0.214
N0119,0.714,0.302,0.698,0.0,0.604
N0120,0.052,0.06,0.036,0.25,0.202
N0121,0.672,0.638,0.674,0.75,0.636
N0122,0.37,0.61,0.356,0.5,0.816
N0123,0.272,0.186,0.43,0.0,0.204
N0124,0.498,0.554,0.5,0.5,0.39
N0125,0.34,0.316,0.628,0.25,0.474
N0126,0.6,0.288,0.448,0.25,0.5
N0127,0.998,0.976,0.994,1.0,1.0
N0128,0.12,0.242,0.108,0.5,0.148
N0129,0.23,0.228,0.288,0.0,0.314
N0130,0.786,0.604,0.52,0.5,0.946
N0131,0.732,0.686,0.672,0.75,0.714
N0132,0.106,0.144,0.184,0.25,0.06
N0133,0.826,0.722,0.868,0.75,0.608
N0134,0.788,0.944,0.544,1.0,0.938
N0135,0.718,0.926,0.636,1.0,0.678
N0136,0.128,0.064,0.312,0.25,0.064
N0137,0.408,0.214,0.506,0.0,0.702
N0138,0.956,0.916,0.872,1.0,0.742
N0139,0.318,0.672,0.306,0.5,0.374
N0140,0.042,0.048,0.032,0.25,0.066
N0141,0.066,0.04,0.054,0.0,0.034
N0142,0.016,0.014,0.016,0.0,0.008
N0143,0.134,0.106,0.1,0.0,0.138
N0144,0.094,0.058,0.072,0.25,0.192
N0145,0.288,0.432,0.246,0.25,0.136
N0146,0.83,0.892,0.652,0.75,0.86
N0147,0.58,0.482,0.622,0.5,0.57
N0148,0.356,0.356,0.298,0.5,0.162
N0149,0.072,0.074,0.066,0.0,0.09
N0150,0.064,0.07,0.084,0.0,0.036
N0151,0.226,0.326,0.194,0.5,0.128
N0152,0.906,0.974,0.746,0.75,0.982
N0153,0.52,0.6,0.276,0.5,0.75
N0154,0.282,0.54,0.234,0.5,0.464
N0155,0.948,0.822,0.912,0.75,0.838
N0156,0.646,0.854,0.502,1.0,0.634
N0157,0.716,0.606,0.82,0.75,0.552
N0158,0.442,0.242,0.672,0.25,0.88
N0159,0.342,0.904,0.236,0.75,0.74
N0160,0.926,0.99,0.806,1.0,0.958
N0161,0.566,0.486,0.33,0.5,0.744
N0162,0.144,0.116,0.146,0.0,0.22
N0163,0.898,0.938,0.932,1.0,0.806
N0164,0.27,0.254,0.358,0.0,0.494
N0165,0.876,0.816,0.736,0.75,0.934
N0166,0.94,0.618,0.954,0.75,0.904
N0167,0.136,0.104,0.24,0.25,0.276
N0168,0.53,0.862,0.592,0.75,0.586
N0169,0.25,0.23,0.274,0.25,0.262
N0170,0.594,0.63,0.696,0.75,0.706
N0171,0.16,0.41,0.096,0.25,0.534
N0172,0.466,0.634,0.424,0.75,0.538
N0173,0.054,0.042,0.062,0.0,0.08
N0174,0.22,0.506,0.282,0.5,0.282
N0175,0.624,0.726,0.558,1.0,0.442
N0176,0.35,0.424,0.454,0.5,0.378
N0177,0.362,0.534,0.336,0.25,0.29
N0178,0.244,0.086,0.598,0.0,0.166
N0179,0.574,0.518,0.5,0.5,0.598
N0180,0.452,0.458,0.418,0.25,0.45
N0181,0.508,0.67,0.64,1.0,0.436
N0182,0.804,0.85,0.628,1.0,0.632
N0183,0.306,0.166,0.328,0.25,0.242
N0184,0.38,0.54,0.234,0.5,0.388
N0185,0.712,0.506,0.824,0.5,0.638
N0186,0.974,0.762,0.968,0.75,0.882
N0187,0.74,0.828,0.486,0.75,0.782
N0188,0.388,0.42,0.312,0.5,0.056
N0189,0.198,0.132,0.182,0.25,0.224
N0190,0.034,0.42,0.034,0.25,0.072
N0191,0.722,0.506,0.61,0.5,0.754
N0192,0.588,0.75,0.518,0.75,0.61
N0193,0.994,0.996,0.992,1.0,0.994
N0194,0.696,0.576,0.614,0.75,0.79
N0195,0.888,0.65,0.902,0.75,0.748
N0196,0.87,0.594,0.624,0.25,0.88
N0197,0.822,0.756,0.728,1.0,0.81
N0198,0.63,0.556,0.354,0.5,0.69
N0199,0.032,0.022,0.026,0.0,0.024
N0200,0.386,0.404,0.344,0.5,0.086
N0201,0.68,0.956,0.29,1.0,0.798
N0202,0.392,0.364,0.568,0.25,0.446
N0203,0.756,0.944,0.472,1.0,0.768
N0204,0.202,0.236,0.348,0.25,0.144
N0205,0.794,0.662,0.73,0.75,0.808
N0206,0.798,0.91,0.978,1.0,0.852
N0207,0.126,0.518,0.39,0.75,0.156
N0208,0.268,0.258,0.272,0.0,0.266
N0209,0.682,0.688,0.462,0.25,0.294
N0210,0.234,0.716,0.244,0.5,0.418
N0211,0.492,0.642,0.482,0.75,0.554
N0212,0.424,0.342,0.54,0.5,0.85
N0213,0.242,0.154,0.322,0.25,0.292
N0214,0.41,0.302,0.39,0.25,0.914
N0215,0.848,0.924,0.768,1.0,0.64
N0216,0.284,0.156,0.212,0.25,0.376
N0217,0.14,0.346,0.092,0.25,0.244
N0218,0.036,0.292,0.064,0.5,0.098
N0219,0.366,0.234,0.678,0.0,0.33
N0220,0.164,0.302,0.162,0.25,0.118
N0221,0.526,0.284,0.846,0.25,0.578
N0222,0.258,0.312,0.376,0.25,0.328
N0223,0.212,0.506,0.144,0.75,0.146
N0224,0.532,0.398,0.446,0.25,0.342
N0225,0.04,0.02,0.032,0.0,0.028
N0226,0.42,0.562,0.35,0.75,0.508
N0227,0.666,0.846,0.294,1.0,0.348
N0228,0.678,0.558,0.74,0.75,0.73
N0229,0.03,0.712,0.024,0.75,0.11
N0230,0.426,0.27,0.43,0.25,0.616
N0231,0.78,0.878,0.604,0.75,0.786
N0232,0.132,0.238,0.118,0.25,0.216
N0233,0.006,0.026,0.006,0.0,0.01
N0234,0.584,0.376,0.938,0.75,0.556
N0235,0.098,0.302,0.126,0.25,0.04
N0236,0.854,0.656,0.636,0.5,0.83
N0237,0.842,0.968,0.578,1.0,0.826
N0238,0.904,0.894,0.928,1.0,0.872
N0239,0.406,0.334,0.458,0.5,0.72
N0240,0.662,0.468,0.92,0.5,0.28
N0241,0.45,0.632,0.648,0.75,0.492
N0242,0.564,0.744,0.552,0.75,0.788
N0243,0.568,0.724,0.562,0.75,0.646
N0244,0.874,0.874,0.78,1.0,0.926
N0245,0.302,0.628,0.222,0.75,0.092
N0246,0.754,0.596,0.686,0.75,0.82
N0247,0.686,0.738,0.546,1.0,0.822
N0248,0.9,0.84,0.808,1.0,0.91
N0249,0.264,0.628,0.222,0.5,0.524
N0250,0.86,0.742,0.878,0.75,0.794
N0251,0.884,0.876,0.864,1.0,0.746
N0252,0.542,0.312,0.752,0.25,0.416
N0253,0.65,0.506,0.464,0.5,0.25
N0254,0.966,0.9,0.93,1.0,0.912
N0255,0.802,0.69,0.754,1.0,0.8
N0256,0.552,0.208,0.782,0.0,0.516
N0257,0.726,0.474,0.638,0.5,0.544
N0258,0.502,0.592,0.492,0.75,0.868
N0259,0.724,0.88,0.65,1.0,0.928
N0260,0.592,0.704,0.526,0.75,0.714
N0261,0.122,0.17,0.204,0.5,0.21
N0262,0.352,0.306,0.418,0.5,0.172
N0263,0.206,0.202,0.212,0.25,0.27
N0264,0.444,0.448,0.422,0.5,0.444
N0265,0.972,0.692,0.974,1.0,0.888
N0266,0.2,0.32,0.202,0.5,0.174
N0267,0.478,0.458,0.474,0.25,0.614
N0268,0.224,0.12,0.208,0.25,0.222
N0269,0.946,0.736,0.83,0.5,0.954
N0270,0.634,0.728,0.928,1.0,0.514
N0271,0.62,0.506,0.84,0.5,0.468
N0272,0.348,0.216,0.188,0.25,0.218
N0273,0.188,0.326,0.172,0.25,0.238
N0274,0.752,0.89,0.512,1.0,0.358
N0275,0.368,0.172,0.418,0.0,0.386
N0276,0.668,0.624,0.602,1.0,0.59
N0277,0.792,0.524,0.804,0.5,0.694
N0278,0.808,0.478,0.796,0.75,0.816
N0279,0.09,0.044,0.078,0.0,0.1
N0280,0.75,0.636,0.814,1.0,0.87
N0281,0.038,0.292,0.052,0.5,0.006
N0282,0.656,0.858,0.658,0.75,0.43
N0283,0.168,0.196,0.176,0.25,0.296
N0284,0.596,0.734,0.704,0.5,0.704
N0285,0.846,0.658,0.936,0.5,0.548
N0286,0.638,0.406,0.796,0.5,0.67
N0287,0.448,0.6,0.51,0.5,0.36
N0288,0.858,0.72,0.832,0.75,0.496
N0289,0.328,0.678,0.51,0.5,0.178
N0290,0.336,0.228,0.326,0.25,0.394
N0291,0.402,0.648,0.418,0.75,0.644
N0292,0.416,0.158,0.42,0.0,0.424
N0293,0.944,0.79,0.862,0.75,0.952
N0294,0.432,0.986,0.334,1.0,0.366
N0295,0.166,0.194,0.202,0.25,0.256
N0296,0.88,0.792,0.952,1.0,0.722
N0297,0.044,0.086,0.028,0.0,0.286
N0298,0.548,0.342,0.836,0.75,0.484
N0299,0.26,0.346,0.258,0.5,0.346
N0300,0.784,0.78,0.702,1.0,0.708
N0301,0.162,0.192,0.138,0.0,0.254
N0302,0.942,0.886,0.99,0.75,0.988
N0303,0.882,0.87,0.812,0.75,0.772
N0304,0.958,0.956,0.94,0.75,0.932
N0305,0.252,0.21,0.372,0.25,0.536
N0306,0.764,0.36,0.774,0.25,0.588
N0307,0.832,0.562,0.85,0.5,0.806
N0308,0.118,0.338,0.214,0.75,0.142
N0309,0.39,0.442,0.606,0.5,0.528
N0310,0.088,0.03,0.11,0.0,0.188
N0311,0.232,0.356,0.266,0.25,0.354
N0312,0.24,0.184,0.166,0.25,0.308
N0313,0.922,0.856,0.646,1.0,0.726
N0314,0.274,0.788,0.154,1.0,0.344
N0315,0.7,0.682,0.714,0.75,0.682
N0316,0.61,0.798,0.38,1.0,0.716
N0317,0.73,0.786,0.554,0.75,0.844
N0318,0.694,0.614,0.684,0.75,0.572
N0319,0.464,0.574,0.288,0.5,0.434
N0320,0.514,0.52,0.378,0.75,0.582
N0321,0.664,0.946,0.644,1.0,0.684
N0322,0.604,0.518,0.586,0.75,0.38
N0323,0.484,0.846,0.636,0.75,0.312
N0324,0.298,0.276,0.322,0.5,0.428
N0325,0.782,0.522,0.906,0.5,0.884
N0326,0.334,0.73,0.198,0.5,0.592
N0327,0.06,0.072,0.056,0.25,0.076
N0328,0.896,0.914,0.714,1.0,0.974
N0329,0.8,0.782,0.69,0.75,0.664
N0330,0.834,0.888,0.89,1.0,0.978
N0331,0.256,0.278,0.228,0.0,0.252
N0332,1.0,0.982,0.998,1.0,0.996
N0333,0.91,0.99,0.96,1.0,0.862
N0334,0.546,0.586,0.53,0.75,0.614
N0335,0.4,0.138,0.534,0.25,0.462
N0336,0.3,0.38,0.158,0.5,0.25
N0337,0.978,0.948,0.97,1.0,0.98
N0338,0.228,0.198,0.318,0.25,0.12
N0339,0.976,0.96,0.918,1.0,0.986
N0340,0.142,0.214,0.112,0.5,0.168
N0341,0.02,0.058,0.014,0.0,0.07
N0342,0.236,0.392,0.154,0.5,0.692
N0343,0.996,1.0,0.996,1.0,0.998
N0344,0.024,0.062,0.02,0.0,0.102
N0345,0.1,0.13,0.188,0.0,0.086
N0346,0.528,0.814,0.602,0.75,0.594
N0347,0.354,0.506,0.458,0.25,0.458
N0348,0.612,0.748,0.62,0.5,0.762
N0349,0.326,0.256,0.368,0.5,0.264
N0350,0.33,0.302,0.39,0.25,0.648
N0351,0.758,0.978,0.778,1.0,0.776
N0352,0.866,0.912,0.88,1.0,0.91
N0353,0.586,0.768,0.526,0.75,0.842
N0354,0.878,0.966,0.758,1.0,0.92
N0355,0.606,0.59,0.9,0.75,0.642
N0356,0.954,0.896,0.826,0.75,0.984
N0357,0.082,0.112,0.06,0.25,0.078
N0358,0.986,0.932,0.952,1.0,0.972
N0359,0.074,0.152,0.154,0.25,0.232
N0360,0.84,0.936,0.694,0.75,0.26
N0361,0.77,0.436,0.944,0.5,0.532
N0362,0.67,0.666,0.748,0.75,0.622
N0363,0.692,0.908,0.708,0.75,0.756
N0364,0.158,0.118,0.14,0.0,0.192
N0365,0.266,0.136,0.304,0.0,0.398
N0366,0.384,0.2,0.506,0.25,0.668
N0367,0.31,0.654,0.154,0.5,0.098
N0368,0.734,0.778,0.544,0.75,0.85
N0369,0.952,0.756,0.988,0.75,0.962
N0370,0.654,0.506,0.618,0.5,0.416
N0371,0.29,0.582,0.364,0.5,0.336
N0372,0.112,0.086,0.082,0.0,0.108
N0373,0.838,0.838,0.762,1.0,0.728
N0374,0.844,0.802,0.678,0.75,0.778
N0375,0.93,0.758,0.856,0.75,0.526
N0376,0.622,0.7,0.536,0.75,0.574
N0377,0.534,0.772,0.344,1.0,0.46
N0378,0.076,0.088,0.09,0.25,0.108
N0379,0.934,0.974,0.852,1.0,0.96
N0380,0.538,0.544,0.312,0.5,0.49
N0381,0.938,0.928,0.908,1.0,0.964
N0382,0.314,0.4,0.216,0.5,0.304
N0383,0.536,0.862,0.718,1.0,0.624
N0384,0.458,0.698,0.288,0.75,0.562
N0385,0.89,0.934,0.69,1.0,0.922
N0386,0.382,0.32,0.418,0.5,0.326
N0387,0.102,0.096,0.106,0.25,0.134
N0388,0.99,0.992,0.972,1.0,0.992
N0389,0.59,0.622,0.732,0.5,0.766
N0390,0.562,0.664,0.292,0.5,0.49
N0391,0.544,0.55,0.584,0.5,0.7
N0392,0.238,0.252,0.418,0.5,0.06
N0393,0.576,0.74,0.418,0.75,0.802
N0394,0.708,0.572,0.892,0.5,0.416
N0395,0.988,0.97,0.922,1.0,0.93
N0396,0.902,0.95,0.662,1.0,0.752
N0397,0.304,0.54,0.36,0.5,0.372
N0398,0.55,0.386,0.742,0.25,0.2
N0399,0.748,0.712,0.706,0.75,0.606
N0400,0.018,0.036,0.008,0.0,0.016
N0401,0.618,0.612,0.682,0.75,0.44
N0402,0.156,0.15,0.244,0.0,0.234
N0403,0.516,0.426,0.438,0.5,0.478
N0404,0.918,0.864,0.722,0.75,0.94
N0405,0.186,0.19,0.164,0.0,0.278
N0406,0.338,0.446,0.196,0.5,0.31
N0407,0.49,0.83,0.418,0.75,0.834
N0408,0.982,0.686,0.98,0.75,0.956
N0409,0.968,0.92,0.91,1.0,0.78
N0410,0.872,0.786,0.774,1.0,0.9
N0411,0.454,0.33,0.418,0.25,0.288
N0412,0.85,0.698,0.644,0.75,0.942
N0413,0.254,0.368,0.194,0.25,0.482
N0414,0.376,0.412,0.552,0.5,0.476
N0415,0.312,0.85,0.254,1.0,0.48
N0416,0.556,0.548,0.58,0.5,0.686
N0417,0.472,0.35,0.47,0.5,0.352
N0418,0.706,0.834,0.314,0.75,0.362
N0419,0.176,0.098,0.39,0.0,0.158
N0420,0.512,0.28,0.9,0.25,0.596
N0421,0.092,0.112,0.104,0.25,0.038
N0422,0.278,0.37,0.418,0.25,0.284
N0423,0.446,0.268,0.702,0.0,0.426
N0424,0.916,0.438,0.924,0.5,0.916
N0425,0.174,0.174,0.098,0.25,0.112
N0426,0.18,0.092,0.17,0.25,0.74
N0427,0.852,0.648,0.914,1.0,0.318
N0428,0.816,0.956,0.592,1.0,0.854
N0429,0.332,0.266,0.418,0.5,0.384
N0430,0.104,0.094,0.27,0.0,0.16
N0431,0.138,0.19,0.142,0.25,0.122
N0432,0.962,0.882,0.886,1.0,0.874
N0433,0.776,0.48,0.962,0.5,0.72
N0434,0.66,0.372,0.866,0.5,0.584
N0435,0.36,0.368,0.978,0.25,0.518
N0436,0.57,0.68,0.572,0.75,0.432
N0437,0.124,0.228,0.072,0.25,0.068
N0438,0.494,0.402,0.466,0.5,0.356
N0439,0.702,0.714,0.8,0.5,0.654
N0440,0.422,0.206,0.5,0.0,0.41
N0441,0.014,0.01,0.024,0.0,0.022
N0442,0.676,0.586,0.71,0.5,0.784
N0443,0.928,0.82,0.87,0.75,0.89
N0444,0.19,0.148,0.17,0.25,0.21
N0445,0.46,0.668,0.492,0.5,0.454
N0446,0.984,0.906,0.956,0.75,0.97
