family,kind,scenario,spearman,top20_overlap,max_rank_shift,numeric_candidates,baseline_retained,candidate_jaccard,frozen_review_followups_retained,new_numeric_candidates_pending_review
core,score_component_ablation,without_volume,0.973084419790725,0.9,117.0,21,21,1.0,6,0
core,score_component_ablation,without_citation,0.9745034334919616,0.65,72.0,21,21,1.0,6,0
core,score_component_ablation,without_institutions,0.9987605860310113,0.95,23.0,21,21,1.0,6,0
core,score_component_ablation,without_persistence,0.996611328412111,0.9,39.0,21,21,1.0,6,0
core,score_component_ablation,without_current,0.9974632357829722,0.95,33.0,21,21,1.0,6,0
core,gate_ablation,without_annual_volume,1.0,1.0,0.0,36,21,0.5833333333333334,6,15
core,gate_ablation,without_active_years,1.0,1.0,0.0,21,21,1.0,6,0
core,gate_ablation,without_persistence,1.0,1.0,0.0,21,21,1.0,6,0
core,gate_ablation,without_current_volume,1.0,1.0,0.0,21,21,1.0,6,0
core,gate_ablation,without_current_share,1.0,1.0,0.0,23,21,0.9130434782608695,6,2
core,semantic_review_ablation,numeric_only_no_scope_review,1.0,1.0,0.0,21,21,1.0,6,0
core,data_robustness,require_all_data_filters_or_direction,1.0,1.0,0.0,1,1,0.047619047619047616,0,0
emerging,score_component_ablation,without_multiyear_growth,0.9894917633747554,0.8,93.0,29,29,1.0,2,0
emerging,score_component_ablation,without_recent_growth,0.9886848569631455,0.8,90.0,29,29,1.0,2,0
emerging,score_component_ablation,without_trend,0.9921821789122708,0.85,66.0,29,29,1.0,2,0
emerging,score_component_ablation,without_quarter_consistency,0.9968541125474008,0.95,37.0,29,29,1.0,2,0
emerging,score_component_ablation,without_institution_expansion,0.99834562391341,0.85,35.0,29,29,1.0,2,0
emerging,gate_ablation,without_volume,1.0,1.0,0.0,29,29,1.0,2,0
emerging,gate_ablation,without_baseline,1.0,1.0,0.0,29,29,1.0,2,0
emerging,gate_ablation,without_multiyear,1.0,1.0,0.0,29,29,1.0,2,0
emerging,gate_ablation,without_recent_growth,1.0,1.0,0.0,30,29,0.9666666666666667,2,1
emerging,gate_ablation,without_quarters,1.0,1.0,0.0,29,29,1.0,2,0
emerging,gate_ablation,without_trend,1.0,1.0,0.0,29,29,1.0,2,0
emerging,gate_ablation,without_peak,1.0,1.0,0.0,30,29,0.9666666666666667,2,1
emerging,gate_ablation,without_lower95,1.0,1.0,0.0,29,29,1.0,2,0
emerging,gate_ablation,without_qvalue,1.0,1.0,0.0,34,29,0.8529411764705882,2,5
emerging,semantic_review_ablation,numeric_only_no_scope_review,1.0,1.0,0.0,29,29,1.0,2,0
emerging,data_robustness,require_all_data_filters_or_direction,1.0,1.0,0.0,7,7,0.2413793103448276,0,0
potential,score_component_ablation,without_patents,0.9960694540725404,0.9,65.0,5,5,1.0,3,0
potential,score_component_ablation,without_policies,0.9961452485650396,0.95,154.0,5,5,1.0,3,0
potential,score_component_ablation,without_relative_share,0.7486961533109799,0.8,272.0,5,5,1.0,3,0
