category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter,core_numeric_candidate,emerging_numeric_candidate,core_failed_gates,emerging_failed_gates,core_rank,emerging_rank,abstract_available_core_candidate,abstract_available_emerging_candidate,abstract_available_multiyear_ratio,abstract_available_yoy_ratio,title_year_dedup_core_candidate,title_year_dedup_emerging_candidate,title_year_dedup_multiyear_ratio,title_year_dedup_yoy_ratio,exclude_jan1_core_candidate,exclude_jan1_emerging_candidate,exclude_jan1_multiyear_ratio,exclude_jan1_yoy_ratio,core_robust_candidate,emerging_robust_candidate,scope_review_status
N0001,Electrochemistry / Chemical engineering / Electrode,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,3,11974,0.0002863219895287958,8,11985,0.0006947282386595831,7,9992,0.0007322788517867604,1,7998,0.00018186226964112513,1,7996,0.0001819063788503517,3,8,0.41213524022174314,3,16,5.333333333333333,0.0005362897866958229,0.533894168100565,0.39100130890052354,-0.46952218571535154,1,0,3,18,0.0005711096933250464,0,0,0.0,7,36,10.0,0.7272727272727273,0.5306668755350644,0.0005459057071960298,0.5244898262732032,0.16550242601790227,0.890896940975894,0.999999583780761,17.919999999999998,15.76,False,False,近期份额下降,2026Q2,False,False,annual_volume | active_years | persistence | current_volume | current_share,volume | baseline | multiyear | recent_growth | quarters | trend | peak | lower95 | qvalue,452,439,False,False,0.5162737294184692,0.3710508029280459,False,False,0.5346982999523457,0.41257546582502064,False,False,0.5908968893204878,0.46025548324897564,False,False,待主题与代表文献审阅
N0002,Engineering / Electrical engineering / Computer science,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,4,11974,0.0003681282722513089,7,11985,0.0006129955046996322,7,9992,0.0007322788517867604,2,7998,0.00030310378273520856,6,7996,0.0007882609750181907,4,7,0.6005399214659686,3,16,5.333333333333333,0.0005494593797405337,0.6699826881199968,0.46701318968989125,-0.34386497157489826,1,0,3,18,0.0005711342095792338,0,0,0.0,4,29,9.0,0.5,0.2588585277531176,0.0005459057071960298,0.6743440623512613,0.23778836441069065,0.8013003532833163,0.999999583780761,4.7700000000000005,22.529999999999998,False,False,近期份额下降,2026Q2,False,False,annual_volume | active_years | persistence | current_volume | current_share,volume | baseline | multiyear | recent_growth | quarters | trend | peak | lower95 | qvalue,490,406,False,False,0.7737766302340716,0.7893262535014793,False,False,0.671031674496588,0.6011813930593157,False,False,0.7854397422934954,0.806941431670282,False,False,待主题与代表文献审阅
N0003,Photocatalysis / Visible spectrum / Catalysis,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,12,11974,0.0010225785340314136,11,11985,0.0009399264405394361,17,9992,0.0017086506541691077,12,7998,0.0015155189136760426,11,7996,0.0013946155711860296,12,11,1.0879346403368995,3,40,13.333333333333334,0.0013880320027948622,0.7367110642783508,0.5984713911742707,-0.25668827800250993,3,0,3,40,0.001223718542913319,3,0,0.25,26,93,30.0,0.8709677419354839,0.5845993300507866,0.0013399503722084367,0.7631465726197402,0.4047508334744565,0.8088048852938887,0.999999583780761,40.910000000000004,41.629999999999995,False,False,历史峰值以下的恢复或波动,2026Q2,False,False,annual_volume | active_years | persistence | current_volume,volume | multiyear | recent_growth | trend | peak | lower95 | qvalue,309,302,False,False,0.5215770604642168,0.7074701975828074,False,False,0.7556902280434611,1.0890967265567315,False,False,0.7684163202503266,1.0801914402782082,False,False,待主题与代表文献审阅
N0004,Environmental science / Waste management / Engineering,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,2,11974,0.00020451570680628272,24,11985,0.0020024519820187985,23,9992,0.002294473735598516,13,7998,0.001636760426770126,8,7996,0.0010308028134853261,2,24,0.1021326397050967,3,60,20.0,0.0019778953814624804,0.103400669581958,0.08913403698340201,-1.208807004329882,0,0,3,49,0.0015004804748078658,4,0,0.3333333333333333,1,86,31.666666666666668,0.06122448979591836,0.31205481100848986,0.002001654259718776,0.10217334278049414,0.028838329484627955,0.9999950072496194,0.999999583780761,28.000000000000004,0.4099999999999999,False,False,近期份额下降,2026Q2,False,False,annual_volume | active_years | persistence | current_volume | current_share,volume | multiyear | recent_growth | quarters | trend | peak | lower95 | qvalue,382,499,False,False,0.07519729555887833,0.06157864389018632,False,False,0.10529965545765717,0.10224173351348907,False,False,0.11637720043393002,0.10958463886880372,False,False,待主题与代表文献审阅
N0005,Optoelectronics / Nanotechnology / Energy conversion efficiency,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,0,11974,4.090314136125655e-05,12,11985,0.001021659174499387,7,9992,0.0007322788517867604,1,7998,0.00018186226964112513,2,7996,0.0003031772980839195,0,12,0.04003599476439791,3,20,6.666666666666667,0.0006452667653090908,0.0633895057986807,0.04003599476439791,-1.4424772602430083,0,0,3,19,0.0005982803892158013,1,0,0.08333333333333333,0,59,20.333333333333332,0.046875,0.6170052068542968,0.0006782464846980976,0.060307192567998984,0.0036473222984613925,0.9976522483516224,0.999999583780761,25.480000000000004,0.18,False,False,近期份额下降,2026Q2,False,False,annual_volume | active_years | persistence | current_volume | current_share,volume | baseline | multiyear | recent_growth | quarters | trend | peak | lower95 | qvalue,398,500,False,False,0.08409460786481625,0.05674894633017172,False,False,0.06348028991788016,0.04007875953728772,False,False,0.0736054024388096,0.03945046999276934,False,False,待主题与代表文献审阅
N0006,Business / Environmental economics / Economics,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,12,11974,0.0010225785340314136,54,11985,0.004454434000817327,38,9992,0.0037590314391720368,13,7998,0.001636760426770126,12,7996,0.0015158864904195974,12,54,0.22956419016283203,3,105,35.0,0.0032834086222531633,0.3114380973178089,0.22956419016283203,-0.650916958184645,1,1,3,104,0.003078681324673592,7,2,0.5833333333333334,33,167,52.333333333333336,0.6375,0.29957886250174093,0.003490488006617039,0.2929614804843552,0.16299941459654363,0.9999942310536337,0.999999583780761,59.330000000000005,8.07,False,False,近期份额下降,2026Q2,False,False,annual_volume | active_years | persistence | current_volume | current_share,volume | multiyear | recent_growth | quarters | trend | peak | lower95 | qvalue,195,472,False,False,0.33641797208108043,0.2383455745867212,False,False,0.3119062942448229,0.22980940101655797,False,False,0.35718617250459594,0.25419117263382307,False,False,待主题与代表文献审阅
N0007,Supercapacitor / Capacitance / Electrode,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,66,11974,0.0054401178010471205,59,11985,0.004863097670617082,50,9992,0.004930677602030854,42,7998,0.005152764306498545,48,7996,0.005881639582828038,66,59,1.1186527948875886,3,151,50.333333333333336,0.004982179859715494,1.0919151765343489,0.9249321935553517,0.04916214599834401,3,4,3,175,0.0050779643578983515,12,3,1.0,147,367,110.66666666666667,1.3253731343283581,0.6119515985909364,0.005012406947890819,1.0853304325851432,0.8134828174893175,0.2703625030804243,0.7881593649683154,96.58000000000001,62.39,False,False,历史峰值以下的恢复或波动,2026Q2,False,False,annual_volume,multiyear | recent_growth | peak | lower95 | qvalue,6,194,False,False,0.9157021928863327,1.0403973493864815,False,False,1.0937013397060331,1.1198476929536274,False,False,1.080767788643721,1.110655123670308,False,False,待主题与代表文献审阅
N0008,Lithium (medication) / Anode / Lithium-ion battery,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,29,11974,0.002413285340314136,67,11985,0.005516959542296689,38,9992,0.0037590314391720368,21,7998,0.0026066925315227935,10,7996,0.0012733446519524619,29,67,0.4374303131665697,3,126,42.0,0.003960894504330507,0.6092778632896317,0.4374303131665697,-0.22158614866588566,1,2,3,134,0.0038964254405942874,9,2,0.75,54,236,85.33333333333333,0.6370656370656371,0.6014788260329886,0.004185277088502895,0.5766130388220929,0.3862295749394433,0.9966971346155005,0.999999583780761,86.81,20.389999999999997,False,False,近期份额下降,2026Q2,False,False,annual_volume | active_years | current_volume | current_share,multiyear | recent_growth | quarters | trend | peak | lower95 | qvalue,37,414,False,False,0.5775120026680821,0.397242624311202,False,False,0.6101957924600991,0.43789755790740287,False,False,0.6126634586307974,0.4483007953723788,False,False,待主题与代表文献审阅
N0009,Computer science / Artificial intelligence / Telecommunications,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,11,11974,0.0009407722513089005,59,11985,0.004863097670617082,30,9992,0.002977933997266159,12,7998,0.0015155189136760426,17,7996,0.0021222410865874364,11,59,0.19345123520612434,3,101,33.666666666666664,0.0031188501938530944,0.30164073066512065,0.19345123520612434,-0.5761419838139838,0,1,3,100,0.0029272679730640468,7,2,0.5833333333333334,24,145,45.666666666666664,0.5357142857142857,0.2882759372224933,0.003358147229114971,0.28014621966316766,0.15224259489987302,0.9999944154789101,0.999999583780761,55.82,4.63,False,False,近期份额下降,2026Q2,False,False,annual_volume | active_years | persistence | current_volume | current_share,volume | multiyear | recent_growth | quarters | trend | peak | lower95 | qvalue,215,484,False,False,0.30232416720476446,0.20142757873236775,False,False,0.3047421716775381,0.1969682626832516,False,False,0.34801078002381275,0.19725234996384672,False,False,待主题与代表文献审阅
N0010,Control theory (sociology) / Voltage / Control (management),待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,12,11974,0.0010225785340314136,13,11985,0.001103391908459338,7,9992,0.0007322788517867604,4,7998,0.0005455868089233754,5,7996,0.0006669900557846228,12,13,0.9267591380647664,3,24,8.0,0.0007937525230564913,1.288283821881643,0.9267591380647664,0.16696065219109224,2,1,3,32,0.0009527497647591706,2,0,0.16666666666666666,11,52,15.333333333333334,0.7346938775510203,0.34138100802813154,0.0008105872622001654,1.2615280077999786,0.6383007494674003,0.26221574617491383,0.7743524366764515,17.85,61.02000000000001,False,False,近期份额下降,2026Q2,False,False,annual_volume | active_years | persistence | current_volume,volume | recent_growth | quarters | peak | lower95 | qvalue,454,201,False,False,1.046943266323622,0.6788855431350173,False,False,1.2902284282856633,0.9277490633631416,False,False,1.4389060820236323,1.2183233380119944,False,False,待主题与代表文献审阅
