category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
N0001,30,67,45,32,18,30,30,138,178,0.594523322962656
N0002,10,38,20,1,7,10,10,63,70,0.2892497293827514
N0003,120,154,240,141,158,120,120,464,663,0.6254496191959
N0004,19,144,76,31,30,19,19,233,289,0.336773830888343
N0005,3,64,31,4,5,3,3,96,104,0.5470279025018815
N0006,57,125,117,18,14,57,57,282,312,0.3561613578833873
N0007,251,261,241,232,246,251,251,642,910,0.6187351656354343
N0008,63,168,120,53,38,63,63,316,364,0.5806920053165424
N0009,27,148,85,32,34,27,27,244,301,0.32116337830960623
N0010,59,65,41,43,35,59,59,155,212,0.3272207662854728
N0011,83,159,112,117,114,83,83,325,494,0.5057598380760574
N0012,0,9,5,7,0,0,0,14,21,0.1934345398563093
N0013,168,89,166,162,114,168,168,348,507,0.6177158258857463
N0014,3,0,4,4,6,3,3,7,17,0.4231152889067176
N0015,30,69,52,51,51,30,30,145,233,0.35225383678882116
N0016,138,78,64,61,49,138,138,259,351,0.3547704053231996
N0017,231,183,174,143,101,231,231,534,690,0.41231440999453933
N0018,24,37,24,10,21,24,24,83,112,0.5314465267471686
N0019,173,142,183,147,120,173,173,419,584,0.545448594116359
N0020,41,104,90,99,76,41,41,190,294,0.32704162165542927
N0021,294,294,258,206,145,294,294,654,827,0.5650440591585036
N0022,21,25,21,24,17,21,21,65,102,0.31336429256030734
N0023,35,53,33,13,27,35,35,119,155,0.5210135712148939
N0024,6,39,28,28,19,6,6,71,115,0.2674298233352738
N0025,145,177,91,85,60,145,145,370,467,0.5930927503668258
N0026,44,85,66,8,18,44,44,185,207,0.5334932587623619
N0027,51,66,57,46,44,51,51,169,247,0.34100031487987637
N0028,138,123,100,82,76,138,138,315,410,0.5818407597734527
N0029,48,33,29,26,30,48,48,106,155,0.27906107923597817
N0030,55,79,28,15,12,55,55,155,178,0.5241697485911082
N0031,145,120,111,98,121,145,145,310,431,0.518847728492635
N0032,170,106,123,101,119,170,170,333,452,0.5589845260643234
N0033,122,173,125,82,77,122,122,360,467,0.5687797522360502
N0034,176,110,114,74,80,176,176,363,467,0.5084251574382145
N0035,134,88,46,82,42,134,134,251,339,0.5377301545473933
N0036,8,40,16,7,16,8,8,63,86,0.4211363833174687
N0037,153,114,88,129,117,153,153,327,512,0.439286689738291
N0038,131,135,74,32,27,131,131,321,369,0.2893200832299445
N0039,75,72,65,52,41,75,75,193,269,0.34422198023599404
N0040,26,11,15,27,18,26,26,51,92,0.3772967957964509
N0041,191,197,140,109,131,191,191,439,574,0.6209662497311861
N0042,21,30,56,51,30,21,21,104,181,0.4517848252538597
N0043,133,104,111,90,82,133,133,329,464,0.48936522292994594
N0044,62,70,53,31,29,62,62,175,227,0.4044902988796437
N0045,30,23,19,29,15,30,30,72,115,0.3798747629881541
N0046,73,74,29,15,24,73,73,171,199,0.4457517082972721
N0047,66,74,68,50,43,66,66,191,258,0.35549277018215386
N0048,21,39,58,30,47,21,21,115,179,0.5017606876513522
N0049,19,34,25,24,13,19,19,76,109,0.20488892331481143
N0050,90,170,104,89,101,90,90,330,472,0.5820465290611833
N0051,65,67,46,25,30,65,65,166,203,0.5242811430931666
