doc_id,family,accepted,anchor,reason,category_id,title,url,recorded_date,quote_start,quote_end,quote,quote_sha256,body_sha256,reviewed_issue_date
policy:12caedf92c1ce736bc7c003e,EV_CHARGING_EXPANSION,True,质效双增,充电网络建设地方执行文件，与国家三年倍增行动合并计组。,N0191,关于印发《天津市电动汽车充电设施服务能力“质效双增”实施方案》的通知,https://fzgg.tj.gov.cn/zwgk_47325/zcfg_47338/zcwjx/fgwj/202603/t20260323_7267626.html,2026-03-23,59,739,三年倍增”行动方案（2025-2027年）〉的通知》（发改能源〔2025〕1250号）要求，市发展改革委会同相关单位研究制定了《天津市电动汽车充电设施服务能力“质效双增”实施方案》，现印发给你们，请结合工作实际，认真贯彻执行。 附件：天津市电动汽车充电设施服务能力“质效双增”实施方案 2026年1月23日 附件 天津市电动汽车充电设施服务能力 “质效双增”实施方案 为贯彻落实《国家发展改革委等部门关于印发〈电动汽车充电设施服务能力“三年倍增”行动方案（2025-2027年）〉的通知》（发改能源〔2025〕1250号）要求，加大力度完善电动汽车充电设施服务网络，服务能力“质量”和“效能”双重提升，促进新能源汽车等大宗消费，助力新能源汽车产业高质量发展，结合我市实际制定本实施方案。 一、工作目标 通过持续健全全市充电网络，实现充电基础设施智能开放、充电设备快慢结合、充电服务安全便捷、充电信息互联互通，基本建成覆盖广泛、规模适配、结构合理、功能完备、服务优质的充电基础设施体系。到2027年底，在全市范围内建成超50万台充电设施，充电容量达到530万千瓦，满足超过100万辆电动汽车充电需求。 二、公共充电设施提质升级行动 （一）补强城市快速充电网络体系。以城市道路交通网络为依托，以“两区”（居住区、办公区）、“三中心”（商业中心、工业中心、休闲中心）为重点，推动城市充电网络从中心区域向城区边缘有序延伸。城市道路临近空间建设以快充为主、慢充为辅的公共充电基础设施，加快建设具有一定规模的集中式大功率充电基础设施，适时打造示范应用场景。各区在谋划实施城,58f7dedee42bbb5b21bd59681613ce181d2e0eae94612950b2c38528e1f4e75c,93d4412abfa29f86071b7e5517b433d270442e323308dc31c76921f7b8d23080,
policy:1481f9ada4e9543722c1b73b,EV_CHARGING_EXPANSION,True,充电设施高质量发展行动方案,广东充电网络行动，与同一国家计划合并计组。,N0191,广东省发展改革委等部门关于印发广东省电动汽车充电设施高质量发展行动方案的通知,https://drc.gd.gov.cn/ywtz/content/post_4908073.html,2026-06-08,0,645,粤发改能源函 【2026】 936号 各地级以上市人民政府、各有关单位： 《广东省电动汽车充电设施高质量发展行动方案》已经省人民政府同意，现印发给你们，请认真贯彻执行。 广东省发展改革委 广东省能源局 广东省工业和信息化厅 广东省自然资源厅 广东省住房和城乡建设厅 广东省交通运输厅 广东省市场监管局 广东省消防救援局 2026年6月4日 广东省电动汽车充电设施高质量发展行动方案 为贯彻落实《国家发展改革委等部门关于印发〈电动汽车充电设施服务能力“三年倍增”行动方案（2025-2027年）〉的通知》（发改能源〔2025〕1250号）等文件要求，进一步构建我省高质量充电设施体系，更好提升充换电服务能力，促进电动汽车消费使用，支撑新能源汽车产业发展，制定本行动方案。 一、工作目标 通过持续创新应用场景、健全充电网络、提升充电效能、优化服务品质、创新产业生态，建成超充、快充、慢充互为补充的高质量充电设施体系，推动粤东粤西粤北与珠三角地区充电设施均衡发展，促进电动汽车更大范围购置使用。2027年底前，全省累计建成300万个以上充电设施，满足超过800万辆新能源汽车充电需求；全省实现“超充县县通”，超充站数量不少于加油站数量。 二、公共充电设施提质升级行动 （一）加快构建全省“大功率一张网”。推动单枪充电功率250千瓦以上的大功率充电设施普及，加大力度推动360千瓦及以上（鼓励480千瓦及以上）的超充、1000千瓦及以上的兆瓦闪充设施建设。各地要加强组织谋划，聚焦“即充即走”应用场,2b7df78b409bef957112b859779f9c44781a710da1d4a713cd53a10150a1cad8,480a9c47b6682aebab6161e290ae977e089457f2396ec716ee7e3ab5707a99b6,
policy:463ecfae63ca59868312b882,EV_CHARGING_EXPANSION,True,三年倍增,国家充电网络行动。,N0191,关于印发《电动汽车充电设施服务能力“三年倍增”行动方案(2025—2027年)》的通知(发改能源〔2025〕1250号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202510/t20251015_1401011.html,2025-10-15,0,629,国家发展改革委等部门关于印发《电动汽车 充电设施服务能力“三年倍增”行动方案 （2025—2027年）》的通知 发改能源〔2025〕1250号 各省、自治区、直辖市、新疆生产建设兵团发展改革委、能源局、工业和信息化主管部门、住房城乡建设主管部门、交通运输主管部门、市场监管部门，北京市城市管理委员会，国家电网有限公司、中国南方电网有限责任公司、内蒙古电力（集团）有限责任公司，中国电力企业联合会： 为落实《提振消费专项行动方案》有关要求，加大力度完善电动汽车充电设施服务网络，提升消费品质，促进电动汽车更大范围内购置使用，国家发展改革委等部门研究制定了《电动汽车充电设施服务能力“三年倍增”行动方案（2025—2027年）》，现印发给你们，请认真组织落实。 国家发展改革委 国 家 能 源 局 工业和信息化部 住房城乡建设部 交 通 运 输 部 市场监管总局 2025年9月24日 【附件：《电动汽车充电设施服务能力“三年倍增”行动方案（2025—2027年）》.pdf】 【第1页】 1 电动汽车充电设施服务能力“三年倍增” 行动方案（2025—2027 年） 一、主要目标 通过持续健全充电网络、提升充电效能、优化服务品质、创新 产业生态，进一步提振消费信心，促进电动汽车更大范围内购置使 用。到2027 年底，在全国范围内建成2800 万个充电设施，提供超 3 亿千瓦的公共充电容量，满足超过8000 万辆电动汽车充电需求， 实现充电服务能力的翻倍增长,6ee554529b3ef61c58c3c8671c1f9cd74a30b654aa86d82f599ba62e1cf3742e,bd5b0b548d230fea0ff2d087e7dd01a6ae94f142da78e8e9318dce60da78a2bf,
policy:c46548605dce3853ef02ad38,EV_CHARGING_EXPANSION,True,充电设施服务能力,河北地方执行文件，与同一国家计划合并计组。,N0191,河北省发展和改革委员会等五部门关于印发《进一步加快提升电动汽车充电设施服务能力工作方案》的通知,https://hbdrc.hebei.gov.cn/xxgk_2232/zc/wzcwj/202601/t20260106_130188.html,2025-12-29,31,711,乡建设局、城市管理综合行政执法局、交通运输局、市场监管局，张家口市能源局，雄安新区有关部门，国网河北省电力公司、国网冀北电力公司： 现将《进一步加快提升电动汽车充电设施服务能力工作方案》 印发你们，请结合本地本部门实际认真抓好落实。 河北省发展和改革委员会 河北省工业和信息化厅 河北省住房和城乡建设厅 河北省交通运输厅 河北省市场监督管理局 2025年12月29日 进一步加快提升电动汽车充电设施 服务能力工作方案 一、发展目标 全面贯彻落实国家发展改革委等部门《关于印发〈电动汽车充电设施服务能力“三年倍增”行动方案（2025—2027年）〉的通知》（发改能源〔2025〕1250号）文件精神，加快构建适度超前、布局合理、绿色低碳、功能完善、智慧管理、创新融合的高质量充电网络体系，提升充电效率、优化服务品质，进一步促进电动汽车消费，不断增强服务全省经济社会发展能力。到2027年底，基本建成城市面状、公路线状、乡村点状的充电基础设施网络，在全省范围内建成84万个以上充电设施，提供超900万千瓦公共充电容量，满足超240万辆电动汽车充电需求，实现充电设施服务能力大幅提升，数字化、智能化、融合化水平显著提高。 二、加快公共充电设施提质升级 （一）完善提升城市快速充电体系。优化城市充电基础设施布局，加强规划统筹，挖掘现有资源，结合国土空间总体规划、电网承载水平及电动汽车充电需求，打造快充为主、慢充为辅、大功率充电为有益补充的公共充电网络，实现各类停车场景全面覆盖。对“无效桩、低效桩”进行摸排，开展交流充电设施、服役8年以上老旧设施、800伏以下电压平,f47f3b37cd9c06c9ccd2ab8ce5c9abad99b5643d5075c8c28286ede4b9d9e654,84abd80d1852ec1ee02aaf45219701f76af83cec8f71788dc743652d74ee62c5,
policy:e5d3b9f0d7d33d6d3c1aa9c3,EV_CHARGING_EXPANSION,True,倍增行动方案,四川地方执行文件，与同一国家计划合并计组。,N0191,四川省发展和改革委员会等部门关于印发《四川省电动汽车充电设施服务能力倍增行动方案》的通知(川发改能源〔2026〕99号),https://fgw.sc.gov.cn/sfgw/qtwj/2026/4/2/e1bc78452f9c4e2d976995a4138aa8c5.shtml,2026-04-14,0,634,四川省发展和改革委员会等部门关于印发《四川省电动汽车充电设施服务能力倍增行动方案》的通知(川发改能源〔2026〕99号) 为贯彻落实国家发展改革委等部门《关于印发〈电动汽车充电设施服务能力“三年倍增”行动方案（2025—2027年）〉的通知》（发改能源〔2025〕1250号）有关要求，加快构建高质量充电设施体系，提振电动汽车消费，结合我省实际，研究制定《四川省电动汽车充电设施服务能力倍增行动方案》，现印发你们，请认真组织落实。 四川省发展和改革委员会 四川省能源局 四川省经济和信息化厅 四川省住房和城乡建设厅 四川省交通运输厅 四川省文化和旅游厅 四川省市场监督管理局 2026年3月13日 四川省电动汽车充电设施服务能力倍增行动方案 一、主要目标 按照“补短板、提质效、重创新、强协同”发展思路，加快健全充电网络、完善充电结构、提升充电效能、优化服务品质、创新产业生态，进一步提振消费信心，促进电动汽车更大范围内购置使用。到2027年底，在全省范围内建成205万个充电设施，提供超过1700万千瓦的公共充电容量，基本建成布局均衡、结构合理、普惠共享、智慧创新的高质量充电设施体系，满足400万辆电动汽车充电需求，实现充电服务能力翻倍增长。 二、主要任务 （一）提升公共充电设施服务能力。 1.推动城市充电网提质升级。结合区域资源禀赋因地制宜建设城市充电设施，打造快充为主、慢充为辅、大功率充电为有益补充的城市公共充电网络，实现城市各类停车场景全面覆盖。开展交流,205ccd831e2a5c5bb05d7778c70b36f40278a2612d26396af5db78d93494a79c,45f690d880747c40b1af24f84720583f392ba3be1b8f5a5c195de89d368ad2d2,
policy:2ef92b30a52b553ec9577639,VEHICLE_GRID_INTERACTION,True,车网互动主要包括,明确支持有序充电、双向充放电和调节。,N0191,关于加强新能源汽车与电网融合互动的实施意见(发改能源〔2023〕1721号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202401/t20240104_1363096.html,2024-01-04,166,846,络相连，构建新能源汽车与供电网络的信息流、能量流双向互动体系，可有效发挥动力电池作为可控负荷或移动储能的灵活性调节能力，为新型电力系统高效经济运行提供重要支撑。车网互动主要包括智能有序充电、双向充放电等形式，可参与削峰填谷、虚拟电厂、聚合交易等应用场景。为深入贯彻中央全面深化改革委员会会议有关精神，积极落实《国务院办公厅关于进一步构建高质量充电基础设施体系的指导意见》（国办发〔2023〕19号）有关要求，充分发挥新能源汽车在电化学储能体系中的重要作用，巩固和扩大新能源汽车发展优势，支撑新型能源体系和新型电力系统构建，现提出以下意见。 一、总体要求 （一）指导思想 以习近平新时代中国特色社会主义思想为指导，全面贯彻党的二十大精神，扎实推进中国式现代化建设，完整、准确、全面贯彻新发展理念，加快构建新发展格局，着力推动高质量发展，坚持系统观念，强化创新引领，完善标准体系，加强政策扶持，大力培育车网融合互动新型产业生态，有力支撑高质量充电基础设施体系构建和新能源汽车产业高质量发展。 （二）基本原则 政府引导，市场参与，多方协同。 加强车网互动顶层设计，坚持系统观念，从社会整体效益的高度进行统筹谋划。通过营造良好市场环境和创新市场机制，充分调动产业链各方积极性，建立符合市场规律、多方合作共赢的系统化推进机制。 积极探索，适度超前，有序建设。 结合各省市新能源汽车推广与电力市场改革进展，积极探索兼顾多方利益的车网互动业务场景和商业模式，面向不同场景需求，按照适度超前的原则，因地制宜、分类实施、有序推进车网互动生态建设。 鼓励创新，统一标准，保障安全。,5afe915071770f5cd6d3738025d634284fafdc3194ee610ecaa4ca354f38f947,3647f8e195be25c005afbf1995b24b632d2734201e71039a14c4dd1bc6cb3bb5,
policy:36bc6a2f4922a9b331b3ea00,VEHICLE_GRID_INTERACTION,True,双向充放电,V2G规模化应用试点，与车网互动计划合并计组。,N0191,关于推动车网互动规模化应用试点工作的通知(发改办能源〔2024〕718号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202409/t20240910_1392926.html,2024-09-10,351,1031,息化部、市场监管总局将在全国开展车网互动规模化应用试点。现将有关事项通知如下。 一、总体要求 按照“创新引导、先行先试”的原则，全面推广新能源汽车有序充电，扩大双向充放电（V2G）项目规模，丰富车网互动应用场景，以城市为主体完善规模化、可持续的车网互动政策机制，以V2G项目为主体探索技术先进、模式清晰、可复制推广的商业模式，力争以市场化机制引导车网互动规模化发展。参与试点的地区应全面执行充电峰谷分时电价，力争年度充电电量60%以上集中在低谷时段，其中通过私人桩充电的电量80%以上集中在低谷时段。参与试点的V2G项目放电总功率原则上不低于500千瓦，年度放电量不低于10万千瓦时，西部地区可适当降低。 二、重点任务 （一）发挥电力市场的激励作用。 逐步完善车网互动资源聚合参与电力市场的交易规则，推动充电负荷规模化、常态化参与电力市场交易，支持探索负荷聚合商参与电力市场的商业模式，推动电力市场各类新业态主体培育，逐步形成模式清晰、发展稳定、具备推广条件的负荷聚合商业模式。鼓励V2G项目聚合参与电力现货、绿电交易以及储能容量租赁等市场，验证V2G资源的等效储能潜力。 （二）完善价格与需求响应机制。 建立健全居民充电峰谷分时电价机制，鼓励围绕居民充电负荷与居民生活负荷建立差异化的价格体系，优化峰谷时段设置，合理扩大峰谷价差；探索新能源汽车和充换电场站对电网放电的价格机制。创新需求响应机制，丰富需求响应品种，提升用户参与频次和响应规模。 （三）加强智能有序充电应用推广。 制定完善充换电设施智能化相关技术要求，推动智能有序充电桩建设、替代或改造。推动建,89cf7ff9fc022837d77ad54cbdfe9f4a8ca4bc1654a1589569b9b6837e10bfd9,e6d406366547f52cd15940d4f3e448e2f84602a0c436518b7f234a954c4638e7,
policy:e95e33304b2b5076ca5d34d7,VEHICLE_GRID_INTERACTION,True,融合互动,安徽车网互动地方方案，与国家车网互动计划合并计组。,N0191,安徽省发展改革委安徽省能源局安徽省工业和信息化厅安徽省市场监管局国网安徽省电力有限公司印发关于支持新能源汽车与电网融合互动工作方案的通知,https://fzggw.ah.gov.cn/public/7011/149326851.html,2024-03-28,0,657,各市发展改革委、工业和信息化局、市场监管局，市供电公司： 为贯彻落实国家发展改革委等部门《关于加强新能源汽车与电网融合互动的实施意见》（发改能源 〔 2023 〕 1721 号 ）有关要求，充分发挥新能源汽车在电化学储能体系中的重要作用，构建新能源汽车与供电网络双向互动体系，巩固和扩大我省新能源汽车发展优势，支撑新型能源体系和新型电力系统建设，结合我省实际，制定以下工作方案。 一、总体要求 （一）指导思想 以习近平新时代中国特色社会主义思想为指导，全面贯彻党的二十大精神，抢抓新能源汽车发展机遇，落实省委省政府打造新能源汽车强省战略部署，坚持系统观念，强化试点示范，健全标准体系，加强政策扶持，培育车网融合互动新型产业生态，有力支撑我省高质量充换电服务体系构建，加快建设具有国际竞争力的新能源汽车产业集群。 （二）总体目标 到2025年，形成多项车网互动技术标准，充电峰谷电价机制全面实施并持续优化，市场机制建设取得重要进展。 —— 技术标准初步完善 。形成多项交互接口通讯协议等智能有序充电、车桩通信等双向充放电标准 。初步建立符合示范技术要求规范的V2G车辆和设备目录管理机制，明确目录申报和公开发布流程。 —— 市场机制初步建成 。 充电峰谷分时时段划分更加合理，车网互动资源参与电力市场 交易种类更加丰富，交易清分结算机制更加完善，车网互动资源参与频次和规模进一步提升。充放电定价机制进一步完善，建立充放电价动态调整机制。 —— 试点示范初见成效 。 力争创建1个国家级示范城市，打造 3—5 个省级示,9e8c6e1fea106c1115919898e4fd50d34dad5cf7a131f197f13d007ab7944d97,14872519cde0799e485b65d3f1ed4819cec5fce9171229c1c214bfccda527c88,
policy:9e7c8df4657d57c603743b6a,STORAGE_ENGINEERING_QUALITY,True,规范新型储能电站建设工程,新型储能工程建设质量监督，属于建设任务的制度支持，不证明已商业化。,N0061,国家能源局关于印发《新型储能电站建设工程质量监督大纲》的通知,https://www.nea.gov.cn/20260514/ded62aeb85294f51ab9597405dcd3449/c.html,2026-05-14,209,889,息化局、辽宁省工业和信息化厅、重庆市经济和信息化委员会，各派出机构，可靠性和质监中心，各电力建设工程质量监督机构，全国电力安委会各企业成员单位： 为进一步加强和规范新型储能电站建设工程的质量监督管理工作，我局制定了《新型储能电站建设工程质量监督大纲》，现印发给你们，请遵照执行。 附件： 新型储能电站建设工程质量监督大纲 国家能源局 2026年4月20日 相关： 《新型储能电站建设工程质量监督大纲》政策解读 【附件：新型储能电站建设工程质量监督大纲】 【第1页】 电力建设工程 质量监督大纲 新型储能电站建设工程 质量监督大纲 Outline of Quality Supervision of New Energy Storage Station Construction Project 2026-04-20 发布 2026-04-20 施行 国家能源局 发布 【第2页】 审 查 组 组 长 汪拥军 副 组 长 武英利 徐梓铭 桂小阳 边广琦 易跃春 成 员 于 飞 丁 晖 张建伟 高 楠 李多佳 易 俗 黎扬佳 刘大千 李双江 申 亮 阮 鹏 吕建国 晏昌平 胡大儒 编 写 组 组 长 余 波 副 组 长 薛建峰 韩志强 常昊天 成 员 柯 文 李 海 李 榕 张金虎 任麟东 王 伟 何 忠 王 欢 吴 胜 罗振林 傅兆庆 刘斯嘉 黄建红 李 民 沙俊强 姜 华 李 季 刘益平 张雪辉 李 文 钟治琨 黄昌辉 赵启龙 【第3页】 前 言 为贯彻落实《建设工程质量管理条例》和电力建设工程质量监督管理有关规定，规范新型储能电 站建设工程质量监督,24f84ad4585c44fbc75aca2650f92ac1a5bf9b9f8e8e8bd9ca1b10808cb6226a,76b472525e66c13b8aab1657734816c055359675a161479ec323715d19f9205b,
policy:e3c83675d10ade0c57da3ef1,STORAGE_SCALEUP,True,规模化建设专项行动方案,新型储能规模化建设任务。,N0061,关于印发《新型储能规模化建设专项行动方案(2025—2027年)》的通知,https://www.nea.gov.cn/20250912/73455a1a61b248d4aef65cc124631398/c.html,2025-08-27,0,626,目录项的基本信息 公开事项名称: 关于印发《新型储能规模化建设专项行动方案(2025—2027年)》的通知 索引号: 000019705/2025-000291 主办单位: 国家能源局 制发日期: 2025-08-27 国家发展改革委 国家能源局关于印发《新型储能规模化建设专项行动方案（2025—2027年）》的通知 发改能源〔2025〕1144号 各省、自治区、直辖市及新疆生产建设兵团发展改革委、能源局，北京市城市管理委，国家能源局各派出机构，有关中央企业： 为推动新型储能高质量发展，国家发展改革委、国家能源局研究制定了《新型储能规模化建设专项行动方案（2025—2027年）》。现予印发，请结合实际认真抓好贯彻落实。 国家发展改革委 国 家 能 源 局 2025年8月27日 附件： 《新型储能规模化建设专项行动方案（2025—2027年）》 .pdf 解读： 国家能源局有关负责同志就《新型储能规模化建设专项行动方案（2025—2027年）》答记者问 【附件：《新型储能规模化建设专项行动方案（2025—2027年）》】 附件 新型储能规模化建设专项行动方案 （2025—2027 年） 为贯彻落实国家发展改革委、国家能源局等部门《关于加快推 动新型储能发展的指导意见》《加快构建新型电力系统行动方案 （2024—2027 年）》，发挥新型储能支撑建设新型能源体系和新型电 力系统作用，培育能源领域新质生产力，进一步扩大内需，推动新 型储能,f839150470cd58ab10f140728868b7ed1b5673a0edc4d07703591db5380dd9bc,88c31305c69d244fa8177f1c3292b826f7e4a7be8e4f58e77a5e5b767db00039,
