category_id,period,papers
N0001,2021Q3,0
N0001,2021Q4,1
N0001,2022Q1,0
N0001,2022Q2,0
N0001,2022Q3,0
N0001,2022Q4,0
N0001,2023Q1,1
N0001,2023Q2,0
N0001,2023Q3,0
N0001,2023Q4,2
N0001,2024Q1,2
N0001,2024Q2,3
N0001,2024Q3,1
N0001,2024Q4,2
N0001,2025Q1,3
N0001,2025Q2,2
N0001,2025Q3,2
N0001,2025Q4,0
N0001,2026Q1,1
N0001,2026Q2,0
N0002,2021Q3,1
N0002,2021Q4,2
N0002,2022Q1,2
N0002,2022Q2,1
N0002,2022Q3,0
N0002,2022Q4,0
N0002,2023Q1,0
N0002,2023Q2,2
N0002,2023Q3,1
N0002,2023Q4,1
N0002,2024Q1,2
N0002,2024Q2,3
N0002,2024Q3,0
N0002,2024Q4,2
N0002,2025Q1,3
N0002,2025Q2,2
N0002,2025Q3,4
N0002,2025Q4,0
N0002,2026Q1,0
N0002,2026Q2,0
N0003,2021Q3,4
N0003,2021Q4,4
N0003,2022Q1,1
N0003,2022Q2,2
N0003,2022Q3,1
N0003,2022Q4,5
N0003,2023Q1,3
N0003,2023Q2,3
N0003,2023Q3,4
N0003,2023Q4,2
N0003,2024Q1,5
N0003,2024Q2,6
N0003,2024Q3,1
N0003,2024Q4,6
N0003,2025Q1,2
N0003,2025Q2,2
N0003,2025Q3,4
N0003,2025Q4,2
N0003,2026Q1,3
N0003,2026Q2,3
N0004,2021Q3,2
N0004,2021Q4,2
N0004,2022Q1,2
N0004,2022Q2,2
N0004,2022Q3,1
N0004,2022Q4,2
N0004,2023Q1,7
N0004,2023Q2,3
N0004,2023Q3,2
N0004,2023Q4,4
N0004,2024Q1,6
N0004,2024Q2,11
N0004,2024Q3,3
N0004,2024Q4,3
N0004,2025Q1,7
N0004,2025Q2,11
N0004,2025Q3,2
N0004,2025Q4,0
N0004,2026Q1,0
N0004,2026Q2,0
N0005,2021Q3,1
N0005,2021Q4,0
N0005,2022Q1,0
