category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter,core_numeric_candidate,emerging_numeric_candidate,core_failed_gates,emerging_failed_gates,core_rank,emerging_rank,abstract_available_core_candidate,abstract_available_emerging_candidate,abstract_available_multiyear_ratio,abstract_available_yoy_ratio,title_year_dedup_core_candidate,title_year_dedup_emerging_candidate,title_year_dedup_multiyear_ratio,title_year_dedup_yoy_ratio,exclude_jan1_core_candidate,exclude_jan1_emerging_candidate,exclude_jan1_multiyear_ratio,exclude_jan1_yoy_ratio,assignment_margin_core_candidate,assignment_margin_emerging_candidate,assignment_margin_multiyear_ratio,assignment_margin_yoy_ratio,equal_quarter_quota_core_candidate,equal_quarter_quota_emerging_candidate,equal_quarter_quota_multiyear_ratio,equal_quarter_quota_yoy_ratio,core_robust_candidate,emerging_robust_candidate,scope_review_status,core_followup,emerging_followup,potential_followup,review_display_name,review_reason
N0001,Electrochemistry / Chemical engineering / Electrode,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,12,11973,0.001022662194224,31,11985,0.0025745811197384,18,9992,0.0018062878344073,15,7998,0.0018792434529582,7,7996,0.0009095318942517,12,31,0.3972149824231964,3,64,21.33333333333333,0.0020867041357013,0.490084903138545,0.3972149824231964,-0.2844322987653953,1,1,3,61,0.0018011770494566,7,1,0.5833333333333334,30,138,48.0,0.6326530612244898,0.594523322962656,0.0021339950372208,0.4792242607817135,0.26150571185459,0.9931304832858568,0.9999999999869336,63.67,16.66,False,False,近期份额下降,2026Q2,False,False,annual_volume | active_years | persistence | current_volume | current_share,volume | multiyear | recent_growth | quarters | trend | peak | lower95 | qvalue,164,431,False,False,0.737924365228776,0.613996399639964,False,False,0.4908511900296473,0.3976393642458625,False,False,0.4667598363979945,0.3633595920386649,False,False,0.6723290164114751,0.5079914672416077,False,False,0.5326541525394372,0.4222222222222221,False,False,未进入候选范围审阅,False,False,False,Electrochemistry / Chemical engineering / Electrode,未进入候选范围审阅
N0002,Engineering / Electrical engineering / Computer science,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,7,11973,0.0006135973165344,22,11985,0.0018389865140988,11,9992,0.0011228275727396,3,7998,0.0004243452958292,7,7996,0.0009095318942517,7,22,0.333660585235485,3,36,12.0,0.0011287197942226,0.5436223584233307,0.333660585235485,-0.3021332622908534,1,1,3,40,0.0011918038011243,5,0,0.4166666666666667,10,63,19.666666666666668,0.532258064516129,0.2892497293827514,0.0012076095947063,0.5081090107466386,0.2315759962004413,0.9625888081909926,0.9999999999869336,26.680000000000003,16.520000000000003,False,False,近期份额下降,2026Q2,False,False,annual_volume | active_years | persistence | current_volume | current_share,volume | multiyear | recent_growth | quarters | trend | peak | lower95 | qvalue,386,433,False,False,0.6308782581778785,0.371096725057121,False,False,0.5443988449625771,0.3340170659665244,False,False,0.6853651364829718,0.3998358445213109,False,False,0.5252605050324582,0.3484930710754255,False,False,0.6278556417569393,0.4285714285714285,False,False,未进入候选范围审阅,False,False,False,Engineering / Electrical engineering / Computer science,未进入候选范围审阅
N0003,Photocatalysis / Visible spectrum / Catalysis,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,52,11973,0.0042951812157408,70,11985,0.0057621577441765,89,9992,0.008738527631322,72,7998,0.008790009699321,76,7996,0.0092772253213679,52,70,0.7454119457388494,3,231,77.0,0.0077635650249398,0.5532485658254772,0.4629812327450819,-0.3551239827189993,1,4,3,211,0.0062652888637464,12,3,1.0,120,464,178.33333333333334,0.6747211895910781,0.6254496191959,0.0076592224979321,0.5607855388586012,0.4156011124287772,0.9999277591053228,0.9999999999869336,97.44,23.09,False,False,近期份额下降,2026Q2,False,False,current_share,multiyear | recent_growth | quarters | trend | peak | lower95 | qvalue,4,397,False,False,0.4139924503265786,0.5137520894946638,False,False,0.5565219046230755,0.7462083388613844,False,False,0.5371387241281383,0.7044726784423098,False,False,0.617367954399382,0.8338727858494316,False,False,0.5503129484786926,0.7171717171717172,False,False,未进入候选范围审阅,False,False,False,Photocatalysis / Visible spectrum / Catalysis,未进入候选范围审阅
N0004,Environmental science / Waste management / Engineering,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,12,11973,0.001022662194224,71,11985,0.0058438904781364,50,9992,0.0049306776020308,25,7998,0.0030916585838991,22,7996,0.0027285956827552,12,71,0.1749968104381914,3,146,48.66666666666666,0.0046220755546888,0.2212560530704811,0.1749968104381914,-0.7865336008639132,0,1,3,133,0.0039324100914637,8,2,0.6666666666666666,19,233,83.66666666666667,0.2362204724409448,0.336773830888343,0.0048469809760132,0.2109895209585018,0.1184238497614351,0.9999999974106182,0.9999999999869336,65.82000000000001,2.97,False,False,近期份额下降,2026Q2,False,False,annual_volume | active_years | persistence | current_volume | current_share,volume | multiyear | recent_growth | quarters | trend | peak | lower95 | qvalue,153,491,False,False,0.1955073659301418,0.1426302195436935,False,False,0.225149142763062,0.1751837758565687,False,False,0.2501099233661454,0.1773852068020204,False,False,0.210425068198402,0.2011564605221787,False,False,0.140412420649535,0.1047619047619047,False,False,未进入候选范围审阅,False,False,False,Environmental science / Waste management / Engineering,未进入候选范围审阅
N0005,Optoelectronics / Nanotechnology / Energy conversion efficiency,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,1,11973,0.0001227194633068,20,11985,0.0016755210461789,11,9992,0.0011228275727396,2,7998,0.0003031037827352,4,7996,0.000545719136551,1,20,0.0732425674907162,3,33,11.0,0.0010338174672179,0.1187051555988138,0.0732425674907162,-1.1068522185079033,0,0,3,32,0.0009736893607418,3,0,0.25,3,96,33.0,0.1176470588235294,0.5470279025018815,0.0011083540115798,0.1107222620432973,0.0215689675515734,0.9995281571913428,0.9999999999869336,35.18,0.68,False,False,近期份额下降,2026Q2,False,False,annual_volume | active_years | persistence | current_volume | current_share,volume | multiyear | recent_growth | quarters | trend | peak | lower95 | qvalue,337,499,False,False,0.1721728360073401,0.1258501937150236,False,False,0.1188742154085731,0.0733208193585053,False,False,0.138902743949462,0.0721654938892122,False,False,0.1362417739052941,0.0841814431428949,False,False,0.0526287805575117,0.027027027027027,False,False,未进入候选范围审阅,False,False,False,Optoelectronics / Nanotechnology / Energy conversion efficiency,未进入候选范围审阅
N0006,Business / Environmental economics / Economics,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,19,11973,0.0015953530229894,80,11985,0.006579485083776,67,9992,0.0065905096660808,16,7998,0.0020004849660523,19,7996,0.0023647829250545,19,80,0.2424738414444208,3,163,54.333333333333336,0.0050568265719697,0.3154850181796955,0.2420682320215986,-0.7092678210317751,1,1,3,166,0.0049217825909487,8,2,0.6666666666666666,57,282,86.66666666666667,0.6615969581749049,0.3561613578833873,0.005409429280397,0.2949207652590581,0.1844044098253152,0.9999999701159462,0.9999999999869336,71.55,8.850000000000001,False,False,近期份额下降,2026Q2,False,False,annual_volume | active_years | persistence | current_volume | current_share,volume | multiyear | recent_growth | quarters | trend | peak | lower95 | qvalue,116,471,False,False,0.3893543806067715,0.2988478051344957,False,False,0.3159611722022394,0.2427328988700829,False,False,0.3706495279166367,0.2652704016755179,False,False,0.3054834471392222,0.2475253815990272,False,False,0.3411490605296975,0.2436974789915966,False,False,未进入候选范围审阅,False,False,False,Business / Environmental economics / Economics,未进入候选范围审阅
N0007,Supercapacitor / Capacitance / Electrode,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,118,11973,0.0096948376012435,121,11985,0.009930527176134,115,9992,0.0112770943175161,108,7998,0.013154704170708,114,7996,0.0138855202522435,118,121,0.976266156800123,3,344,114.66666666666669,0.011454108554786,0.8464069949112363,0.6981976494310426,-0.0755900395707147,1,4,3,354,0.0103008196982979,12,3,1.0,251,642,244.66666666666663,1.0257801899592944,0.6187351656354343,0.0113978494623655,0.8505848084109914,0.6903442065390166,0.924554815291625,0.9999999999869336,98.71,41.88,False,False,近期份额下降,2026Q2,True,False,,multiyear | recent_growth | quarters | trend | peak | lower95 | qvalue,1,305,False,False,0.7368377731308381,0.832905982905983,True,False,0.849844016731147,0.9854196427477132,True,False,0.8311213005113085,0.9345799114007584,True,False,0.9184387048254842,1.121424189385847,True,False,0.9004120626293396,1.0764331210191085,False,False,范围过宽或样本混杂，暂缓认定,False,False,False,Supercapacitor / Capacitance / Electrode,超级电容样本中混入油水界面电容检测；尚未单独计算明确储能子集。
N0008,Lithium (medication) / Anode / Lithium-ion battery,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,33,11973,0.0027407346805203,90,11985,0.0073968124233755,56,9992,0.0055165006834602,27,7998,0.0033341416100872,23,7996,0.0028498666019888,33,90,0.3705291581896822,3,173,57.66666666666666,0.0054158182389743,0.5060610529350704,0.3705291581896822,-0.349758854538071,1,2,3,179,0.0052180159291187,9,3,0.75,63,316,113.66666666666669,0.5581395348837209,0.5806920053165424,0.0057402812241521,0.4774565171108183,0.3298328674725917,0.9999669255563466,0.9999999999869336,88.66000000000001,15.599999999999998,False,False,近期份额下降,2026Q2,False,False,annual_volume | current_volume | current_share,multiyear | recent_growth | quarters | trend | peak | lower95 | qvalue,28,439,False,False,0.4754878231206864,0.3563865846044063,False,False,0.5068252959045857,0.3709250290567482,False,False,0.5127247122264224,0.3811931916479246,False,False,0.878167438113313,0.6079770893653527,False,False,0.5485871514740335,0.408695652173913,False,False,未进入候选范围审阅,False,False,False,Lithium (medication) / Anode / Lithium-ion battery,未进入候选范围审阅
N0009,Computer science / Artificial intelligence / Telecommunications,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,13,11973,0.0011044751697619,96,11985,0.0078872088271352,59,9992,0.0058094122241749,23,7998,0.0028491755577109,26,7996,0.0032136793596895,13,96,0.1400337171195559,3,178,59.333333333333336,0.0055152655363403,0.2002578411654842,0.1400337171195559,-0.8300545684309837,0,1,3,168,0.0049336987403573,8,2,0.6666666666666666,27,244,88.33333333333333,0.3134328358208955,0.3211633783096062,0.0059057071960297,0.1870182745437207,0.1075501519558594,0.9999999999869336,0.9999999999869336,67.60999999999999,2.62,False,False,近期份额下降,2026Q2,False,False,annual_volume | active_years | persistence | current_volume | current_share,volume | multiyear | recent_growth | quarters | trend | peak | lower95 | qvalue,144,492,False,False,0.2084475373432452,0.1530454079890747,False,False,0.2015516962301017,0.1416512164570077,False,False,0.2283275176419672,0.1439409040276719,False,False,0.2499589667587999,0.1828769282069788,False,False,0.1827810054660206,0.1205673758865248,False,False,未进入候选范围审阅,False,False,False,Computer science / Artificial intelligence / Telecommunications,未进入候选范围审阅
N0010,Control theory (sociology) / Voltage / Control (management),待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,42,11973,0.0034770514603616,36,11985,0.0029832447895382,26,9992,0.0025873852763132,28,7998,0.0034553831231813,17,7996,0.0021222410865874,42,36,1.165526701849982,3,90,30.0,0.0030086710630109,1.1556768378933204,1.0062708928092137,0.1477684165917137,3,3,3,104,0.003015893842071,10,2,0.8333333333333334,59,155,49.66666666666666,1.1842105263157896,0.3272207662854728,0.0029942100909842,1.161258346844528,0.806568109407269,0.2019566791231297,0.664165319947227,67.53,65.46,False,False,平稳或增长证据不足,2026Q2,False,False,annual_volume | active_years | current_volume,multiyear | peak | lower95 | qvalue,145,172,False,False,0.950083093108268,0.9089180657196156,False,False,1.1575731893904997,1.1667719427597771,False,False,1.0194054202027725,1.1199921565743838,False,False,1.6760165147449235,1.398772464344063,False,False,1.1377892857821237,1.0377358490566038,False,False,未进入候选范围审阅,False,False,False,Control theory (sociology) / Voltage / Control (management),未进入候选范围审阅
