doc_id,source,date,topic_1_id,topic_1_cosine,top1_top2_margin,needs_review,similarity_filter_passed,category_id
patent:ATE1836987,patent,2026-02-15,241,0.7353283,0.021412969,True,True,N0242
patent:AU2020311830,patent,2026-03-05,26,0.7046885,0.018715918,True,True,N0027
patent:AU2020347016,patent,2026-01-08,33,0.70177233,0.019646943,True,True,N0034
patent:AU2022205161,patent,2026-01-29,309,0.71367145,0.0026112199,True,True,N0310
patent:AU2023273260,patent,2026-02-05,120,0.80472785,0.033824623,True,True,N0121
patent:AU2023296414,patent,2026-02-19,23,0.74736565,0.017115116,True,True,N0024
patent:AU2023366065A,patent,2025-05-01,212,0.7489612,0.019640982,True,True,N0213
patent:AU2023378123A,patent,2025-06-05,435,0.7068739,0.021922648,True,True,N0436
patent:AU2023437842,patent,2026-03-26,16,0.72448456,0.0066699386,True,True,N0017
patent:AU2024202221A,patent,2025-06-05,128,0.76244146,0.009824872,True,True,N0129
patent:AU2024204691A,patent,2025-05-08,1,0.7023293,0.0069253445,True,True,N0002
patent:AU2024304056A,patent,2025-12-18,181,0.678228,0.01995039,True,False,N0182
patent:AU2024351812,patent,2026-03-26,1,0.6873154,0.0071498156,True,True,N0002
patent:AU2024353397,patent,2026-04-16,235,0.6905271,0.010618925,True,True,N0236
patent:AU2025268573,patent,2026-03-19,32,0.77010286,0.03328848,True,True,N0033
patent:AU2025271519,patent,2026-01-08,23,0.7204998,0.007909417,True,True,N0024
patent:AU2025271525,patent,2026-01-08,222,0.7058543,0.014401078,True,True,N0223
patent:BR102024018047,patent,2026-03-17,195,0.74634475,0.020262659,True,True,N0196
patent:BR112025014660,patent,2026-04-07,181,0.70553064,0.006848693,True,True,N0182
patent:CA2983601,patent,2025-09-23,74,0.7828928,0.04418224,True,True,N0075
patent:CA3238246A,patent,2025-11-29,224,0.6285447,0.0026627183,True,False,N0225
patent:CA3251687,patent,2025-07-04,359,0.73194253,0.013959706,True,True,N0360
patent:CA3259451A,patent,2025-04-18,95,0.665838,0.024787128,True,False,N0096
patent:CH2942024A,patent,2025-09-30,73,0.70054847,0.016523004,True,True,N0074
