category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0001,48,40,49,43,30,48,48,127,183,0.3949681268190703
C0002,1936,1476,1191,1080,895,1936,1936,3000,3483,0.6346819276689296
C0003,253,284,262,287,273,253,253,657,1010,0.28598198169166
C0004,1286,1020,943,870,870,1286,1286,2385,3081,0.32308360837514594
C0005,933,918,797,702,630,933,933,1720,2096,0.5874043083466682
C0006,35,13,25,7,10,35,35,71,87,0.13650198166825833
C0007,940,854,733,749,715,940,940,1696,2122,0.5197838436534963
C0008,45,33,36,45,55,45,45,109,204,0.20549702837331385
C0009,2321,1879,1493,1364,1171,2321,2321,3332,3733,0.6328002599241704
C0010,1575,745,675,687,646,1575,1575,2287,2788,0.34424765450745687
C0011,1352,1168,894,917,797,1352,1352,2164,2597,0.6341195875550799
C0012,700,621,604,596,533,700,700,1415,1881,0.44330182878801117
C0013,385,282,288,233,231,385,385,786,1047,0.3663585480198866
C0014,4,0,2,3,0,4,4,6,9,0.08791019279264622
C0015,1455,1244,1092,900,898,1455,1455,2642,3204,0.4330721756900483
C0016,1218,1022,1005,825,890,1218,1218,2445,3176,0.3447104730385351
C0017,471,446,428,428,442,471,471,1056,1524,0.21627576639434892
C0018,761,500,450,415,379,761,761,1357,1743,0.3388126336519761
C0019,663,669,611,459,535,663,663,1495,1927,0.3236019325629173
C0020,1048,1091,1085,1014,1040,1048,1048,2285,3019,0.5533326927769086
C0021,1181,1141,1003,889,818,1181,1181,2375,3003,0.40191487472730514
C0022,56,84,61,95,73,56,56,182,301,0.385209731345148
C0023,2,2,1,2,0,2,2,5,7,0.07400704607085626
C0024,756,621,537,356,283,756,756,1582,1942,0.20493874003298249
C0025,6,1,4,4,0,6,6,11,15,0.14183139665242883
C0026,422,419,421,449,491,422,422,1022,1533,0.3073751135646488
C0027,488,444,411,458,400,488,488,1052,1496,0.23465842096977899
C0028,1131,1024,874,760,554,1131,1131,2165,2642,0.3930986646332398
C0029,712,655,623,584,510,712,712,1400,1817,0.27087300995924557
C0030,157,142,168,122,145,157,157,432,628,0.4657132165323652
C0031,757,621,623,553,548,757,757,1450,1875,0.3058867838382345
C0032,99,80,80,87,71,99,99,231,343,0.3020189740320711
C0033,849,819,716,643,647,849,849,1869,2458,0.19538690318974655
C0034,1043,829,748,738,697,1043,1043,1881,2414,0.4884390427407456
C0035,77,103,78,97,78,77,77,250,397,0.23741781438295295
C0036,18,12,8,9,3,18,18,37,47,0.20555437203083066
C0037,2294,1911,1756,1514,1387,2294,2294,3574,4127,0.6326380445716413
C0038,836,635,629,495,548,836,836,1687,2216,0.2511580449487081
C0039,146,84,75,57,34,146,146,284,357,0.3474419637905244
C0040,2077,2096,1758,1251,1040,2077,2077,3836,4418,0.4136886123974658
C0041,11,37,9,10,4,11,11,56,66,0.45547912179345795
C0042,47,63,65,46,55,47,47,156,235,0.319780494522524
C0043,925,658,627,613,529,925,925,1594,2051,0.38161270269863845
C0044,793,679,570,520,475,793,793,1417,1761,0.5098049266193913
C0045,1085,1112,1046,942,993,1085,1085,2114,2706,0.46450245988940436
C0046,537,463,423,380,355,537,537,1068,1392,0.4711308959581591
C0047,1230,1169,1049,923,900,1230,1230,2257,2810,0.5562227548825134
C0048,1091,771,702,635,701,1091,1091,1847,2338,0.35246209210652496
