category_id,month,papers
C0109,2021-12,53
C0196,2021-12,70
C0250,2021-11,37
C0208,2021-12,34
C0238,2021-01,48
C0293,2021-11,50
C0088,2021-12,39
C0630,2021-10,20
C0672,2021-12,10
C0130,2021-09,48
C0179,2022-02,19
C0256,2022-09,61
C0028,2022-01,73
C0063,2021-01,145
C0140,2022-01,54
C0093,2022-01,98
C0393,2022-01,213
C0089,2022-01,134
C0051,2021-01,11
C0408,2021-01,113
C0280,2021-01,102
C0066,2021-07,36
C0168,2022-01,26
C0187,2021-01,7
C0192,2022-01,130
C0096,2021-01,6
C0011,2020-01,125
C0047,2020-09,50
C0161,2021-12,21
C0665,2022-01,11
C0474,2021-01,86
C0176,2020-05,74
C0375,2022-04,36
C0304,2022-03,116
C0183,2022-03,60
C0439,2022-04,17
C0017,2022-03,31
C0067,2021-11,153
C0430,2022-04,13
C0423,2022-02,52
C0540,2021-12,10
C0114,2022-05,44
C0176,2022-05,78
C0295,2022-05,43
C0360,2022-05,57
C0598,2022-05,5
C0219,2022-05,27
C0454,2022-02,20
C0333,2022-03,28
C0191,2022-05,41
C0209,2022-03,33
C0205,2022-03,34
C0615,2022-05,9
C0251,2020-10,49
C0671,2020-02,19
C0267,2021-03,54
C0387,2020-07,30
C0278,2021-01,297
C0443,2020-08,45
C0290,2021-06,60
C0272,2021-01,59
C0024,2021-03,23
C0055,2020-01,91
C0113,2020-11,155
C0143,2020-01,170
C0421,2021-03,36
C0307,2021-10,40
C0362,2020-04,94
C0389,2020-10,31
C0311,2020-01,124
C0129,2021-05,67
C0237,2022-06,97
C0425,2022-06,14
C0154,2022-06,52
C0034,2022-06,47
C0075,2022-06,48
C0188,2022-06,50
C0070,2022-06,37
C0319,2022-05,11
C0380,2022-06,27
C0750,2022-06,7
C0388,2022-06,3
C0330,2022-07,66
C0045,2022-07,51
C0201,2022-07,46
C0002,2022-07,55
C0342,2022-07,56
C0057,2022-07,43
C0371,2022-07,26
C0603,2022-07,6
C0052,2022-06,2
C0347,2022-07,11
C0294,2022-07,6
C0376,2022-01,1
C0635,2022-07,4
C0337,2021-11,8
C0484,2021-10,40
C0133,2021-09,64
C0094,2022-10,36
C0172,2022-11,55
C0133,2022-10,52
C0483,2022-10,66
C0202,2022-10,74
C0150,2022-10,19
C0310,2022-10,20
C0130,2022-10,32
C0318,2022-10,19
C0107,2022-11,4
C0601,2022-11,3
C0623,2022-11,5
C0559,2022-11,1
C0029,2024-01,77
C0060,2022-12,211
C0252,2022-12,50
C0309,2020-12,8
C0083,2022-12,33
C0415,2022-12,19
C0600,2022-12,4
C0160,2022-12,10
C0288,2023-03,13
C0179,2023-03,17
C0027,2023-03,27
C0340,2023-01,186
C0159,2023-02,36
C0468,2023-01,162
C0423,2023-03,59
C0386,2023-02,52
C0454,2023-03,25
C0501,2023-03,10
C0583,2023-03,6
C0149,2023-04,38
C0379,2023-02,31
C0418,2023-01,36
C0170,2023-02,66
C0194,2020-11,37
C0159,2023-04,33
C0386,2023-04,40
C0582,2023-04,15
C0265,2023-04,12
C0170,2023-04,69
C0224,2023-04,28
C0498,2023-04,9
C0661,2023-01,3
C0379,2023-04,20
C0285,2022-08,33
C0403,2024-06,13
C0359,2023-03,1
C0739,2023-04,7
C0330,2023-07,76
C0350,2022-08,50
C0603,2023-07,20
C0662,2023-07,5
C0002,2023-07,58
C0347,2023-07,20
C0635,2023-07,8
C0045,2023-07,50
C0371,2023-07,37
C0342,2023-07,52
C0057,2023-07,45
C0201,2023-07,44
C0171,2023-06,52
C0047,2023-08,61
C0186,2023-08,46
C0667,2023-08,18
C0091,2023-08,26
C0103,2021-10,64
C0520,2023-01,9
C0437,2023-06,48
C0402,2023-06,65
C0519,2023-08,3
C0652,2023-08,1
C0024,2023-09,18
C0146,2023-09,84
C0276,2023-09,108
C0153,2023-09,31
C0069,2023-09,22
C0267,2023-09,27
C0175,2023-09,49
C0421,2023-09,33
C0345,2023-09,17
C0501,2023-12,11
C0307,2023-10,70
C0423,2023-12,89
C0027,2023-12,29
C0288,2023-12,13
C0179,2023-12,22
C0308,2023-01,20
C0454,2023-12,31
C0103,2023-10,48
C0429,2024-02,51
C0192,2023-11,59
C0583,2023-12,4
C0089,2023-11,42
C0376,2023-11,1
C0169,2020-01,83
C0476,2020-02,40
C0590,2020-02,2
C0263,2020-02,72
C0234,2020-02,41
C0727,2020-01,81
C0138,2020-01,153
C0091,2020-09,27
C0348,2020-02,39
C0316,2020-02,37
C0059,2020-02,27
C0212,2020-06,39
C0572,2020-02,8
C0552,2020-01,48
C0172,2020-03,52
C0270,2020-10,50
C0601,2020-03,1
C0366,2020-04,35
C0539,2020-01,11
C0107,2020-03,6
C0182,2020-01,77
C0623,2020-03,1
C0175,2021-03,38
C0576,2020-01,14
C0416,2020-04,27
C0114,2020-05,41
C0191,2020-05,36
C0086,2020-04,48
C0615,2020-05,6
C0219,2020-05,29
C0319,2020-05,26
C0395,2020-06,42
C0594,2020-05,1
C0360,2020-05,45
C0295,2020-05,39
C0137,2020-06,36
C0223,2020-06,59
C0598,2020-05,2
C0174,2020-06,18
C0569,2020-06,18
C0606,2020-06,3
C0394,2020-12,59
C0562,2020-06,1
C0718,2020-06,6
C0645,2020-01,6
C0394,2020-04,36
C0210,2020-04,39
C0186,2020-09,46
C0324,2020-10,42
C0226,2020-10,73
C0519,2020-09,4
C0165,2020-10,18
C0653,2020-10,3
C0686,2020-10,6
C0323,2020-10,28
C0670,2020-10,6
C0382,2020-11,100
C0467,2020-06,1
C0306,2020-10,39
C0321,2020-10,10
C0275,2023-10,54
C0719,2020-10,3
C0521,2020-10,2
C0256,2021-02,47
C0554,2020-10,3
C0354,2021-01,166
C0117,2020-11,39
C0349,2020-11,58
C0005,2020-11,28
C0455,2021-05,50
C0042,2020-11,2
C0514,2020-11,7
C0339,2020-11,22
C0374,2021-01,1
C0414,2021-02,54
C0153,2021-03,29
C0210,2020-12,39
C0592,2020-08,15
C0086,2020-12,79
C0069,2021-03,50
C0164,2021-06,28
C0242,2021-01,12
C0310,2021-09,36
C0345,2021-03,26
C0404,2021-02,1
C0061,2020-04,47
C0240,2021-03,21
C0030,2021-02,3
C0276,2021-03,112
C0146,2021-03,66
C0296,2021-03,24
C0177,2021-05,37
C0667,2020-09,10
C0729,2021-01,2
C0362,2020-12,76
C0065,2021-07,16
C0155,2021-07,105
C0368,2021-07,22
C0445,2021-06,33
C0282,2021-06,34
C0483,2021-09,57
C0493,2021-06,57
C0299,2021-01,10
