category_id,period,papers
C0098,2021Q4,110
C0026,2021Q4,65
C0423,2021Q4,167
C0016,2021Q4,131
C0485,2021Q4,196
C0454,2021Q4,66
C0451,2021Q4,127
C0058,2021Q4,168
C0429,2021Q4,156
C0002,2021Q4,141
C0027,2021Q4,84
C0392,2021Q4,20
C0437,2021Q4,110
C0197,2021Q4,73
C0115,2021Q4,109
C0316,2021Q4,127
C0269,2021Q4,169
C0249,2021Q4,91
C0428,2021Q4,89
C0468,2021Q4,131
C0068,2021Q4,103
C0343,2021Q4,166
C0037,2021Q4,302
C0057,2021Q4,164
C0427,2021Q4,69
C0206,2021Q4,216
C0340,2021Q4,166
C0158,2021Q4,286
C0255,2021Q4,148
C0171,2021Q4,125
C0424,2021Q4,117
C0206,2021Q3,204
C0747,2021Q4,13
C0178,2021Q4,148
C0402,2021Q4,178
C0476,2021Q4,183
C0258,2021Q4,256
C0266,2021Q4,125
C0234,2021Q4,116
C0289,2021Q4,130
C0127,2021Q4,177
C0427,2021Q3,63
C0399,2021Q4,252
C0320,2021Q4,127
C0045,2021Q4,206
C0371,2021Q4,91
C0313,2021Q4,106
C0144,2021Q4,77
C0059,2021Q4,148
C0602,2021Q4,46
C0355,2021Q4,145
C0263,2021Q4,245
C0218,2021Q4,257
C0214,2021Q4,62
C0342,2021Q4,149
C0216,2021Q4,86
C0634,2021Q4,47
C0426,2021Q4,185
C0062,2021Q4,126
C0515,2021Q4,24
C0557,2021Q4,127
C0330,2021Q4,189
C0220,2021Q4,77
C0264,2021Q4,123
C0457,2021Q4,96
C0671,2021Q4,72
C0230,2021Q4,102
C0712,2021Q4,44
C0590,2021Q4,26
C0529,2021Q4,5
C0326,2021Q4,64
C0073,2021Q4,170
C0420,2021Q4,104
C0676,2021Q4,38
C0040,2021Q4,203
C0285,2021Q4,144
C0478,2021Q4,176
C0179,2021Q4,63
C0429,2021Q3,155
C0120,2021Q4,96
C0102,2021Q4,169
C0452,2021Q4,157
C0348,2021Q4,99
C0662,2021Q4,19
C0520,2021Q4,14
C0711,2021Q4,9
C0531,2021Q4,8
C0264,2021Q3,124
C0072,2021Q4,172
C0294,2021Q4,28
C0454,2021Q3,71
C0136,2021Q4,162
C0357,2021Q4,77
C0327,2021Q4,90
C0500,2021Q4,9
C0298,2021Q4,121
C0367,2021Q4,137
C0347,2021Q4,87
C0695,2021Q4,10
C0603,2021Q4,53
C0310,2021Q2,92
C0201,2021Q4,114
C0300,2021Q4,113
C0152,2021Q4,154
C0003,2021Q4,33
C0728,2021Q4,64
C0067,2021Q2,423
C0073,2021Q1,253
C0363,2021Q4,69
C0501,2021Q4,18
C0621,2021Q4,5
C0058,2021Q3,200
C0513,2021Q4,10
C0308,2021Q4,24
