category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0001,0,0,0,0,0,0,0,0,0,0.0
C0002,1943,1453,1191,1074,893,1943,1943,2991,3478,0.6143460237142624
C0003,0,0,0,0,0,0,0,0,0,0.0
C0004,0,0,0,0,0,0,0,0,0,0.0
C0005,843,793,697,626,539,843,843,1565,1914,0.5435781580892173
C0006,0,0,0,0,0,0,0,0,0,0.0
C0007,0,0,0,0,0,0,0,0,0,0.0
C0008,0,0,0,0,0,0,0,0,0,0.0
C0009,2192,1711,1373,1242,1086,2192,2192,3121,3502,0.6074840651328811
C0010,1548,727,667,677,635,1548,1548,2253,2751,0.3218287229470388
C0011,0,0,0,0,0,0,0,0,0,0.0
C0012,0,0,0,0,0,0,0,0,0,0.0
C0013,0,0,0,0,0,0,0,0,0,0.0
C0014,0,0,0,0,0,0,0,0,0,0.0
C0015,1468,1241,1086,894,888,1468,1468,2644,3205,0.4088782981055818
C0016,0,0,0,0,0,0,0,0,0,0.0
C0017,0,0,0,0,0,0,0,0,0,0.0
C0018,0,0,0,0,0,0,0,0,0,0.0
C0019,0,0,0,0,0,0,0,0,0,0.0
C0020,0,0,0,0,0,0,0,0,0,0.0
C0021,0,0,0,0,0,0,0,0,0,0.0
C0022,0,0,0,0,0,0,0,0,0,0.0
C0023,0,0,0,0,0,0,0,0,0,0.0
C0024,0,0,0,0,0,0,0,0,0,0.0
C0025,0,0,0,0,0,0,0,0,0,0.0
C0026,414,402,408,447,475,414,414,993,1498,0.2789490022153222
C0027,0,0,0,0,0,0,0,0,0,0.0
C0028,0,0,0,0,0,0,0,0,0,0.0
C0029,715,660,608,561,506,715,715,1393,1807,0.24913490887885142
C0030,0,0,0,0,0,0,0,0,0,0.0
C0031,0,0,0,0,0,0,0,0,0,0.0
C0032,101,78,80,87,71,101,101,232,344,0.2814031934427277
C0033,0,0,0,0,0,0,0,0,0,0.0
C0034,0,0,0,0,0,0,0,0,0,0.0
C0035,0,0,0,0,0,0,0,0,0,0.0
C0036,0,0,0,0,0,0,0,0,0,0.0
C0037,0,0,0,0,0,0,0,0,0,0.0
C0038,0,0,0,0,0,0,0,0,0,0.0
C0039,145,84,75,57,34,145,145,283,356,0.32295341361496505
C0040,2075,2075,1719,1227,1024,2075,2075,3798,4377,0.3890292278671006
C0041,0,0,0,0,0,0,0,0,0,0.0
C0042,0,0,0,0,0,0,0,0,0,0.0
C0043,0,0,0,0,0,0,0,0,0,0.0
C0044,732,595,503,439,419,732,732,1292,1601,0.4840682505389167
C0045,1022,1075,986,888,944,1022,1022,2012,2595,0.4351426862485719
C0046,0,0,0,0,0,0,0,0,0,0.0
C0047,0,0,0,0,0,0,0,0,0,0.0
C0048,0,0,0,0,0,0,0,0,0,0.0
C0049,0,0,0,0,0,0,0,0,0,0.0
C0050,1193,1099,905,785,668,1193,1193,2062,2419,0.5317872012333854
C0051,0,0,0,0,0,0,0,0,0,0.0
C0052,0,0,0,0,0,0,0,0,0,0.0
C0053,0,0,0,0,0,0,0,0,0,0.0
C0054,7,12,16,7,9,7,7,34,49,0.181690708256166
C0055,0,0,0,0,0,0,0,0,0,0.0
C0056,0,0,0,0,0,0,0,0,0,0.0
C0057,918,698,702,731,773,918,918,1659,2264,0.2884098408231582
C0058,1370,1331,1032,926,851,1370,1370,2536,3100,0.42819275977182786
C0059,0,0,0,0,0,0,0,0,0,0.0
C0060,2492,2323,2032,1757,1592,2492,2492,3899,4460,0.6117341431208765
C0061,1490,1197,1165,1148,1057,1490,1490,2622,3268,0.44736741591401935
C0062,0,0,0,0,0,0,0,0,0,0.0
C0063,1736,1328,1309,1195,1159,1736,1736,2916,3646,0.433811143990862
C0064,0,0,0,0,0,0,0,0,0,0.0
C0065,0,0,0,0,0,0,0,0,0,0.0
C0066,0,0,0,0,0,0,0,0,0,0.0
C0067,0,0,0,0,0,0,0,0,0,0.0
C0068,0,0,0,0,0,0,0,0,0,0.0
C0069,0,0,0,0,0,0,0,0,0,0.0
C0070,0,0,0,0,0,0,0,0,0,0.0
C0071,912,790,829,837,846,912,912,1738,2319,0.40881545212067694
C0072,0,0,0,0,0,0,0,0,0,0.0
C0073,0,0,0,0,0,0,0,0,0,0.0
