category_id,month,papers
C0218,2023-12,69
C0424,2023-12,38
C0289,2023-12,41
C0357,2023-12,43
C0355,2023-12,45
C0728,2023-12,37
C0593,2023-12,34
C0296,2023-11,18
C0223,2023-11,50
C0144,2023-12,33
C0101,2020-07,38
C0152,2023-07,40
C0144,2023-01,63
C0298,2023-12,7
C0629,2023-12,7
C0634,2023-12,13
C0737,2023-12,3
C0636,2023-01,13
C0276,2023-11,106
C0636,2023-12,3
C0327,2023-12,26
C0101,2023-02,19
C0101,2023-04,22
C0278,2024-01,321
C0408,2024-01,164
C0355,2023-01,94
C0063,2024-01,174
C0675,2024-01,77
C0493,2024-01,296
C0290,2024-01,147
C0155,2024-01,513
C0186,2024-01,112
C0564,2024-01,56
C0203,2024-01,80
C0282,2024-01,186
C0091,2024-01,57
C0410,2024-04,56
C0462,2024-03,20
C0238,2024-01,65
C0564,2024-06,25
C0695,2023-12,8
C0667,2024-01,32
C0280,2024-01,116
C0741,2024-01,11
C0393,2024-03,61
C0355,2024-11,54
C0515,2024-04,15
C0301,2023-04,20
C0543,2024-01,10
C0267,2023-11,32
C0370,2024-01,23
C0289,2023-01,97
C0210,2022-09,27
C0519,2024-01,8
C0609,2024-01,10
C0681,2024-01,5
C0487,2024-08,62
C0537,2024-10,244
C0487,2024-05,53
C0163,2025-10,10
C0728,2024-02,40
C0593,2024-11,48
C0672,2024-12,26
C0152,2024-04,56
C0203,2023-10,30
C0061,2023-05,61
C0712,2024-04,19
C0671,2024-04,27
C0694,2024-04,9
C0269,2024-04,33
C0476,2024-04,85
C0420,2024-04,42
C0040,2025-03,165
C0363,2024-04,27
C0186,2024-06,39
C0278,2024-06,84
C0481,2024-10,52
C0602,2024-04,28
C0572,2024-04,18
C0341,2024-03,88
C0611,2024-04,4
C0416,2023-05,34
C0363,2023-06,21
C0290,2023-10,50
C0651,2024-08,18
C0266,2024-04,11
C0744,2024-03,56
C0295,2024-08,41
C0341,2024-08,96
C0029,2023-08,19
C0254,2023-08,123
C0009,2023-08,108
C0473,2023-04,54
C0665,2024-03,8
C0393,2023-09,54
C0218,2024-02,62
C0214,2024-04,25
C0508,2024-04,1
C0393,2024-08,64
C0212,2023-11,39
C0290,2024-06,47
C0175,2023-11,35
C0179,2024-09,25
C0210,2022-12,48
C0257,2024-08,58
C0590,2024-04,3
C0175,2022-01,65
C0191,2024-03,73
C0176,2024-03,75
C0140,2024-03,43
C0408,2025-08,43
C0513,2024-04,1
C0280,2024-06,51
C0374,2024-01,1
C0412,2024-10,23
C0471,2024-04,3
C0493,2024-06,102
C0168,2024-05,22
C0341,2024-05,101
C0744,2024-05,45
C0191,2024-05,87
C0703,2024-01,2
C0598,2024-05,26
C0176,2024-05,77
C0393,2024-05,63
C0257,2024-05,68
C0665,2024-05,17
C0140,2024-05,34
C0700,2024-05,25
C0462,2024-05,11
C0424,2024-02,54
C0218,2024-11,98
C0295,2024-05,24
C0651,2024-05,14
C0715,2024-05,8
C0444,2024-05,14
C0528,2024-04,1
C0530,2024-10,77
C0615,2024-05,8
C0594,2024-05,1
C0040,2025-02,128
C0257,2024-03,48
C0186,2023-10,35
C0101,2022-10,20
C0327,2024-11,27
C0177,2023-08,34
C0130,2025-01,313
C0633,2024-10,21
C0647,2024-05,6
C0408,2024-06,51
C0282,2024-06,63
C0155,2024-06,134
C0063,2024-06,84
C0140,2025-04,51
C0091,2024-06,30
C0675,2024-06,17
C0203,2024-06,32
C0712,2025-07,32
C0543,2024-06,5
C0168,2024-03,12
C0238,2024-06,18
C0667,2024-06,17
C0501,2024-09,26
C0593,2025-06,48
C0729,2024-06,2
C0602,2024-07,27
C0230,2024-09,33
C0167,2024-10,29
C0674,2020-12,8
C0519,2024-06,1
C0609,2024-06,2
C0741,2024-06,4
C0370,2024-06,3
C0225,2024-10,58
C0744,2025-04,58
C0176,2020-03,73
C0357,2023-01,33
C0410,2024-07,52
C0419,2024-10,49
C0214,2024-07,33
C0671,2024-07,29
C0476,2024-07,92
C0712,2024-07,16
C0269,2024-07,50
C0152,2024-07,49
C0572,2024-07,17
C0475,2024-10,53
C0513,2024-07,2
C0266,2024-07,17
C0191,2024-08,86
C0363,2024-07,24
C0218,2022-02,49
C0420,2024-07,32
C0694,2024-07,4
C0139,2024-10,22
C0515,2024-07,8
C0714,2024-10,28
C0217,2024-10,32
C0407,2024-10,87
C0044,2024-10,35
C0141,2024-10,42
C0747,2024-09,18
C0417,2024-10,37
C0516,2025-02,14
C0340,2024-09,61
C0679,2024-10,3
C0213,2024-10,22
C0689,2024-10,6
C0542,2022-01,16
C0533,2024-10,17
C0387,2025-01,132
C0362,2024-12,107
C0063,2023-10,95
C0607,2024-10,8
C0524,2024-10,12
C0490,2024-10,7
C0318,2025-01,126
C0212,2026-03,92
C0429,2024-09,39
C0487,2025-04,59
C0506,2024-10,8
C0289,2024-02,25
C0218,2025-06,71
C0176,2024-08,73
C0574,2024-10,2
C0206,2025-03,93
C0680,2023-04,27
C0163,2025-05,15
C0243,2023-04,70
C0642,2024-09,19
C0266,2025-07,21
C0676,2024-09,16
C0711,2024-09,1
C0184,2025-05,294
C0341,2025-04,72
C0267,2026-05,168
C0444,2024-08,14
C0297,2025-01,223
C0058,2025-02,101
