category_id,period,papers
C0026,2021Q4,65
C0058,2021Q4,167
C0429,2021Q4,158
C0002,2021Q4,141
C0437,2021Q4,106
C0269,2021Q4,143
C0057,2021Q4,161
C0206,2021Q4,214
C0340,2021Q4,158
C0171,2021Q4,116
C0424,2021Q4,103
C0206,2021Q3,211
C0747,2021Q4,13
C0402,2021Q4,176
C0476,2021Q4,169
C0289,2021Q4,129
C0045,2021Q4,198
C0266,2021Q4,62
C0144,2021Q4,74
C0602,2021Q4,46
C0355,2021Q4,137
C0218,2021Q4,230
C0214,2021Q4,63
C0634,2021Q4,48
C0515,2021Q4,24
C0557,2021Q4,128
C0330,2021Q4,182
C0671,2021Q4,73
C0230,2021Q4,103
C0712,2021Q4,44
C0590,2021Q4,27
C0529,2021Q4,5
C0676,2021Q4,38
C0040,2021Q4,199
C0179,2021Q4,58
C0429,2021Q3,158
C0662,2021Q4,22
C0520,2021Q4,14
C0711,2021Q4,9
C0531,2021Q4,8
C0294,2021Q4,19
C0357,2021Q4,75
C0327,2021Q4,68
C0500,2021Q4,9
C0367,2021Q4,131
C0420,2021Q4,83
C0695,2021Q4,10
C0603,2021Q4,53
C0152,2021Q4,153
C0728,2021Q4,64
C0363,2021Q4,69
C0501,2021Q4,20
C0621,2021Q4,5
C0058,2021Q3,196
C0513,2021Q4,10
C0410,2021Q4,136
C0516,2021Q4,42
C0593,2021Q4,60
C0508,2021Q4,4
C0298,2021Q4,13
C0327,2021Q1,97
C0406,2021Q4,52
C0294,2021Q3,10
C0040,2021Q3,208
C0289,2021Q3,132
C0487,2021Q2,55
C0297,2021Q2,71
C0517,2021Q4,10
C0437,2021Q1,158
C0713,2021Q4,11
C0572,2021Q4,21
C0338,2022Q3,168
C0286,2022Q1,257
C0256,2022Q2,160
C0267,2022Q1,160
C0395,2022Q1,134
C0256,2022Q3,173
C0301,2022Q1,88
C0341,2022Q1,310
C0636,2021Q4,19
C0212,2022Q1,154
C0318,2022Q4,60
C0122,2022Q1,500
