category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0001,37,29,40,37,27,37,37,100,149,0.39212073678511544
C0002,1797,1389,1108,1023,809,1797,1797,2809,3283,0.63836305158849
C0003,180,191,192,190,156,180,180,474,716,0.27349730355276697
C0004,1197,926,864,795,784,1197,1197,2218,2877,0.31772819627801574
C0005,835,803,706,613,561,835,835,1529,1875,0.5834115410393571
C0006,17,5,11,0,8,17,17,32,40,0.14272810403572472
C0007,693,662,571,611,580,693,693,1347,1755,0.4924785660554943
C0008,34,21,23,28,31,34,34,74,130,0.17187222855664572
C0009,2111,1627,1292,1208,1022,2111,2111,3008,3375,0.6315419469707165
C0010,1423,689,606,623,568,1423,1423,2096,2555,0.3439395077131966
C0011,1113,974,765,767,609,1113,1113,1850,2225,0.6326933584600899
C0012,585,494,489,498,421,585,585,1191,1594,0.4353731239300934
C0013,310,225,240,176,179,310,310,650,849,0.3669138858040816
C0014,4,0,0,0,0,4,4,4,4,0.0
C0015,1253,1072,934,763,709,1253,1253,2324,2815,0.4355298734092985
C0016,970,815,803,658,753,970,970,2000,2660,0.3383137468511931
C0017,382,347,351,329,356,382,382,869,1253,0.21145694094131176
C0018,614,384,347,310,285,614,614,1090,1411,0.3336205183500283
C0019,517,569,501,374,454,517,517,1245,1629,0.32174233684812537
C0020,775,844,829,807,817,775,775,1807,2456,0.5455174854628748
C0021,947,912,779,714,678,947,947,1959,2539,0.3924667184890046
C0022,37,48,37,54,48,37,37,115,197,0.29208610611633384
C0023,0,1,0,2,0,0,0,1,3,0.015179796407551883
C0024,584,479,400,241,210,584,584,1232,1505,0.19250153104157716
C0025,6,1,0,1,0,6,6,7,8,0.0
C0026,344,361,320,342,394,344,344,843,1254,0.30120096582192807
C0027,378,361,317,351,323,378,378,843,1212,0.2334015672444519
C0028,950,875,732,623,451,950,950,1885,2300,0.3821926037663569
C0029,620,543,512,501,395,620,620,1176,1522,0.267865249880122
C0030,110,98,86,91,105,110,110,277,430,0.4636790951764764
C0031,636,521,550,478,471,636,636,1246,1634,0.307832677633552
C0032,87,60,69,80,63,87,87,193,299,0.307851659260569
C0033,780,751,645,566,578,780,780,1712,2245,0.18948120487304945
C0034,868,672,641,601,586,868,868,1598,2049,0.4918105347400277
C0035,60,67,53,72,54,60,60,176,284,0.2272764312103594
C0036,19,8,6,6,0,19,19,32,37,0.24921659618818068
C0037,2000,1670,1537,1337,1155,2000,2000,3176,3687,0.6352323630817239
C0038,659,465,475,362,386,659,659,1332,1743,0.2422638923113311
C0039,79,50,35,35,10,79,79,159,194,0.3043444874820063
C0040,1786,1809,1551,1067,879,1786,1786,3346,3856,0.408038464120637
C0041,3,32,2,3,0,3,3,36,39,0.42911521772509503
