category_id,month,papers
C0196,2021-12,65
C0208,2021-12,25
C0109,2021-12,42
C0238,2021-01,34
C0293,2021-11,36
C0088,2021-12,33
C0672,2021-12,10
C0130,2021-09,40
C0179,2022-02,16
C0028,2022-01,58
C0063,2021-01,122
C0140,2022-01,44
C0093,2022-01,84
C0089,2022-01,108
C0393,2022-01,153
C0354,2021-01,130
C0408,2021-01,87
C0280,2021-01,92
C0066,2021-07,30
C0403,2021-10,14
C0168,2022-01,20
C0187,2021-01,5
C0192,2022-01,111
C0096,2021-01,5
C0011,2020-01,97
C0047,2020-09,47
C0161,2021-12,21
C0665,2022-01,10
C0474,2021-01,59
C0176,2020-05,68
C0375,2022-04,34
C0183,2022-03,51
C0304,2022-03,92
C0017,2022-03,26
C0067,2021-11,143
C0430,2022-04,11
C0256,2022-09,43
C0540,2021-12,9
C0439,2022-04,15
C0423,2022-02,34
C0114,2022-05,32
C0176,2022-05,67
C0295,2022-05,31
C0360,2022-05,41
C0598,2022-05,5
C0333,2022-03,22
C0191,2022-05,35
C0209,2022-03,24
C0205,2022-03,33
C0219,2022-05,21
C0615,2022-05,10
C0416,2020-04,17
C0697,2020-08,4
C0223,2020-06,52
C0155,2021-07,88
C0671,2020-02,15
C0086,2020-12,71
C0387,2020-07,27
C0278,2021-01,247
C0443,2020-08,42
C0290,2021-06,51
C0272,2021-01,43
C0138,2020-01,127
C0113,2020-11,122
C0311,2020-01,96
C0307,2021-10,36
C0254,2021-10,78
C0389,2020-10,25
C0129,2021-05,63
C0237,2022-06,88
C0425,2022-06,12
C0075,2022-06,39
C0188,2022-06,42
C0070,2022-06,34
C0034,2022-06,37
C0319,2022-05,9
C0154,2022-06,45
C0380,2022-06,23
C0750,2022-06,6
C0388,2022-06,3
C0330,2022-07,63
C0045,2022-07,43
C0201,2022-07,28
C0342,2022-07,40
C0002,2022-07,49
C0057,2022-07,35
C0371,2022-07,22
C0603,2022-07,5
C0052,2022-06,2
C0347,2022-07,10
C0294,2022-07,5
C0376,2022-01,1
C0635,2022-07,3
C0337,2021-11,7
C0484,2021-10,34
C0133,2021-09,45
C0094,2022-10,27
C0172,2022-11,43
C0133,2022-10,40
C0483,2022-10,54
C0202,2022-10,59
C0150,2022-10,18
C0310,2022-10,17
C0130,2022-10,28
C0318,2022-10,14
C0601,2022-11,1
C0623,2022-11,5
C0559,2022-11,1
C0029,2024-01,62
C0107,2022-11,1
C0060,2022-12,188
C0309,2020-12,5
C0252,2022-12,36
C0083,2022-12,27
C0160,2022-12,9
C0600,2022-12,4
C0288,2023-03,11
C0027,2023-03,21
C0340,2023-01,133
C0179,2023-03,15
C0159,2023-02,31
C0468,2023-01,141
C0423,2023-03,39
C0386,2023-02,40
C0454,2023-03,24
C0501,2023-03,10
C0583,2023-03,6
C0415,2022-12,9
C0379,2023-02,28
C0418,2023-01,26
C0170,2023-02,43
C0194,2020-11,35
C0149,2023-04,23
C0159,2023-04,26
C0582,2023-04,12
C0265,2023-04,10
C0170,2023-04,53
C0498,2023-04,6
C0386,2023-04,30
C0661,2023-01,2
C0224,2023-04,17
C0379,2023-04,16
C0403,2024-06,11
C0359,2023-03,1
C0739,2023-04,4
C0330,2023-07,66
C0350,2022-08,48
C0603,2023-07,13
C0662,2023-07,4
C0002,2023-07,53
C0347,2023-07,16
C0635,2023-07,8
C0045,2023-07,45
C0057,2023-07,38
C0342,2023-07,38
C0371,2023-07,30
C0171,2023-06,42
C0047,2023-08,50
C0186,2023-08,37
C0091,2023-08,20
C0103,2021-10,53
C0667,2023-08,14
C0520,2023-01,7
C0437,2023-06,42
C0402,2023-06,61
C0519,2023-08,3
C0652,2023-08,1
C0146,2023-09,68
C0276,2023-09,85
C0153,2023-09,22
C0069,2023-09,15
C0267,2023-09,22
C0175,2023-09,38
C0421,2023-09,29
C0345,2023-09,14
C0501,2023-12,8
C0423,2023-12,62
C0027,2023-12,24
C0288,2023-12,10
C0179,2023-12,21
C0454,2023-12,26
C0103,2023-10,45
C0429,2024-02,45
C0192,2023-11,51
C0583,2023-12,4
C0089,2023-11,32
C0169,2020-01,75
C0590,2020-02,1
C0263,2020-02,54
C0234,2020-02,28
C0476,2020-02,33
C0091,2020-09,21
C0348,2020-02,32
C0316,2020-02,25
C0727,2020-01,59
C0055,2020-01,68
C0143,2020-01,133
C0059,2020-02,25
C0212,2020-06,34
C0572,2020-02,8
C0552,2020-01,44
C0172,2020-03,41
C0601,2020-03,1
C0366,2020-04,31
C0107,2020-03,5
C0623,2020-03,1
C0576,2020-01,11
C0182,2020-01,51
C0114,2020-05,27
C0191,2020-05,30
C0086,2020-04,43
C0219,2020-05,22
C0615,2020-05,5
C0319,2020-05,18
C0395,2020-06,34
C0594,2020-05,1
C0360,2020-05,40
C0295,2020-05,33
C0137,2020-06,26
C0362,2020-04,67
C0598,2020-05,2
C0569,2020-06,18
C0606,2020-06,3
C0394,2020-12,50
C0562,2020-06,1
C0718,2020-06,5
C0174,2020-06,11
C0645,2020-01,6
C0394,2020-04,31
C0186,2020-09,42
C0226,2020-10,57
C0210,2020-04,37
C0324,2020-10,23
C0519,2020-09,4
C0653,2020-10,2
C0686,2020-10,2
C0251,2020-10,38
C0270,2020-10,42
C0323,2020-10,24
C0670,2020-10,5
C0382,2020-11,79
C0165,2020-10,10
C0467,2020-06,1
C0306,2020-10,34
C0321,2020-10,8
C0275,2023-10,52
C0719,2020-10,2
C0521,2020-10,1
C0554,2020-10,3
C0349,2020-11,50
C0042,2020-11,2
C0117,2020-11,29
C0514,2020-11,6
C0005,2020-11,26
C0339,2020-11,20
C0256,2021-02,32
C0414,2021-02,43
