category_id,period,papers
C0063,2025Q1,282
C0251,2025Q2,214
C0354,2022Q2,166
C0128,2025Q2,182
C0183,2025Q2,184
C0530,2025Q2,268
C0349,2025Q2,181
C0151,2025Q2,187
C0556,2025Q2,276
C0356,2025Q1,35
C0050,2025Q2,270
C0616,2025Q2,80
C0448,2025Q2,120
C0270,2025Q2,174
C0061,2025Q1,234
C0581,2025Q2,23
C0209,2025Q2,100
C0167,2025Q2,111
C0129,2025Q1,279
C0237,2025Q2,402
C0537,2025Q2,527
C0155,2025Q1,834
C0188,2025Q2,168
C0156,2025Q2,141
C0375,2025Q2,127
C0044,2025Q2,105
C0104,2025Q2,61
C0407,2025Q2,359
C0112,2025Q2,34
C0017,2025Q2,60
C0450,2025Q2,90
C0443,2025Q2,200
C0031,2025Q2,118
C0278,2025Q1,618
C0334,2025Q2,115
C0381,2025Q2,64
C0304,2025Q2,244
C0113,2025Q2,279
C0194,2025Q2,308
C0117,2025Q2,109
C0714,2025Q2,90
C0143,2025Q1,383
C0430,2025Q2,44
C0076,2025Q2,249
C0196,2025Q1,416
C0394,2025Q1,339
C0034,2025Q2,116
C0259,2025Q2,239
C0070,2025Q2,172
C0145,2025Q1,240
C0186,2025Q1,174
C0277,2025Q2,186
C0211,2025Q1,308
C0011,2025Q1,312
C0405,2025Q1,216
C0066,2025Q1,219
C0253,2025Q1,338
C0484,2025Q1,169
C0552,2025Q1,144
C0138,2025Q1,360
C0210,2025Q1,312
C0493,2025Q1,378
C0188,2025Q4,196
C0080,2025Q1,343
C0417,2025Q2,144
C0461,2025Q1,424
C0009,2026Q2,614
C0439,2025Q2,59
C0328,2025Q2,233
C0614,2025Q2,10
C0481,2025Q2,134
C0009,2025Q1,658
C0060,2025Q1,1047
C0256,2025Q1,225
C0222,2025Q2,138
C0633,2025Q2,61
C0490,2025Q2,18
C0446,2025Q1,401
C0532,2025Q2,81
C0481,2025Q4,178
C0482,2025Q2,274
C0389,2025Q2,76
C0005,2025Q2,111
C0317,2025Q2,139
C0383,2025Q2,155
C0524,2025Q2,11
C0217,2025Q2,77
C0226,2025Q2,241
C0412,2025Q2,131
C0245,2025Q2,237
C0123,2025Q2,99
C0653,2025Q2,12
C0385,2025Q2,114
C0436,2025Q1,427
C0236,2025Q2,170
C0287,2023Q2,68
C0177,2024Q2,84
C0218,2026Q3,103
C0368,2025Q1,118
C0423,2021Q1,187
C0161,2025Q1,225
C0339,2025Q2,148
C0124,2025Q1,108
C0105,2025Q1,356
C0134,2025Q2,113
C0139,2025Q2,55
C0200,2025Q2,115
C0533,2025Q2,45
C0499,2025Q1,12
C0362,2025Q1,347
C0154,2025Q2,159
C0332,2025Q2,56
C0306,2025Q2,77
C0018,2025Q2,58
C0321,2025Q2,43
C0419,2025Q2,138
C0176,2025Q3,235
C0440,2025Q2,54
C0238,2025Q1,74
C0346,2025Q2,154
C0475,2025Q2,133
C0205,2025Q2,153
C0521,2025Q2,61
C0020,2025Q1,150
C0380,2023Q1,70
C0382,2025Q2,210
C0324,2025Q2,75
C0282,2025Q1,310
C0414,2025Q1,171
C0260,2023Q2,2
C0723,2025Q2,70
C0235,2024Q3,143
C0358,2025Q2,218
C0518,2025Q2,39
C0401,2025Q2,39
C0553,2025Q2,80
C0455,2025Q1,201
C0534,2025Q2,76
C0560,2025Q2,39
C0391,2025Q2,116
C0408,2025Q1,248
C0075,2025Q2,126
C0727,2025Q1,187
C0132,2025Q1,261
C0607,2025Q2,5
C0038,2025Q2,76
C0558,2025Q2,16
C0145,2026Q2,230
C0085,2025Q1,177
C0435,2025Q2,132
C0352,2025Q2,75
C0021,2024Q1,167
C0719,2025Q2,12
C0170,2024Q3,203
C0109,2025Q1,381
C0338,2025Q1,299
C0474,2025Q1,145
C0227,2025Q2,87
C0033,2025Q2,137
C0436,2024Q2,270
C0380,2025Q2,56
C0254,2025Q1,640
C0443,2025Q4,343
C0576,2025Q1,78
C0587,2025Q2,57
C0275,2026Q1,279
C0302,2026Q1,326
C0196,2026Q2,298
C0191,2025Q3,287
C0258,2026Q3,388
C0302,2025Q1,265
C0088,2025Q1,143
C0169,2025Q1,431
C0032,2025Q2,8
C0228,2023Q4,110
C0236,2023Q4,119
C0103,2025Q1,165
C0487,2025Q3,140
C0372,2023Q4,32
C0165,2025Q2,44
C0415,2025Q1,80
C0677,2025Q2,16
C0642,2026Q3,15
C0275,2025Q1,246
C0170,2022Q4,185
C0488,2025Q2,6
C0100,2025Q1,119
C0364,2025Q1,90
C0512,2025Q2,15
C0311,2025Q1,171
C0290,2025Q1,200
C0177,2025Q1,122
C0276,2025Q3,371
C0004,2024Q2,129
C0673,2025Q2,7
C0350,2021Q3,112
C0280,2025Q1,284
C0193,2025Q2,24
C0398,2025Q2,141
C0030,2025Q1,15
C0369,2025Q1,562
C0225,2025Q2,142
C0029,2025Q1,126
C0370,2025Q1,30
C0141,2025Q2,188
C0366,2025Q1,212
C0086,2025Q1,338
C0555,2025Q1,103
C0347,2021Q3,49
C0252,2025Q1,211
C0674,2025Q1,26
C0042,2025Q2,15
C0418,2024Q4,52
C0372,2025Q2,45
C0056,2025Q1,327
C0718,2025Q3,25
C0046,2025Q2,60
C0586,2025Q2,12
C0538,2025Q2,11
C0688,2025Q2,13
C0604,2025Q2,26
C0577,2025Q2,75
C0468,2024Q4,298
C0271,2024Q1,204
C0159,2024Q1,173
C0460,2025Q3,107
C0345,2025Q3,46
C0483,2025Q3,170
C0240,2025Q3,38
C0465,2025Q1,191
C0626,2025Q2,17
C0105,2026Q2,255
C0605,2025Q2,9
C0750,2025Q2,25
C0486,2024Q2,258
C0164,2025Q1,112
C0213,2025Q2,64
C0425,2025Q2,35
C0540,2025Q1,27
C0221,2025Q1,367
C0333,2025Q2,56
C0699,2025Q2,3
C0323,2025Q2,104
C0316,2024Q4,119
C0350,2024Q4,221
C0578,2025Q1,24
C0585,2025Q1,1
C0216,2024Q4,89
C0228,2025Q2,90
C0423,2024Q4,232
C0296,2022Q4,43
C0130,2022Q4,94
C0311,2024Q2,118
C0322,2025Q2,13
C0338,2022Q2,125
C0400,2024Q1,129
C0638,2025Q2,6
C0592,2025Q2,105
C0271,2022Q4,119
C0282,2022Q3,89
C0208,2025Q1,232
C0736,2025Q2,16
C0065,2025Q1,85
C0416,2025Q1,157
C0182,2025Q1,93
C0687,2025Q2,10
C0548,2024Q1,19
C0067,2025Q3,552
C0582,2024Q1,49
C0163,2024Q1,30
C0083,2025Q1,143
C0048,2025Q1,238
C0403,2025Q1,62
C0514,2025Q2,15
C0128,2025Q4,213
C0486,2025Q1,398
C0212,2024Q3,118
C0472,2025Q1,177
C0509,2025Q2,19
C0307,2025Q1,202
C0444,2024Q1,48
C0146,2025Q3,294
C0441,2025Q1,17
C0129,2024Q2,178
C0243,2021Q2,152
C0644,2025Q2,19
C0463,2025Q1,179
C0184,2025Q3,730
C0172,2025Q3,91
C0047,2025Q1,337
C0314,2025Q2,4
C0205,2025Q4,172
C0226,2025Q4,275
C0675,2026Q1,216
C0388,2025Q2,11
C0672,2026Q2,119
C0247,2025Q3,155
C0245,2025Q4,212
C0697,2025Q2,11
C0584,2025Q2,28
C0004,2025Q1,313
C0195,2025Q1,320
C0667,2025Q1,60
C0686,2025Q2,19
C0182,2024Q2,38
C0293,2024Q3,207
C0391,2025Q4,148
C0210,2026Q2,324
C0632,2025Q2,10
C0354,2025Q1,408
C0095,2025Q2,13
C0459,2025Q3,155
C0396,2025Q2,38
C0405,2026Q1,284
C0543,2025Q1,23
C0160,2025Q1,49
C0272,2025Q1,128
C0630,2025Q1,50
C0473,2024Q3,236
C0685,2025Q2,12
C0623,2025Q3,25
C0153,2025Q3,74
C0371,2024Q4,119
C0079,2025Q1,5
C0722,2025Q1,5
C0222,2025Q4,192
C0675,2025Q1,150
C0445,2025Q1,96
C0604,2025Q4,43
C0378,2025Q3,161
C0456,2025Q1,4
C0689,2025Q2,18
C0015,2025Q3,181
C0191,2024Q3,223
C0130,2023Q2,106
C0550,2025Q2,32
C0121,2023Q2,188
C0046,2025Q4,100
C0506,2025Q2,31
C0574,2025Q2,6
C0670,2025Q2,15
C0122,2025Q3,475
C0165,2025Q4,60
C0589,2025Q2,4
C0564,2025Q1,69
C0336,2025Q2,32
C0306,2025Q4,100
C0136,2026Q3,120
C0161,2024Q2,100
C0386,2024Q1,212
C0146,2024Q3,243
C0063,2024Q2,226
C0452,2024Q4,178
C0474,2026Q2,144
C0056,2026Q2,244
C0557,2024Q4,123
C0028,2025Q3,165
C0286,2025Q3,261
C0038,2025Q4,131
C0203,2025Q1,86
C0040,2024Q4,333
C0056,2020Q1,194
C0175,2025Q3,110
C0391,2023Q4,91
C0152,2024Q4,114
C0251,2025Q4,349
C0570,2025Q2,11
C0552,2026Q1,170
C0180,2025Q2,6
C0202,2025Q3,181
C0360,2025Q3,154
C0022,2025Q2,2
C0744,2024Q1,157
C0072,2021Q4,159
C0192,2025Q3,199
C0101,2024Q1,113
C0167,2023Q1,119
C0466,2025Q2,1
C0166,2024Q1,180
C0066,2022Q3,77
C0072,2024Q4,302
C0004,2026Q1,434
C0131,2025Q2,5
C0209,2025Q4,133
C0195,2026Q1,325
C0024,2022Q4,36
C0190,2025Q2,3
C0246,2025Q1,98
C0167,2025Q4,95
C0612,2025Q1,11
C0458,2025Q1,85
C0672,2025Q1,89
C0130,2024Q3,110
C0554,2025Q2,13
C0679,2025Q2,4
C0292,2025Q1,103
C0243,2025Q3,136
C0223,2025Q3,161
C0189,2025Q3,241
C0082,2025Q3,112
C0130,2025Q3,167
C0114,2025Q3,170
C0137,2025Q3,213
C0170,2025Q3,285
C0050,2025Q4,262
C0744,2025Q3,103
C0473,2025Q3,252
C0167,2023Q3,81
C0395,2025Q3,113
C0555,2026Q1,115
C0598,2025Q3,97
C0295,2025Q3,73
C0379,2025Q3,49
C0171,2026Q3,85
C0684,2025Q3,80
C0233,2025Q3,206
C0315,2025Q3,240
C0464,2025Q3,167
C0133,2025Q3,202
C0724,2025Q3,11
C0301,2025Q3,84
C0250,2025Q3,101
C0297,2025Q3,264
C0126,2025Q3,289
C0334,2025Q4,137
C0386,2025Q3,128
C0185,2025Q3,117
C0631,2025Q3,20
C0159,2025Q3,134
C0299,2025Q1,23
C0121,2025Q3,219
C0387,2025Q3,112
C0257,2025Q3,142
C0224,2025Q3,104
C0106,2025Q3,248
C0239,2025Q3,90
C0271,2025Q3,155
C0665,2025Q3,22
C0097,2025Q3,25
C0150,2025Q3,83
C0267,2025Q3,132
C0101,2025Q3,59
C0043,2025Q3,78
C0409,2022Q4,86
C0168,2025Q3,41
C0094,2025Q3,99
C0318,2025Q3,74
C0337,2025Q3,35
C0174,2025Q3,33
C0382,2025Q4,253
C0232,2025Q3,72
C0510,2025Q3,123
C0019,2025Q3,95
C0700,2025Q3,72
C0742,2025Q3,8
C0431,2025Q3,205
C0259,2025Q4,205
C0393,2025Q3,193
C0140,2025Q3,126
C0619,2025Q3,15
C0293,2025Q3,239
C0421,2025Q3,57
C0400,2025Q3,85
C0657,2025Q3,14
C0235,2025Q3,168
C0162,2025Q3,28
C0024,2025Q3,51
C0498,2025Q3,47
C0556,2025Q4,267
C0109,2026Q1,422
C0542,2025Q3,40
C0093,2025Q3,97
C0310,2025Q3,43
C0181,2025Q3,45
C0296,2025Q3,69
C0176,2024Q3,239
C0212,2025Q3,120
C0149,2025Q3,55
C0219,2025Q3,127
C0651,2025Q3,37
C0624,2025Q1,48
C0166,2025Q3,126
C0444,2025Q3,29
