category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0001,52,39,63,30,19,52,52,139,178,0.3894110290882202
C0002,1857,1426,1189,1030,866,1857,1857,2895,3374,0.6354204295386997
C0003,262,269,264,278,287,262,262,652,1008,0.28225390569494174
C0004,1273,1023,934,883,883,1273,1273,2337,3042,0.31733642546717883
C0005,947,891,782,713,596,947,947,1717,2084,0.581879880477253
C0006,25,14,25,6,12,25,25,62,78,0.13838985378870597
C0007,924,873,737,701,690,924,924,1691,2088,0.4959243813623774
C0008,48,33,27,56,55,48,48,103,203,0.20571210245227128
C0009,2289,1755,1472,1307,1146,2289,2289,3234,3619,0.6295350153464881
C0010,1353,718,688,686,650,1353,1353,2098,2630,0.34142819861840024
C0011,1349,1106,895,904,735,1349,1349,2126,2525,0.6332284600463551
C0012,699,633,576,622,534,699,699,1403,1888,0.441259678112137
C0013,391,286,250,252,232,391,391,762,1030,0.36300101137903473
C0014,0,2,0,3,0,0,0,2,5,0.08892084321325068
C0015,1413,1248,1053,906,868,1413,1413,2571,3136,0.4313524483408143
C0016,1263,1007,957,819,918,1263,1263,2429,3183,0.3384269505854017
C0017,444,446,421,447,426,444,444,1023,1492,0.2189953845966972
C0018,730,528,416,428,357,730,730,1307,1705,0.33854013293902907
C0019,646,653,602,475,629,646,646,1468,1947,0.3208115919831377
C0020,1105,1088,1049,1049,1022,1105,1105,2280,3021,0.550904180388525
C0021,1269,1114,1013,796,861,1269,1269,2405,3003,0.40301206114502897
C0022,59,81,67,102,62,59,59,186,299,0.38273214713064624
C0023,1,1,1,2,0,1,1,3,5,0.07430020423438144
C0024,717,584,524,339,297,717,717,1504,1872,0.20112271314706318
C0025,1,1,4,4,1,1,1,6,11,0.14211152119452647
C0026,407,435,468,397,497,407,407,1031,1510,0.306944896801863
C0027,490,441,438,435,395,490,490,1065,1491,0.23647413278412402
C0028,1151,985,853,707,542,1151,1151,2146,2600,0.38750882400406506
C0029,714,672,550,615,496,714,714,1363,1789,0.271935861341267
C0030,165,136,169,140,104,165,165,435,614,0.4656496527805194
C0031,719,631,606,571,532,719,719,1395,1819,0.3042955749770507
C0032,88,79,91,85,64,88,88,227,338,0.30153182383327143
C0033,859,829,744,649,670,859,859,1878,2499,0.19175301909267012
C0034,1041,771,725,756,649,1041,1041,1823,2347,0.4880557146363638
C0035,87,89,91,86,95,87,87,257,411,0.2397963752185867
C0036,15,8,9,8,8,15,15,30,45,0.20237480257919194
C0037,2217,1901,1701,1494,1326,2217,2217,3484,4031,0.6321108664837791
C0038,789,633,589,520,580,789,789,1625,2176,0.24839785402492948
C0039,101,83,68,45,36,101,101,237,306,0.337079159017576
C0040,2116,2043,1690,1215,1009,2116,2116,3761,4335,0.4092742737964597
C0041,15,31,11,8,4,15,15,56,64,0.4588262429248435
C0042,51,62,61,61,51,51,51,157,245,0.312668873198773
C0043,874,652,652,567,557,874,874,1574,2019,0.38081517980898105
C0044,787,656,554,540,465,787,787,1388,1730,0.5086987327447257
C0045,1092,1084,1058,908,1017,1092,1092,2114,2688,0.46438314970855377
C0046,529,472,411,376,340,529,529,1064,1383,0.4687168588259901
C0047,1283,1133,1030,928,852,1283,1283,2234,2778,0.5538095893937102
C0048,1046,798,652,645,702,1046,1046,1786,2291,0.3490757499334982
C0049,127,187,153,149,110,127,127,404,581,0.47121105050407375
C0050,1366,1176,1027,835,782,1366,1366,2246,2620,0.5605682829695464
C0051,28,39,35,28,41,28,28,101,167,0.1963327997255893
C0052,47,28,19,24,56,47,47,93,168,0.07778932143294622
C0053,19,12,19,31,32,19,19,50,110,0.11605741499441942
C0054,7,14,15,10,5,7,7,35,49,0.19578605357629858
C0055,834,764,726,695,682,834,834,1674,2166,0.3851586958281098
C0056,1344,1058,880,771,677,1344,1344,2248,2717,0.4387774786675232
C0057,958,716,727,753,782,958,958,1699,2298,0.3137046989060318
C0058,1385,1297,1013,916,894,1385,1385,2502,3091,0.4538201840385263
C0059,1353,1100,991,879,877,1353,1353,2403,2993,0.5186042983088213
C0060,2509,2240,1994,1748,1571,2509,2509,3815,4380,0.6318008287377802
C0061,1477,1216,1223,1179,1102,1477,1477,2626,3259,0.4777272215414579
C0062,884,661,608,609,608,884,884,1541,2030,0.4013163979886811
C0063,1769,1431,1310,1269,1201,1769,1769,2984,3732,0.45816210477869823
C0064,78,41,52,50,27,78,78,164,227,0.42827305696338147
C0065,528,354,303,311,303,528,528,957,1284,0.27573706336784215
C0066,869,734,661,502,592,869,869,1713,2192,0.2201477343521205
C0067,2349,2095,1873,1662,1496,2349,2349,3609,4163,0.5924725935560594
C0068,857,711,645,687,568,857,857,1586,2080,0.5240790566752224
C0069,808,656,546,585,512,808,808,1473,1898,0.396331375618578
C0070,1397,1357,1093,895,793,1397,1397,2785,3429,0.39394930185698385
C0071,896,849,824,894,802,896,896,1745,2329,0.43554806981548794
C0072,1950,1591,1272,931,647,1950,1950,3323,3835,0.47474758439090486
C0073,1322,1234,1203,1061,1002,1322,1322,2476,3075,0.4806155042064419
C0074,0,0,0,1,3,0,0,0,4,0.0
C0075,1168,1025,954,914,787,1168,1168,2064,2518,0.5764458534372416
C0076,1598,1371,1374,1251,1157,1598,1598,2701,3274,0.5507226401278789
C0077,50,33,36,28,26,50,50,112,158,0.21446900978505914
