category_id,month,papers
C0221,2021-12,83
C0085,2021-12,27
C0486,2021-10,52
C0242,2021-06,11
C0455,2021-10,52
C0176,2021-11,78
C0072,2024-02,79
C0341,2022-01,165
C0744,2022-01,63
C0257,2022-01,101
C0400,2022-01,70
C0126,2022-01,227
C0282,2021-01,96
C0287,2022-01,49
C0164,2021-01,65
C0564,2021-01,31
C0013,2022-01,29
C0205,2021-04,39
C0444,2022-01,27
C0275,2021-05,43
C0675,2021-01,25
C0715,2022-01,8
C0651,2022-01,20
C0162,2022-01,25
C0554,2022-04,2
C0251,2022-04,40
C0194,2022-06,80
C0165,2022-04,14
C0226,2022-04,115
C0389,2022-04,28
C0521,2022-04,10
C0270,2022-04,61
C0306,2022-04,37
C0323,2022-04,37
C0520,2022-02,2
C0321,2022-04,8
C0670,2022-04,8
C0254,2021-05,98
C0719,2022-04,6
C0736,2022-03,4
C0418,2022-02,13
C0063,2021-06,84
C0324,2022-04,45
C0340,2022-02,55
C0678,2022-02,15
C0067,2022-05,149
C0250,2022-05,37
C0487,2022-05,28
C0121,2022-05,63
C0571,2022-01,3
C0700,2022-05,27
C0293,2022-05,56
C0647,2022-05,8
C0337,2022-05,11
C0067,2020-05,150
C0318,2020-07,16
C0363,2020-02,24
C0155,2020-09,110
C0328,2021-08,61
C0156,2020-08,32
C0369,2020-04,98
C0070,2020-11,29
C0174,2020-03,15
C0408,2021-06,54
C0414,2020-01,88
C0403,2021-05,35
C0462,2020-05,18
C0030,2020-01,11
C0304,2021-04,99
C0237,2020-11,112
C0382,2022-06,115
C0339,2022-06,38
C0113,2022-06,134
C0117,2022-06,60
C0349,2022-06,64
C0336,2022-06,12
C0005,2022-06,33
C0157,2022-01,7
C0042,2022-06,3
C0605,2022-06,2
C0514,2022-06,3
C0016,2022-07,37
C0114,2021-11,47
C0186,2021-07,49
C0512,2022-06,3
C0462,2022-05,19
C0648,2022-01,1
C0433,2022-05,5
C0129,2021-10,89
C0191,2021-11,54
C0211,2021-10,82
C0297,2021-09,39
C0212,2022-11,45
C0223,2022-11,69
C0297,2022-10,52
C0460,2022-10,40
C0387,2022-10,38
C0395,2022-11,54
C0137,2022-11,53
C0569,2022-11,14
C0174,2022-11,14
C0718,2022-11,5
C0606,2022-11,8
C0311,2022-09,61
C0138,2022-09,63
C0143,2022-09,61
C0555,2022-12,17
C0463,2022-12,38
C0405,2022-12,53
C0364,2022-12,41
C0099,2022-10,1
C0725,2022-12,7
C0340,2023-03,74
C0468,2023-03,76
C0520,2023-03,4
C0027,2023-01,84
C0678,2023-03,8
C0001,2023-03,3
C0504,2023-03,3
C0423,2023-01,128
C0179,2023-01,53
C0235,2023-02,59
C0418,2023-03,12
C0288,2023-01,29
C0501,2023-01,24
C0454,2023-01,55
C0172,2020-06,54
C0235,2023-04,63
C0622,2023-04,29
C0693,2023-04,7
C0286,2023-04,84
C0548,2023-04,6
C0351,2023-04,4
C0724,2023-04,4
C0631,2023-04,3
C0016,2023-07,49
C0155,2023-08,164
C0066,2023-08,31
C0065,2023-08,12
C0543,2023-08,4
C0368,2023-08,24
C0681,2023-08,5
C0058,2023-06,77
C0177,2023-10,36
C0011,2023-05,63
