category_id,period,papers
C0387,2020Q1,237
C0133,2020Q1,280
C0378,2020Q1,161
C0276,2020Q1,451
C0257,2020Q1,286
C0082,2020Q1,197
C0286,2020Q1,319
C0247,2020Q1,220
C0386,2020Q1,328
C0166,2020Q1,205
C0202,2020Q1,282
C0606,2020Q1,17
C0184,2020Q1,1001
C0235,2020Q1,246
C0175,2020Q1,146
C0146,2020Q1,263
C0459,2020Q1,233
C0089,2020Q1,235
C0153,2020Q1,127
C0122,2020Q1,574
C0744,2020Q1,113
C0126,2020Q1,328
C0293,2020Q1,173
C0473,2020Q1,158
C0243,2020Q1,206
C0189,2020Q1,396
C0431,2020Q1,285
C0233,2020Q1,274
C0024,2020Q1,153
C0069,2020Q1,180
C0176,2020Q1,393
C0125,2020Q1,159
C0310,2020Q1,125
C0657,2020Q1,12
C0393,2020Q1,341
C0185,2020Q1,251
C0172,2020Q1,208
C0021,2020Q1,189
C0720,2020Q1,17
C0345,2020Q1,130
C0015,2020Q1,246
C0093,2020Q1,230
C0598,2020Q1,21
C0106,2020Q1,263
C0483,2020Q1,244
C0297,2020Q1,138
C0178,2020Q2,113
C0067,2020Q1,615
C0395,2020Q1,184
C0192,2020Q1,273
C0700,2020Q1,91
C0028,2020Q1,162
C0267,2020Q1,227
C0271,2020Q1,202
C0460,2020Q1,175
C0360,2020Q1,178
C0240,2020Q1,120
C0162,2020Q1,61
C0010,2020Q1,123
C0421,2020Q1,170
C0341,2020Q1,332
C0622,2020Q1,85
C0575,2020Q1,22
C0295,2020Q1,167
C0651,2020Q1,58
C0094,2020Q1,134
C0121,2020Q1,235
C0170,2020Q1,422
C0137,2020Q1,145
C0168,2020Q1,121
C0101,2020Q1,174
C0433,2020Q1,17
C0250,2020Q1,181
C0315,2020Q1,171
C0191,2020Q1,183
C0130,2020Q1,215
C0376,2020Q1,3
C0097,2020Q1,72
C0149,2020Q1,146
C0159,2020Q1,127
C0444,2020Q1,120
C0232,2020Q1,146
C0223,2020Q1,205
C0019,2020Q1,170
C0043,2020Q1,156
C0265,2020Q1,59
C0114,2020Q1,147
C0150,2020Q1,92
C0181,2020Q1,144
C0224,2020Q1,132
C0351,2020Q1,20
C0615,2020Q1,30
C0219,2020Q1,193
C0107,2020Q1,30
C0718,2020Q1,35
C0287,2020Q1,127
C0684,2020Q1,22
C0174,2020Q1,72
C0239,2020Q1,135
C0319,2020Q1,108
C0282,2024Q1,304
