category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0001,29,16,25,21,27,29,29,67,112,0.4386107552409964
C0002,1123,697,623,613,445,1123,1123,1803,2186,0.6556585132008367
C0003,237,247,217,253,229,237,237,581,892,0.312230981425431
C0004,994,698,638,637,634,994,994,1814,2406,0.3542309350345976
C0005,549,478,463,422,393,549,549,1050,1361,0.5920241452016446
C0006,29,10,22,7,8,29,29,59,74,0.19943660308121458
C0007,903,810,683,700,675,903,903,1614,2029,0.5244294393836768
C0008,36,20,22,36,38,36,36,75,148,0.2270292683800247
C0009,2057,1587,1231,1132,974,2057,2057,2933,3276,0.669463065599819
C0010,1137,471,423,493,420,1137,1137,1661,2090,0.342099192447368
C0011,815,683,506,554,466,815,815,1363,1683,0.6699594444708425
C0012,617,546,525,530,490,617,617,1261,1697,0.4709935085496742
C0013,291,209,226,180,171,291,291,608,813,0.39167030638335076
C0014,4,0,0,0,0,4,4,4,4,0.0
C0015,111,77,81,64,68,111,111,261,365,0.3212244369086662
C0016,933,694,690,530,574,933,933,1845,2373,0.34042217847936757
C0017,357,344,337,345,334,357,357,840,1217,0.24551535578369357
C0018,713,415,387,337,322,713,713,1228,1568,0.35585615506525337
C0019,250,211,262,201,194,250,250,614,854,0.27946686819686717
C0020,639,661,595,605,568,639,639,1456,1960,0.578840444703117
C0021,918,857,739,707,635,918,918,1906,2504,0.4010477400012719
C0022,53,76,36,85,61,53,53,155,262,0.3972586991225095
C0023,2,2,0,2,0,2,2,4,6,0.011736654560469115
C0024,559,364,333,213,152,559,559,1078,1295,0.2294994289823674
C0025,2,1,4,4,0,2,2,7,11,0.20265911255986363
C0026,379,380,393,408,430,379,379,943,1416,0.33697288366209166
C0027,377,360,362,410,342,377,377,877,1287,0.2538565925004112
C0028,936,789,674,635,462,936,936,1803,2254,0.3868022664676949
C0029,604,576,530,452,414,604,604,1209,1525,0.30258653368694216
C0030,121,125,131,103,112,121,121,350,511,0.47650199964758067
C0031,599,481,473,441,428,599,599,1154,1521,0.33212935734169685
C0032,64,44,57,64,38,64,64,147,226,0.31292770559655836
C0033,572,493,391,409,398,572,572,1225,1675,0.1836380195351126
C0034,429,251,243,229,235,429,429,789,1077,0.4232471172537243
C0035,77,89,72,90,72,77,77,229,366,0.23956492298990925
C0036,19,3,7,7,2,19,19,28,36,0.18138984448692372
C0037,2065,1740,1605,1381,1241,2065,2065,3296,3843,0.6552488819455902
C0038,736,456,534,390,439,736,736,1403,1848,0.26263713781355724
C0039,140,72,69,46,33,140,140,265,328,0.37816862130881995
C0040,1510,1449,1056,887,643,1510,1510,2787,3263,0.4322758340136231
C0041,2,5,0,3,1,2,2,7,11,0.42314513961654754
C0042,38,46,49,39,51,38,38,118,191,0.33101031488575683
C0043,567,335,308,320,303,567,567,963,1262,0.3624023654836234
C0044,489,379,287,265,253,489,489,889,1126,0.5062385687141081
C0045,492,496,508,452,401,492,492,1118,1481,0.4729449458367251
C0046,213,143,149,119,135,213,213,422,590,0.3686320313624826
C0047,570,510,431,433,386,570,570,1149,1511,0.5189527065276894
C0048,965,624,610,557,595,965,965,1614,2048,0.3717879861764997
C0049,111,175,138,118,84,111,111,374,513,0.48058593594202764
C0050,1052,974,835,725,584,1052,1052,1871,2195,0.5793780794623358
C0051,32,28,25,21,40,32,32,84,142,0.19051721430096874
C0052,44,26,18,26,35,44,44,86,146,0.11461195836266287
C0053,14,7,10,28,32,14,14,31,88,0.14109693445055863
C0054,6,4,2,6,4,6,6,11,20,0.0857645389613238
C0055,722,608,598,637,566,722,722,1444,1921,0.41396093944437573
C0056,889,671,556,522,444,889,889,1600,2006,0.4364684818068469
C0057,766,607,616,638,644,766,766,1431,1967,0.3416290871398905
C0058,713,653,507,465,453,713,713,1395,1784,0.4138803814731074
C0059,522,328,267,252,218,522,522,971,1238,0.4855037973734513
C0060,1055,893,895,755,734,1055,1055,1978,2447,0.6170917097114116
C0061,1221,999,990,935,844,1221,1221,2232,2792,0.5079305196549136
C0062,265,183,149,143,175,265,265,538,758,0.31171961494674866
C0063,1576,1109,1118,984,926,1576,1576,2620,3250,0.44598304349357204
C0064,78,41,53,41,26,78,78,158,217,0.4220191794097234
C0065,93,80,69,78,59,93,93,209,308,0.2784600702529487
C0066,402,299,289,240,266,402,402,848,1147,0.23296965184345791
C0067,1735,1503,1422,1274,1125,1735,1735,2807,3332,0.6222915884120926
C0068,83,36,49,36,20,83,83,162,208,0.3727771340347023
C0069,161,141,124,85,119,161,161,372,486,0.4321588979683391
C0070,1092,1078,851,736,585,1092,1092,2303,2903,0.40586570235456093
C0071,647,592,592,591,598,647,647,1326,1780,0.44913506469820125
C0072,1601,1188,953,688,484,1601,1601,2745,3174,0.4949008748869295
C0073,316,249,336,333,264,316,316,756,1077,0.416243074407685
C0074,0,0,0,0,0,0,0,0,0,0.0
C0075,665,566,566,508,390,665,665,1318,1640,0.5937301064042326
C0076,656,500,484,519,494,656,656,1234,1674,0.5353680105263755
C0077,25,26,20,19,18,25,25,71,104,0.1808528622210974
C0078,0,0,0,0,1,0,0,0,1,0.0
C0079,22,38,22,32,10,22,22,75,114,0.2043009350339403
C0080,901,728,712,729,550,901,901,1802,2348,0.5299183837938314
C0081,5,12,5,7,5,5,5,22,32,0.08397499633225239
C0082,687,525,477,474,503,687,687,1384,1908,0.3282859492815934
C0083,638,525,521,468,518,638,638,1289,1740,0.31369021337673275
C0084,0,1,0,2,4,0,0,1,7,0.29853628058927495
C0085,269,198,247,243,185,269,269,583,796,0.655117196294906
C0086,1118,975,846,833,723,1118,1118,2146,2722,0.37264781748244374
C0087,34,14,17,23,21,34,34,64,97,0.23918272705580235
C0088,1265,817,754,727,633,1265,1265,2165,2710,0.39670460396854096
C0089,645,581,526,570,583,645,645,1373,1929,0.2600822574969923
C0090,15,23,26,27,20,15,15,61,98,0.23776841071799054
C0091,609,431,379,368,341,609,609,1026,1280,0.30831708968426813
C0092,5,0,5,2,5,5,5,10,17,0.21379205994596537
C0093,13,18,11,14,16,13,13,41,71,0.24213210351782274
C0094,1055,724,775,673,649,1055,1055,1836,2278,0.4410578173721323
C0095,148,84,73,64,58,148,148,284,381,0.2524475787049006
C0096,24,16,13,11,18,24,24,52,78,0.11132685693135133
C0097,170,164,154,194,128,170,170,420,639,0.27826610253909817
C0098,814,433,360,380,347,814,814,1296,1654,0.33150847358792085
C0099,18,7,18,12,12,18,18,43,63,0.2299948082857126
C0100,651,538,473,432,489,651,651,1179,1497,0.2862494139747216
C0101,264,263,338,227,276,264,264,762,1084,0.15917587241213094
C0102,1020,674,628,658,535,1020,1020,1739,2215,0.35139586366595993
C0103,451,371,354,418,377,451,451,927,1301,0.47634640431612363
C0104,474,296,318,294,274,474,474,910,1221,0.23182038350885048
C0105,968,737,801,735,673,968,968,1811,2331,0.43359487231565175
C0106,1181,1029,912,726,575,1181,1181,2390,2928,0.3322168480155301
C0107,161,172,205,110,175,161,161,477,676,0.4526530557142748
C0108,9,9,10,19,17,9,9,28,63,0.2364432968455871
C0109,292,294,250,254,205,292,292,621,815,0.597844668529293
C0110,15,0,2,9,13,15,15,17,34,0.12482418951443482
C0111,7,6,0,2,5,7,7,13,20,0.0
C0112,207,131,134,123,140,207,207,421,618,0.1873143184457727
C0113,1392,1217,1244,1217,1162,1392,1392,2661,3405,0.5165174334235685
C0114,477,369,272,259,219,477,477,899,1133,0.5069107654120959
C0115,1092,722,572,537,508,1092,1092,1729,2116,0.4912767996664031
