category_id,month,papers
C0493,2021-12,39
C0155,2021-12,98
C0186,2021-12,36
C0063,2021-12,79
C0091,2021-12,23
C0238,2021-12,17
C0203,2021-12,33
C0133,2021-11,45
C0272,2021-12,26
C0278,2021-12,48
C0445,2021-12,20
C0405,2021-10,45
C0242,2021-12,7
C0460,2021-11,28
C0182,2021-10,6
C0474,2021-12,33
C0282,2021-12,25
C0143,2021-10,61
C0176,2021-09,75
C0047,2021-12,22
C0354,2021-12,43
C0318,2021-11,17
C0370,2021-12,5
C0564,2021-12,8
C0368,2021-12,27
C0310,2021-11,34
C0362,2021-06,46
C0675,2021-12,4
C0290,2021-12,13
C0065,2021-12,4
C0192,2021-09,53
C0066,2021-12,20
C0386,2021-11,38
C0164,2021-12,11
C0329,2021-12,8
C0667,2021-12,8
C0299,2021-12,10
C0280,2021-12,36
C0130,2021-11,28
C0018,2022-03,18
C0371,2022-02,27
C0310,2022-01,26
C0415,2021-05,9
C0224,2022-01,34
C0483,2022-01,13
C0170,2022-01,44
C0149,2022-01,16
C0622,2022-01,14
C0297,2022-01,15
C0094,2022-01,23
C0460,2022-01,27
C0202,2022-01,27
C0133,2022-01,24
C0286,2022-01,70
C0723,2021-04,9
C0235,2022-01,23
C0408,2021-12,39
C0379,2022-01,15
C0386,2022-01,37
C0130,2022-01,20
C0582,2022-01,10
C0387,2022-01,25
C0176,2020-07,52
C0048,2021-07,25
C0150,2022-01,7
C0369,2021-06,100
C0680,2021-03,14
C0088,2021-06,37
C0134,2021-04,52
C0061,2021-07,46
C0389,2021-04,35
C0159,2022-01,20
C0366,2021-06,6
C0555,2021-05,9
C0379,2021-11,28
C0134,2021-08,37
C0275,2020-01,53
C0009,2021-02,57
C0548,2020-05,4
C0394,2021-06,37
C0318,2022-01,12
C0211,2020-01,56
C0482,2021-08,48
C0435,2021-04,25
C0369,2021-07,87
C0017,2022-04,21
C0251,2022-03,43
C0587,2022-04,17
C0123,2022-04,21
C0171,2022-02,26
C0306,2022-03,49
C0183,2022-04,53
C0435,2022-03,32
C0358,2022-04,78
C0209,2022-04,39
C0259,2022-03,27
C0375,2022-03,37
C0265,2021-11,5
C0460,2022-05,38
C0488,2022-04,1
C0556,2022-04,21
C0304,2022-04,57
C0439,2022-03,15
C0320,2022-02,24
C0134,2022-03,28
C0334,2022-04,46
C0482,2022-03,66
C0518,2022-04,5
C0437,2022-02,25
C0205,2022-04,10
C0165,2022-03,20
C0323,2022-03,26
C0468,2022-07,37
C0430,2022-03,15
C0352,2022-04,14
C0026,2022-02,14
C0448,2022-04,20
C0440,2022-03,13
C0057,2022-02,45
C0050,2022-04,35
C0328,2022-04,66
C0136,2022-02,23
C0324,2022-03,30
C0270,2022-03,37
C0509,2022-04,6
C0040,2022-02,42
C0045,2022-02,17
C0389,2022-03,32
C0719,2022-03,8
C0094,2022-05,50
C0321,2022-03,8
C0133,2022-05,43
C0286,2022-05,61
C0159,2022-05,28
C0016,2022-02,29
C0310,2022-05,22
C0400,2021-09,19
C0631,2022-05,1
C0170,2022-05,61
C0387,2022-05,35
C0265,2022-05,8
C0261,2022-05,2
C0130,2022-05,32
C0224,2022-05,30
C0351,2022-05,4
C0110,2022-04,1
C0235,2022-05,46
C0202,2022-05,26
C0297,2022-05,20
C0379,2022-05,17
C0258,2022-02,33
C0386,2022-05,40
C0227,2022-04,15
C0483,2022-05,9
C0318,2022-05,19
