category_id,period,papers
C0020,2020Q1,82
C0048,2020Q1,80
C0138,2020Q1,94
C0241,2020Q1,135
C0338,2020Q1,81
C0408,2020Q1,77
C0369,2020Q1,270
C0105,2020Q1,131
C0472,2020Q1,186
C0253,2020Q1,26
C0474,2020Q1,79
C0455,2020Q1,112
C0011,2020Q1,46
C0727,2020Q1,41
C0362,2020Q1,121
C0267,2021Q2,92
C0221,2020Q1,156
C0061,2020Q1,152
C0132,2020Q1,181
C0414,2020Q1,76
C0060,2020Q1,102
C0063,2020Q1,142
C0254,2020Q1,153
C0252,2020Q1,55
C0307,2020Q1,90
C0405,2020Q1,108
C0056,2020Q1,65
C0540,2020Q1,6
C0089,2020Q3,102
C0486,2020Q1,145
C0065,2020Q1,15
C0366,2020Q1,35
C0100,2020Q1,79
C0672,2020Q1,13
C0465,2020Q1,151
C0169,2020Q1,51
C0196,2020Q1,97
C0177,2020Q1,91
C0145,2020Q1,73
C0458,2020Q1,69
C0394,2020Q1,61
C0461,2020Q1,75
C0278,2020Q1,50
C0210,2020Q1,52
C0007,2020Q1,121
C0055,2020Q1,73
C0155,2020Q1,186
C0290,2020Q1,45
C0009,2020Q1,205
C0484,2020Q1,95
C0493,2020Q1,63
C0211,2020Q1,199
C0446,2020Q1,71
C0311,2020Q1,136
C0275,2020Q1,143
C0083,2020Q1,97
C0272,2020Q1,76
C0364,2020Q1,45
C0066,2020Q1,49
C0004,2020Q1,96
C0079,2020Q1,6
C0164,2020Q1,65
C0445,2020Q4,75
C0143,2020Q1,157
C0280,2020Q1,54
C0368,2020Q1,46
C0189,2020Q3,129
C0436,2020Q1,132
C0129,2020Q1,70
C0555,2020Q1,11
C0160,2020Q1,23
C0161,2020Q1,41
C0242,2020Q1,8
C0186,2020Q1,56
C0071,2020Q1,65
C0029,2020Q1,65
C0237,2020Q2,166
C0447,2020Q3,4
C0088,2020Q1,80
C0463,2020Q1,46
C0080,2020Q1,51
C0085,2020Q1,21
C0195,2020Q1,67
C0091,2020Q1,72
C0109,2020Q1,29
C0203,2020Q1,79
C0725,2020Q1,9
C0205,2020Q2,37
C0256,2020Q1,112
C0560,2020Q2,9
C0047,2020Q1,38
C0675,2020Q1,19
C0182,2020Q1,24
C0445,2020Q1,53
C0296,2020Q3,38
C0282,2020Q1,66
C0566,2020Q1,6
C0354,2020Q1,74
C0267,2020Q3,75
C0539,2020Q1,12
C0184,2020Q3,425
C0086,2020Q1,115
C0057,2021Q1,161
C0468,2021Q3,85
C0217,2020Q2,57
C0164,2026Q1,67
C0103,2020Q1,51
C0609,2020Q1,3
C0527,2020Q1,13
C0416,2020Q1,29
C0293,2020Q3,73
C0104,2020Q2,84
C0525,2020Q1,4
C0031,2020Q2,79
C0723,2020Q2,26
C0741,2020Q1,6
C0552,2020Q1,26
C0499,2020Q1,7
C0238,2020Q1,25
C0038,2020Q2,54
C0337,2024Q3,37
C0208,2020Q1,51
C0030,2020Q1,11
C0292,2020Q1,37
C0443,2020Q2,93
C0246,2020Q1,15
C0341,2020Q3,222
C0551,2020Q1,7
C0674,2020Q1,5
C0438,2020Q1,6
C0302,2020Q1,6
C0051,2020Q1,1
C0729,2020Q1,5
C0332,2020Q2,36
C0417,2020Q2,65
C0741,2020Q4,6
C0183,2020Q2,160
C0418,2021Q3,19
C0564,2020Q1,20
C0567,2020Q1,2
C0415,2020Q1,24
C0136,2021Q4,111
C0630,2020Q1,21
C0576,2020Q1,5
C0304,2020Q2,227
C0543,2020Q1,2
C0251,2020Q2,94
C0441,2020Q1,7
C0091,2020Q4,53
C0343,2021Q4,55
C0035,2020Q1,6
C0667,2020Q1,16
C0352,2023Q3,55
C0097,2020Q3,22
C0473,2020Q3,55
C0299,2020Q1,10
C0063,2020Q4,187
C0645,2020Q1,8
C0101,2020Q3,62
C0185,2020Q3,83
C0681,2020Q1,2
C0370,2020Q1,8
C0470,2020Q1,3
C0710,2020Q1,1
C0176,2020Q3,172
C0519,2020Q1,8
C0750,2020Q2,9
C0383,2020Q2,57
C0539,2020Q4,8
C0113,2020Q2,214
C0404,2020Q1,3
C0356,2020Q1,5
C0469,2020Q1,22
C0090,2020Q1,4
C0403,2020Q1,41
C0064,2020Q1,2
C0386,2020Q3,147
C0309,2020Q1,13
C0306,2020Q2,121
C0358,2023Q4,263
C0552,2020Q4,32
C0043,2021Q2,45
C0189,2021Q2,127
C0484,2020Q4,118
C0086,2020Q4,145
C0083,2020Q4,90
C0195,2020Q4,83
C0154,2020Q2,132
C0657,2020Q3,5
C0329,2020Q1,6
C0270,2020Q2,101
C0259,2020Q2,91
C0050,2020Q2,85
C0213,2020Q2,39
C0317,2020Q2,19
C0328,2020Q2,199
C0133,2021Q2,152
C0349,2020Q2,130
C0165,2020Q2,38
C0506,2020Q2,12
C0435,2020Q2,96
C0315,2020Q3,56
C0117,2020Q2,128
C0358,2020Q2,181
C0227,2020Q2,37
C0537,2020Q2,124
C0076,2020Q2,61
C0323,2020Q2,80
C0381,2020Q2,13
C0530,2020Q2,68
C0128,2020Q2,137
C0389,2020Q2,77
C0339,2020Q2,43
C0333,2020Q2,9
C0463,2020Q4,71
C0398,2020Q2,53
C0391,2020Q2,54
C0123,2020Q2,79
C0141,2020Q2,121
C0167,2020Q2,50
C0334,2020Q2,118
C0156,2020Q2,113
C0440,2020Q2,16
C0430,2020Q2,51
C0034,2020Q2,31
C0018,2020Q2,36
C0385,2020Q2,34
C0112,2020Q2,18
C0346,2020Q2,54
C0685,2020Q2,4
C0382,2020Q2,183
C0490,2020Q2,14
C0352,2020Q2,61
C0226,2020Q2,17
C0033,2020Q2,139
C0448,2020Q2,91
C0017,2020Q2,68
C0686,2020Q2,6
C0412,2020Q2,67
C0587,2020Q2,25
C0136,2021Q3,89
C0719,2020Q2,7
C0592,2020Q2,20
C0228,2020Q2,41
C0277,2020Q2,75
C0375,2020Q2,90
C0245,2020Q2,38
C0616,2020Q2,41
C0200,2020Q2,112
C0379,2022Q4,89
C0482,2020Q2,109
C0321,2020Q2,14
C0075,2020Q2,65
C0439,2020Q2,39
C0134,2020Q2,101
C0005,2020Q2,54
C0407,2020Q2,57
C0401,2020Q2,63
C0475,2020Q2,38
C0070,2020Q2,85
C0194,2020Q2,75
C0209,2020Q2,103
C0556,2020Q2,25
C0225,2020Q2,139
C0584,2020Q2,43
C0419,2020Q2,27
C0236,2020Q2,49
C0633,2020Q2,25
C0100,2020Q4,94
C0714,2020Q2,22
C0151,2020Q2,94
C0372,2020Q2,25
C0188,2020Q2,97
C0222,2020Q2,28
C0324,2020Q2,113
C0207,2020Q2,3
C0586,2020Q2,6
C0614,2020Q2,9
C0533,2020Q2,19
C0465,2020Q4,174
C0046,2020Q2,32
C0174,2020Q3,28
C0380,2020Q2,52
C0170,2020Q3,94
C0481,2020Q2,53
C0509,2020Q2,11
C0284,2020Q2,5
C0450,2020Q2,31
C0396,2020Q2,17
C0042,2020Q2,12
C0094,2020Q3,107
C0670,2020Q2,11
C0689,2020Q2,18
C0697,2020Q2,9
C0082,2020Q3,62
C0400,2023Q2,57
C0139,2020Q2,34
C0336,2020Q2,8
C0498,2020Q3,14
C0212,2020Q3,114
C0269,2021Q1,87
C0130,2020Q3,90
C0237,2023Q4,319
C0387,2020Q3,74
C0431,2020Q3,157
C0400,2020Q3,49
C0166,2020Q3,91
C0483,2020Q3,30
C0265,2020Q3,14
C0224,2020Q3,83
C0240,2020Q3,27
C0044,2020Q2,30
C0067,2020Q3,262
C0202,2020Q3,74
C0233,2020Q3,60
C0271,2020Q3,94
C0318,2020Q3,34
C0409,2020Q3,113
C0232,2020Q3,78
C0487,2020Q3,17
C0395,2020Q3,66
C0459,2020Q3,68
C0159,2020Q3,61
C0337,2020Q3,25
C0247,2020Q3,110
C0191,2020Q3,51
C0019,2020Q3,31
C0122,2020Q3,167
C0250,2020Q3,103
C0393,2020Q3,134
C0169,2020Q4,82
C0310,2020Q3,80
C0149,2020Q3,64
C0742,2020Q3,15
C0360,2020Q3,46
C0206,2021Q1,164
C0575,2020Q3,14
C0243,2020Q3,87
C0192,2020Q3,117
C0021,2020Q3,111
C0069,2020Q3,13
C0140,2020Q3,79
C0235,2020Q3,143
C0286,2020Q3,176
C0028,2020Q3,72
C0133,2020Q3,89
C0010,2020Q3,51
C0460,2020Q3,88
C0550,2020Q2,6
C0146,2020Q3,115
C0125,2020Q3,77
C0223,2020Q3,108
C0700,2020Q3,60
C0219,2020Q3,97
C0744,2020Q3,21
C0623,2020Q3,6
C0651,2020Q3,15
C0121,2020Q3,100
C0464,2020Q3,24
C0378,2020Q3,60
C0221,2020Q4,104
C0295,2020Q3,15
C0739,2020Q3,13
C0540,2020Q4,11
C0095,2020Q2,13
C0345,2020Q3,50
C0043,2020Q3,52
C0175,2020Q3,44
C0287,2020Q3,34
C0462,2020Q3,34
C0179,2021Q1,47
C0162,2020Q3,28
C0400,2024Q3,117
C0514,2020Q2,3
C0106,2020Q3,97
C0581,2020Q2,8
C0257,2020Q3,33
C0619,2020Q3,2
C0736,2020Q2,13
C0153,2020Q3,10
C0510,2020Q3,29
C0521,2020Q2,18
C0371,2021Q1,57
C0693,2020Q3,12
C0612,2020Q4,6
C0622,2020Q3,51
C0665,2020Q3,6
C0322,2020Q2,8
C0466,2020Q2,2
C0013,2020Q3,25
C0297,2020Q3,48
C0542,2020Q3,15
C0239,2020Q3,18
C0150,2020Q3,24
C0172,2020Q3,70
C0181,2020Q3,46
C0114,2020Q3,25
C0379,2020Q3,62
C0553,2020Q2,9
C0330,2021Q1,67
C0163,2020Q3,27
C0137,2020Q3,56
C0715,2020Q3,11
C0256,2020Q4,129
C0136,2021Q1,98
C0647,2020Q3,12
C0107,2020Q3,14
C0601,2020Q3,5
C0319,2020Q3,31
C0526,2020Q3,3
C0301,2020Q3,72
C0254,2020Q4,167
C0527,2022Q3,20
C0570,2020Q2,6
C0282,2020Q4,73
C0105,2022Q2,111
C0538,2020Q2,7
C0582,2020Q3,22
C0121,2022Q1,103
C0276,2020Q3,6
C0260,2020Q3,4
C0598,2020Q3,12
C0168,2020Q3,5
C0582,2022Q1,21
C0143,2020Q4,177
C0680,2020Q3,29
C0618,2020Q3,1
C0421,2020Q3,35
C0615,2020Q3,15
C0569,2020Q3,14
C0405,2020Q4,126
C0720,2020Q3,9
C0718,2020Q3,9
C0676,2021Q1,27
C0442,2020Q3,1
C0476,2021Q3,46
C0024,2020Q3,42
C0627,2020Q3,3
C0684,2020Q3,6
C0502,2020Q3,6
C0351,2020Q3,6
C0607,2020Q2,9
C0206,2021Q3,196
C0696,2020Q3,2
C0444,2021Q2,11
C0215,2020Q3,3
C0745,2020Q3,5
C0395,2021Q2,70
C0690,2020Q3,1
C0365,2020Q3,8
C0648,2020Q3,1
C0594,2020Q3,1
C0571,2020Q3,2
C0252,2020Q4,86
C0720,2021Q2,12
C0296,2024Q3,66
C0248,2020Q3,2
C0089,2021Q2,111
C0220,2021Q1,56
C0479,2020Q3,1
C0362,2020Q4,119
C0155,2020Q4,222
C0007,2020Q4,113
C0088,2020Q4,92
C0493,2020Q4,70
C0472,2020Q4,194
C0061,2020Q4,149
C0461,2020Q4,89
C0564,2020Q4,39
C0416,2020Q4,33
C0109,2020Q4,33
C0354,2020Q4,96
C0241,2020Q4,149
C0009,2020Q4,224
C0004,2020Q4,107
C0020,2020Q4,73
C0486,2020Q4,245
C0338,2020Q4,82
C0210,2020Q4,63
C0071,2020Q4,100
C0103,2020Q4,58
C0364,2020Q4,51
C0048,2020Q4,96
C0211,2020Q4,175
C0105,2020Q4,130
C0182,2020Q4,21
C0132,2020Q4,206
C0369,2020Q4,237
C0446,2020Q4,96
C0272,2020Q4,88
C0727,2020Q4,43
C0145,2020Q4,90
C0011,2020Q4,61
C0077,2020Q4,5
C0368,2020Q4,58
C0138,2020Q4,105
C0394,2020Q4,106
C0161,2020Q4,53
C0196,2020Q4,145
C0080,2020Q4,72
C0307,2020Q4,131
C0278,2020Q4,86
C0436,2020Q4,129
C0455,2020Q4,157
C0186,2020Q4,66
C0242,2020Q4,13
C0275,2020Q4,129
C0032,2020Q2,12
C0474,2020Q4,71
C0675,2020Q4,14
