category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0001,0,0,0,0,0,0,0,0,0,0.0
C0002,0,0,0,0,0,0,0,0,0,0.0
C0003,0,0,0,0,0,0,0,0,0,0.0
C0004,0,0,0,0,0,0,0,0,0,0.0
C0005,0,0,0,0,0,0,0,0,0,0.0
C0006,0,0,0,0,0,0,0,0,0,0.0
C0007,0,0,0,0,0,0,0,0,0,0.0
C0008,0,0,0,0,0,0,0,0,0,0.0
C0009,1012,1111,901,834,677,1012,1012,1870,2192,0.5183323959018593
C0010,0,0,0,0,0,0,0,0,0,0.0
C0011,0,0,0,0,0,0,0,0,0,0.0
C0012,0,0,0,0,0,0,0,0,0,0.0
C0013,0,0,0,0,0,0,0,0,0,0.0
C0014,0,0,0,0,0,0,0,0,0,0.0
C0015,0,0,0,0,0,0,0,0,0,0.0
C0016,0,0,0,0,0,0,0,0,0,0.0
C0017,0,0,0,0,0,0,0,0,0,0.0
C0018,0,0,0,0,0,0,0,0,0,0.0
C0019,0,0,0,0,0,0,0,0,0,0.0
C0020,0,0,0,0,0,0,0,0,0,0.0
C0021,0,0,0,0,0,0,0,0,0,0.0
C0022,0,0,0,0,0,0,0,0,0,0.0
C0023,0,0,0,0,0,0,0,0,0,0.0
C0024,0,0,0,0,0,0,0,0,0,0.0
C0025,0,0,0,0,0,0,0,0,0,0.0
C0026,0,0,0,0,0,0,0,0,0,0.0
C0027,0,0,0,0,0,0,0,0,0,0.0
C0028,0,0,0,0,0,0,0,0,0,0.0
C0029,0,0,0,0,0,0,0,0,0,0.0
C0030,0,0,0,0,0,0,0,0,0,0.0
C0031,0,0,0,0,0,0,0,0,0,0.0
C0032,0,0,0,0,0,0,0,0,0,0.0
C0033,0,0,0,0,0,0,0,0,0,0.0
C0034,0,0,0,0,0,0,0,0,0,0.0
C0035,0,0,0,0,0,0,0,0,0,0.0
C0036,0,0,0,0,0,0,0,0,0,0.0
C0037,0,0,0,0,0,0,0,0,0,0.0
C0038,0,0,0,0,0,0,0,0,0,0.0
C0039,0,0,0,0,0,0,0,0,0,0.0
C0040,0,0,0,0,0,0,0,0,0,0.0
C0041,0,0,0,0,0,0,0,0,0,0.0
C0042,0,0,0,0,0,0,0,0,0,0.0
C0043,0,0,0,0,0,0,0,0,0,0.0
C0044,0,0,0,0,0,0,0,0,0,0.0
C0045,0,0,0,0,0,0,0,0,0,0.0
C0046,0,0,0,0,0,0,0,0,0,0.0
C0047,0,0,0,0,0,0,0,0,0,0.0
C0048,0,0,0,0,0,0,0,0,0,0.0
C0049,0,0,0,0,0,0,0,0,0,0.0
C0050,0,0,0,0,0,0,0,0,0,0.0
C0051,0,0,0,0,0,0,0,0,0,0.0
C0052,0,0,0,0,0,0,0,0,0,0.0
C0053,0,0,0,0,0,0,0,0,0,0.0
C0054,0,0,0,0,0,0,0,0,0,0.0
C0055,0,0,0,0,0,0,0,0,0,0.0
C0056,0,0,0,0,0,0,0,0,0,0.0
C0057,0,0,0,0,0,0,0,0,0,0.0
C0058,0,0,0,0,0,0,0,0,0,0.0
C0059,0,0,0,0,0,0,0,0,0,0.0
C0060,2419,2267,1994,1706,1537,2419,2419,3804,4354,0.5463985543559113
C0061,0,0,0,0,0,0,0,0,0,0.0
C0062,0,0,0,0,0,0,0,0,0,0.0
C0063,706,557,518,514,465,706,706,1289,1641,0.5192429369439333
C0064,0,0,0,0,0,0,0,0,0,0.0
C0065,0,0,0,0,0,0,0,0,0,0.0
C0066,0,0,0,0,0,0,0,0,0,0.0
C0067,0,0,0,0,0,0,0,0,0,0.0
C0068,0,0,0,0,0,0,0,0,0,0.0
C0069,0,0,0,0,0,0,0,0,0,0.0
C0070,0,0,0,0,0,0,0,0,0,0.0
C0071,0,0,0,0,0,0,0,0,0,0.0
C0072,0,0,0,0,0,0,0,0,0,0.0
C0073,0,0,0,0,0,0,0,0,0,0.0
C0074,0,0,0,0,0,0,0,0,0,0.0
C0075,0,0,0,0,0,0,0,0,0,0.0
C0076,0,0,0,0,0,0,0,0,0,0.0
C0077,0,0,0,0,0,0,0,0,0,0.0
C0078,0,0,0,0,0,0,0,0,0,0.0
C0079,0,0,0,0,0,0,0,0,0,0.0
C0080,0,0,0,0,0,0,0,0,0,0.0
C0081,0,0,0,0,0,0,0,0,0,0.0
C0082,0,0,0,0,0,0,0,0,0,0.0
C0083,0,0,0,0,0,0,0,0,0,0.0
C0084,0,0,0,0,0,0,0,0,0,0.0
C0085,0,0,0,0,0,0,0,0,0,0.0
C0086,0,0,0,0,0,0,0,0,0,0.0
C0087,0,0,0,0,0,0,0,0,0,0.0
C0088,0,0,0,0,0,0,0,0,0,0.0
C0089,0,0,0,0,0,0,0,0,0,0.0
C0090,0,0,0,0,0,0,0,0,0,0.0
C0091,0,0,0,0,0,0,0,0,0,0.0
C0092,0,0,0,0,0,0,0,0,0,0.0
C0093,0,0,0,0,0,0,0,0,0,0.0
C0094,0,0,0,0,0,0,0,0,0,0.0
C0095,0,0,0,0,0,0,0,0,0,0.0
C0096,0,0,0,0,0,0,0,0,0,0.0
C0097,0,0,0,0,0,0,0,0,0,0.0
C0098,0,0,0,0,0,0,0,0,0,0.0
C0099,0,0,0,0,0,0,0,0,0,0.0
C0100,0,0,0,0,0,0,0,0,0,0.0
C0101,0,0,0,0,0,0,0,0,0,0.0
C0102,0,0,0,0,0,0,0,0,0,0.0
C0103,0,0,0,0,0,0,0,0,0,0.0
C0104,0,0,0,0,0,0,0,0,0,0.0
C0105,0,0,0,0,0,0,0,0,0,0.0
C0106,0,0,0,0,0,0,0,0,0,0.0
C0107,0,0,0,0,0,0,0,0,0,0.0
C0108,0,0,0,0,0,0,0,0,0,0.0
C0109,0,0,0,0,0,0,0,0,0,0.0
C0110,0,0,0,0,0,0,0,0,0,0.0
C0111,0,0,0,0,0,0,0,0,0,0.0
C0112,0,0,0,0,0,0,0,0,0,0.0
C0113,0,0,0,0,0,0,0,0,0,0.0
C0114,0,0,0,0,0,0,0,0,0,0.0
C0115,0,0,0,0,0,0,0,0,0,0.0
C0116,0,0,0,0,0,0,0,0,0,0.0
C0117,0,0,0,0,0,0,0,0,0,0.0
C0118,0,0,0,0,0,0,0,0,0,0.0
C0119,0,0,0,0,0,0,0,0,0,0.0
C0120,0,0,0,0,0,0,0,0,0,0.0
C0121,0,0,0,0,0,0,0,0,0,0.0
C0122,152,139,104,94,114,152,152,319,436,0.3430643491524225
C0123,0,0,0,0,0,0,0,0,0,0.0
C0124,57,29,40,18,13,57,57,106,124,0.3715737399833802
C0125,0,0,0,0,0,0,0,0,0,0.0
C0126,0,0,0,0,0,0,0,0,0,0.0
C0127,0,0,0,0,0,0,0,0,0,0.0
C0128,0,0,0,0,0,0,0,0,0,0.0
C0129,338,344,285,253,278,338,338,814,1122,0.3292559053930069
C0130,0,0,0,0,0,0,0,0,0,0.0
C0131,0,0,0,0,0,0,0,0,0,0.0
C0132,0,0,0,0,0,0,0,0,0,0.0
C0133,0,0,0,0,0,0,0,0,0,0.0
C0134,0,0,0,0,0,0,0,0,0,0.0
C0135,0,0,0,0,0,0,0,0,0,0.0
C0136,0,0,0,0,0,0,0,0,0,0.0
C0137,0,0,0,0,0,0,0,0,0,0.0
C0138,0,0,0,0,0,0,0,0,0,0.0
C0139,0,0,0,0,0,0,0,0,0,0.0
C0140,0,0,0,0,0,0,0,0,0,0.0
C0141,0,0,0,0,0,0,0,0,0,0.0
C0142,0,0,0,0,0,0,0,0,0,0.0
C0143,0,0,0,0,0,0,0,0,0,0.0
C0144,0,0,0,0,0,0,0,0,0,0.0
C0145,0,0,0,0,0,0,0,0,0,0.0
C0146,0,0,0,0,0,0,0,0,0,0.0
C0147,0,0,0,0,0,0,0,0,0,0.0
C0148,0,0,0,0,0,0,0,0,0,0.0
C0149,0,0,0,0,0,0,0,0,0,0.0
C0150,0,0,0,0,0,0,0,0,0,0.0
C0151,182,161,113,153,101,182,182,373,514,0.533030966456214
C0152,0,0,0,0,0,0,0,0,0,0.0
C0153,0,0,0,0,0,0,0,0,0,0.0
C0154,552,449,426,407,373,552,552,1004,1314,0.28469867191597475
C0155,967,1033,799,744,674,967,967,1777,2136,0.5263676326898528
C0156,27,36,31,30,14,27,27,82,111,0.3447927540294177
C0157,0,0,0,0,0,0,0,0,0,0.0
C0158,0,0,0,0,0,0,0,0,0,0.0
C0159,0,0,0,0,0,0,0,0,0,0.0
C0160,0,0,0,0,0,0,0,0,0,0.0
C0161,0,0,0,0,0,0,0,0,0,0.0
C0162,0,0,0,0,0,0,0,0,0,0.0
