category_id,month,papers
C0498,2023-12,11
C0700,2023-12,25
C0718,2023-12,12
C0623,2023-12,4
C0606,2023-12,11
C0582,2023-12,11
C0502,2023-12,2
C0657,2023-12,5
C0257,2023-12,48
C0191,2023-12,7
C0487,2023-12,42
C0257,2023-01,111
C0542,2023-12,12
C0631,2023-12,10
C0510,2023-12,54
C0746,2023-11,3
C0501,2023-11,11
C0744,2023-12,33
C0387,2023-12,24
C0742,2023-01,30
C0651,2023-12,11
C0622,2023-12,20
C0569,2023-12,20
C0615,2023-12,5
C0627,2023-12,6
C0680,2023-12,20
C0724,2023-12,6
C0665,2023-12,5
C0122,2023-12,4
C0684,2023-12,22
C0473,2023-12,4
C0575,2023-12,7
C0742,2023-12,6
C0506,2023-05,7
C0598,2023-12,19
C0678,2023-09,14
C0642,2023-04,11
C0611,2023-11,3
C0647,2023-12,5
C0676,2023-09,13
C0720,2023-12,7
C0407,2024-01,23
C0537,2024-01,516
C0714,2024-01,91
C0518,2024-01,30
C0728,2024-03,31
C0577,2024-01,50
C0581,2024-01,13
C0510,2024-04,61
C0435,2023-10,1
C0644,2024-01,15
C0556,2024-01,229
C0736,2024-01,9
C0154,2024-01,92
C0530,2024-01,188
C0226,2024-01,99
C0506,2024-01,45
C0604,2024-01,24
C0587,2024-01,60
C0490,2024-01,32
C0616,2024-01,80
C0554,2024-01,17
C0633,2024-01,74
C0586,2024-01,17
C0259,2024-01,150
C0697,2024-01,24
C0151,2024-01,7
C0509,2024-01,17
C0417,2024-01,17
C0592,2024-01,112
C0719,2024-01,20
C0412,2024-01,13
C0723,2024-01,65
C0584,2024-01,26
C0569,2023-01,13
C0700,2023-01,61
C0603,2023-11,26
C0686,2024-01,16
C0534,2024-01,43
C0589,2024-01,4
C0570,2024-01,13
C0560,2024-01,34
C0381,2024-01,42
C0533,2024-01,25
C0687,2024-01,15
C0521,2024-01,36
C0558,2024-01,14
C0156,2024-01,3
C0670,2024-01,17
C0386,2023-12,12
C0550,2024-01,22
C0481,2024-01,70
C0632,2024-01,11
C0569,2024-09,18
C0688,2024-01,15
C0563,2024-01,5
C0677,2023-10,6
C0633,2024-06,22
C0750,2024-01,16
C0553,2024-01,79
C0677,2024-01,16
C0662,2023-11,4
C0650,2023-12,2
C0665,2024-02,10
C0605,2024-01,9
C0512,2024-01,17
C0744,2024-02,35
C0561,2024-01,9
C0689,2024-01,26
C0613,2024-01,3
C0532,2024-01,43
C0557,2023-11,38
C0358,2024-01,39
C0638,2024-01,2
C0541,2024-01,5
C0705,2024-01,3
C0524,2024-01,19
C0682,2024-01,3
C0607,2024-01,5
C0524,2024-06,14
C0060,2021-04,158
C0538,2024-01,10
C0663,2024-01,6
C0673,2024-01,3
C0514,2024-01,8
C0493,2024-10,116
C0336,2024-01,19
C0653,2024-01,7
C0565,2024-01,17
C0666,2024-01,1
