category_id,period,papers
C0680,2025Q1,90
C0602,2025Q2,81
C0520,2025Q2,22
C0743,2025Q2,43
C0728,2025Q2,163
C0487,2025Q1,300
C0355,2025Q2,56
C0647,2025Q1,47
C0420,2025Q2,72
C0603,2025Q2,67
C0593,2025Q2,144
C0747,2025Q2,72
C0636,2025Q2,40
C0608,2025Q2,5
C0671,2025Q2,100
C0545,2025Q2,23
C0712,2025Q2,78
C0557,2025Q2,105
C0515,2025Q2,35
C0642,2025Q2,56
C0627,2025Q1,17
C0330,2025Q2,43
C0501,2025Q2,69
C0744,2025Q1,205
C0542,2025Q1,78
C0676,2025Q2,68
C0657,2025Q1,25
C0529,2025Q2,19
C0746,2025Q2,34
C0575,2025Q1,53
C0298,2025Q2,11
C0566,2025Q3,14
C0634,2025Q2,62
C0516,2025Q2,39
C0651,2025Q1,84
C0713,2025Q2,20
C0572,2025Q2,48
C0633,2024Q4,65
C0517,2025Q2,23
C0257,2025Q1,198
C0510,2025Q1,199
C0590,2025Q2,29
C0060,2025Q3,609
C0582,2025Q1,65
C0694,2025Q2,26
C0500,2025Q2,17
C0695,2025Q2,25
C0748,2025Q2,4
C0552,2024Q1,110
C0622,2025Q1,119
C0615,2025Q1,30
C0693,2025Q1,29
C0725,2023Q2,28
C0549,2025Q1,11
C0548,2025Q1,35
C0502,2025Q1,15
C0387,2025Q1,99
C0473,2025Q1,35
C0559,2025Q1,5
C0707,2025Q2,5
C0678,2025Q2,31
C0191,2025Q1,84
C0720,2025Q1,38
C0618,2025Q1,4
C0704,2025Q1,6
C0513,2025Q2,13
C0493,2025Q3,342
C0637,2025Q2,9
C0712,2025Q4,93
C0629,2025Q2,10
C0660,2025Q2,5
C0711,2025Q2,10
C0718,2025Q1,50
C0504,2025Q2,22
C0675,2025Q3,91
C0254,2025Q3,102
C0715,2025Q1,38
C0588,2025Q2,3
C0625,2025Q1,21
C0737,2025Q2,11
C0531,2025Q2,6
C0555,2025Q3,83
C0583,2025Q2,15
C0684,2025Q1,119
C0598,2025Q1,163
C0635,2025Q2,17
C0643,2025Q2,2
C0571,2025Q1,13
C0233,2025Q1,98
C0719,2024Q4,16
C0498,2025Q1,71
C0508,2025Q2,2
C0606,2025Q1,41
C0745,2025Q1,29
C0661,2025Q2,6
C0742,2025Q1,26
C0597,2025Q2,11
C0155,2025Q3,158
C0547,2025Q1,4
C0063,2025Q3,86
C0009,2025Q3,231
C0564,2025Q3,59
C0624,2025Q3,35
C0667,2025Q3,47
C0129,2025Q3,37
C0672,2025Q3,91
C0727,2025Q3,172
C0630,2025Q3,32
C0725,2025Q3,17
C0723,2024Q4,70
C0721,2025Q3,1
C0472,2025Q3,38
C0552,2025Q3,85
C0539,2025Q3,16
C0386,2025Q1,44
C0543,2025Q3,20
C0233,2026Q2,52
C0527,2025Q3,71
C0710,2025Q3,11
C0634,2025Q4,101
C0501,2025Q4,80
C0646,2025Q3,4
C0246,2025Q3,52
C0576,2025Q3,74
C0499,2021Q2,10
C0739,2025Q1,36
C0490,2024Q4,25
C0645,2025Q3,7
C0408,2025Q3,18
C0609,2025Q3,11
C0553,2024Q4,98
C0665,2025Q1,54
C0700,2025Q1,106
C0612,2025Q3,8
C0519,2025Q3,20
C0744,2024Q2,129
C0681,2025Q3,10
C0551,2025Q3,15
C0601,2025Q1,17
C0525,2025Q3,12
C0598,2026Q1,180
C0441,2025Q3,12
C0600,2025Q3,30
C0569,2025Q1,56
C0499,2025Q3,13
C0278,2025Q3,34
C0622,2026Q1,143
C0529,2025Q4,39
C0636,2025Q4,59
C0233,2026Q1,99
C0623,2025Q1,46
C0473,2026Q2,24
C0487,2026Q2,230
C0631,2025Q1,57
C0728,2025Q4,185
C0724,2026Q1,29
C0540,2025Q3,23
C0741,2025Q3,12
C0662,2025Q4,17
C0616,2026Q3,63
C0744,2026Q1,205
C0696,2025Q1,19
C0536,2025Q3,1
C0674,2025Q3,19
C0122,2025Q1,23
C0698,2025Q3,4
C0520,2025Q4,23
C0660,2025Q4,7
C0537,2024Q4,704
C0246,2024Q1,56
C0489,2025Q3,5
C0582,2026Q2,38
C0578,2025Q3,16
C0744,2026Q2,165
C0671,2025Q4,119
C0720,2026Q1,15
C0623,2026Q1,87
C0665,2026Q2,59
C0534,2026Q3,72
C0537,2026Q3,453
C0689,2024Q4,23
C0733,2025Q3,1
C0516,2025Q4,49
C0515,2025Q4,39
C0713,2025Q4,33
C0747,2025Q4,125
C0355,2025Q4,87
C0676,2025Q4,67
C0593,2025Q4,203
C0588,2025Q4,2
C0597,2025Q4,25
C0504,2025Q4,23
C0678,2025Q4,38
C0557,2025Q4,139
C0266,2025Q4,6
C0508,2025Q4,2
C0513,2025Q4,23
C0545,2025Q4,26
C0572,2025Q4,56
C0603,2025Q4,95
C0500,2025Q4,14
C0420,2025Q4,75
C0637,2025Q4,4
C0330,2025Q4,36
C0298,2025Q4,10
C0590,2025Q4,21
C0583,2025Q4,31
