unit_id,category_id,name,scenario,kind,selected,patents,papers,applicants,policies,relative_share,matched_jan_may_relative_share,score
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,baseline,baseline,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,baseline,baseline,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,baseline,baseline,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,baseline,baseline,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,remove_gate_patents,gate_ablation,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,remove_gate_patents,gate_ablation,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,remove_gate_patents,gate_ablation,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,remove_gate_patents,gate_ablation,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,remove_gate_applicants,gate_ablation,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,remove_gate_applicants,gate_ablation,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,remove_gate_applicants,gate_ablation,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,remove_gate_applicants,gate_ablation,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,remove_gate_policies,gate_ablation,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,remove_gate_policies,gate_ablation,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,remove_gate_policies,gate_ablation,True,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,remove_gate_policies,gate_ablation,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,remove_gate_relative,gate_ablation,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,remove_gate_relative,gate_ablation,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,remove_gate_relative,gate_ablation,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,remove_gate_relative,gate_ablation,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,remove_gate_matched_may,gate_ablation,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,remove_gate_matched_may,gate_ablation,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,remove_gate_matched_may,gate_ablation,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,remove_gate_matched_may,gate_ablation,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,patents=25,one_at_a_time,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,patents=25,one_at_a_time,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,patents=25,one_at_a_time,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,patents=25,one_at_a_time,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,patents=50,one_at_a_time,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,patents=50,one_at_a_time,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,patents=50,one_at_a_time,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,patents=50,one_at_a_time,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,patents=100,one_at_a_time,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,patents=100,one_at_a_time,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,patents=100,one_at_a_time,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,patents=100,one_at_a_time,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,patents=200,one_at_a_time,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,patents=200,one_at_a_time,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,patents=200,one_at_a_time,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,patents=200,one_at_a_time,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,patents=500,one_at_a_time,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,patents=500,one_at_a_time,False,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,patents=500,one_at_a_time,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,patents=500,one_at_a_time,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,applicants=10,one_at_a_time,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,applicants=10,one_at_a_time,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
U0356_KG,C0356,电力知识图谱与知识问答,applicants=10,one_at_a_time,False,803,26,565,1,34.11435824012507,33.621222118979965,68.75
U0356_LLM,C0356,电力大模型辅助决策与运维,applicants=10,one_at_a_time,True,566,132,380,2,4.81040048364178,5.076171001667436,62.5
U0246,C0246,虚拟电厂资源聚合、调度与市场履约,applicants=20,one_at_a_time,True,659,424,436,6,1.7479713250204845,1.618839430880806,87.5
U0650,C0650,空气源热泵设备、运行与系统应用,applicants=20,one_at_a_time,True,285,173,231,4,1.8514152302353448,1.8908096633723603,62.5
