report_rank,category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter,quality_multiyear_share_ratio,quality_share_growth_ratio,geometry_multiyear_share_ratio,geometry_share_growth_ratio,dedup_multiyear_share_ratio,dedup_share_growth_ratio,exclude_needs_review_multiyear_share_ratio,exclude_needs_review_share_growth_ratio,supported_only_multiyear_share_ratio,supported_only_share_growth_ratio,papers_2025_jan_aug,share_2025_jan_aug,papers_2026_jan_aug,share_2026_jan_aug,share_ratio_2026_ytd,robust_min_ratio,emerging_robust,core_review_pass,emerging_review_pass,paper_review_reason,paper_review_decision,final_core,final_emerging,core_review_basis,review_status,patents_2026,patents_jan_may,active_patent_months,known_applicant_names,applicant_metadata_fraction,country_count,patent_review_decision,patent_review_reason,patent_review_pass,reviewed_policy_documents,reviewed_policy_points,policy_review_status,patent_literature_relative_share,jan_may_patent_relative_share,cross_label_papers_ytd,cross_label_patents_ytd,cross_label_relative_share,cross_label_jan_may_relative_share,potential_evidence_score,potential_numeric_gate,potential_priority,potential_review_category,potential_reason,potential_unit_ids,potential_selected_unit_ids,potential_evidence_tier,unified_patents,unified_papers,unified_applicants,unified_policy_groups,unified_relative_share,unified_matched_may_relative_share,recent_records,institution_metadata_fraction,title_only_fraction,jan1_fraction,needs_review_fraction,supported_fraction,quality_retained,geometry_retained,dedup_retained,exclude_needs_review_retained,supported_only_retained,data_scenarios_passed,robustness_grade,time_sensitivity_note
1,C0060,超级电容器电极与器件,电化学储能,方向候选,能源电力直接相关,True,True,3189,418193,0.0076200282869211,3203,337646,0.0094772218294129,2833,294889,0.0095964966944835,2322,259776,0.0089275074860369,2099,242709,0.0086369320893189,3189,3203,0.8040360797794177,3,8358,2786.0,0.0093337420033111,0.8163958554048202,0.7940427147024803,-0.1153090111637453,0,4,3,9225,0.0088979156036058,12,3,1.0,2494,3906,2042.3333333333333,1.2210440456769984,0.6318008287377825,0.0093633147601732,0.8138173800727964,0.7812874596385146,1.0,1.0,98.9060092449923,21.741140215716488,True,False,近期份额下降,2026Q2,0.748424159763393,0.7956540636603449,0.8096583127597974,0.7911191455888879,0.8461571261676487,0.8320353842445796,0.8402732836331867,0.8221435280981959,0.86353190092951,0.8805263912271192,2279,0.0091803159849055,2300,0.0073007178536746,0.7952577956661431,0.748424159763393,False,True,False,本次两条早期补充样本未发现明显脱离主题；结合原已读样本保留，样本少不足以证明类内纯度。电极、电解液与超级电容器用途一致；部分随机记录仅题名，保留证据深度限制。,原判断保留，少量跨年证据支持,True,False,冻结样本审阅或本次多年补审；非独立专家认定,已有样本依据的专家初评候选,214,203,8,156,0.9953271028037384,9,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.1048908897760789,0.1027350510306489,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,3189.0,0.9269363436814048,0.7463154593916588,0.1445594230166196,0.0018814675446848,0.9554719347757916,False,False,True,True,True,3,存在数据敏感性,所列时间长度/删年检验均保留
2,C0155,电解水析氧催化,氢能与燃料电池,方向候选,能源电力直接相关,True,True,3168,418193,0.0075698572274994,2902,337646,0.0085867446105419,2431,294889,0.0082350032513276,1948,259776,0.0074898808768753,1680,242709,0.0069132480953086,3168,2902,0.8815747493183806,3,7281,2427.0,0.0081038762462483,0.9341032608936916,0.8815747493183806,-0.0421097757400481,2,4,3,8501,0.0081305350297896,12,3,1.0,2404,3673,1804.0,1.332409972299169,0.618280681730557,0.0081568435037628,0.9280375704164796,0.8901221390948196,0.9997721576573344,1.0,98.21263482280432,40.97072419106318,True,False,近期份额下降,2026Q2,0.9205860058278656,0.8467253255763056,0.9629268354762104,0.9117161629533672,0.9468677449961796,0.902487406738476,0.9826788150710098,0.9181449841552384,0.7569147713034061,0.7872091220009946,2195,0.0088420196292433,2264,0.0071864705845017,0.8127634732605473,0.8127634732605473,False,True,False,九条中各年度均有明确析氧样本；3763980为臭氧分解、3888597为氧还原，保留既有核心但明确三年计数不是纯析氧量，列专家边界复核。,方向支持，标注边界,True,False,冻结样本审阅或本次多年补审；非独立专家认定,已有样本依据的专家初评候选,90,86,7,79,1.0,8,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0449582051532253,0.0443629326128253,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,3168.0,0.914141414141414,0.3301767676767677,0.1360479797979798,0.0943813131313131,0.2174873737373737,True,True,True,True,False,4,存在数据敏感性,所列时间长度/删年检验均保留
3,C0067,钙钛矿太阳能电池界面与器件性能,太阳能,宽泛待细分,能源电力直接相关,True,True,2930,418193,0.0070012518873874,2898,337646,0.008574911026238,2514,294889,0.0085161076189444,2172,259776,0.0083509192738063,2040,242709,0.0083942176367017,2930,2898,0.8164809950755912,3,7584,2528.0,0.0084806459729962,0.8255564387053278,0.8164809950755912,-0.0979352050476816,0,4,3,8342,0.0080307568441899,12,3,1.0,2342,3652,1927.3333333333333,1.2150388936905792,0.592472593556063,0.0084962685647584,0.8240384392305853,0.789647067013674,1.0,1.0,97.48073959938368,24.699537750385208,True,False,近期份额下降,2026Q2,0.7624132288196611,0.7755595964742666,0.8322320817863172,0.8245918508231681,0.8390733939077084,0.8392534992973926,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,2086,0.0084030398343958,2105,0.006681878478988,0.7951739621222924,0.7624132288196611,False,True,False,本次两条早期补充样本未发现明显脱离主题；结合原已读样本保留，样本少不足以证明类内纯度。中心与随机均涉及钙钛矿光伏；兼有器件比较，仍为宽方向且待复核记录占比高。,原判断保留，少量跨年证据支持,True,False,冻结样本审阅或本次多年补审；非独立专家认定,已有样本依据的专家初评候选,1,1,1,1,1.0,1,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0008014357732075,0.000827394211706,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,2930.0,0.8996587030716724,0.3590443686006826,0.1372013651877133,1.0,0.0,False,True,True,False,False,2,存在数据敏感性,所列时间长度/删年检验均保留
4,C0254,电催化析氢与界面调控,氢能与燃料电池,方向候选,能源电力直接相关,True,True,2826,418193,0.0067527856883469,2343,337646,0.0069330012040672,1936,294889,0.0065585374444564,1697,259776,0.0065250566017428,1462,242709,0.0060164387619094,2826,2343,0.9740061323493576,3,5976,1992.0,0.0066721984167555,1.0120780688099824,0.9740061323493576,0.0145937433803555,2,4,3,7105,0.0067481081122902,12,3,1.0,2360,3425,1680.3333333333333,1.404242664551943,0.6085790569895673,0.0066949632905635,1.0086367012444863,0.9645021540561864,0.3464998354766324,0.7711420670844936,97.46533127889062,51.51771956856703,True,False,近期份额下降,2026Q2,1.0663911135556816,0.9675963752977031,1.0147243443256078,0.9757778579538244,1.0327206053827112,1.0030487710077762,1.0291947430560728,0.9949916063345158,0.7348270858444045,0.8249244224135274,1752,0.0070579090868817,2131,0.0067643903956129,0.9584127979468592,0.9584127979468592,False,True,False,本次两条早期补充样本未发现明显脱离主题；结合原已读样本保留，样本少不足以证明类内纯度。中心和随机支持析氢；4225206主任务是抑制析氢并加氢，保留反向任务误分说明。,原判断保留，少量跨年证据支持,True,False,冻结样本审阅或本次多年补审；非独立专家认定,已有样本依据的专家初评候选,28,27,6,26,0.9642857142857144,6,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0150415375975995,0.0149838639770246,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,2826.0,0.9355980184005662,0.286624203821656,0.1157112526539278,0.0725406935598018,0.1942675159235669,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留
5,C0278,整体电催化水分解,氢能与燃料电池,方向候选,能源电力直接相关,True,True,2050,418193,0.0048988455878136,1919,337646,0.0056786412678502,1677,294889,0.0056813563455077,1432,259776,0.0055064174268021,1248,242709,0.0051360846456368,2050,1919,0.86267917918123,3,5028,1676.0,0.00562213834672,0.8713491710270141,0.8622669112609365,-0.0740952072067751,0,4,3,5646,0.0054196144003905,12,3,1.0,1853,2769,1383.3333333333333,1.3392728148326511,0.6512184370168971,0.0056329997333888,0.8696690608338571,0.8261336345904703,0.9999999522174626,1.0,97.20338983050848,30.93220338983051,True,False,近期份额下降,2026Q2,0.772500292285171,0.7675267878304041,0.8536116909305814,0.8492424984262605,0.8965562930426177,0.885215506549624,0.9404469748920776,0.9123819144355076,0.6632818791428075,0.7709238574298404,1444,0.0058174891161202,1558,0.0049459546946107,0.8501871848639122,0.7675267878304041,False,True,False,本次两条早期补充样本未发现明显脱离主题；结合原已读样本保留，样本少不足以证明类内纯度。中心和一条随机支持双功能/整体水分解；含仅析氢子反应研究，不能看作逐条纯整体体系。,原判断保留，少量跨年证据支持,True,False,冻结样本审阅或本次多年补审；非独立专家认定,已有样本依据的专家初评候选,5,5,2,5,1.0,2,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0039699825099721,0.0040985699155634,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,2050.0,0.9390243902439024,0.6634146341463415,0.2082926829268292,0.1746341463414634,0.0878048780487804,False,True,True,True,False,3,存在数据敏感性,所列时间长度/删年检验均保留
6,C0191,固态储氢材料与反应器,氢能与燃料电池,方向候选,能源电力直接相关,True,True,1883,418193,0.0044998662105082,1263,337646,0.003737933442005,984,294889,0.0033343042158881,734,259776,0.0028233602792224,617,242709,0.0025402741439173,1883,1263,1.2038379709870957,3,2981,993.6666666666666,0.0032985326457052,1.3642024178136134,1.2038379709870957,0.1498918193265441,4,4,3,4130,0.0038573679561338,12,3,1.0,1769,2698,1130.0,1.5649867374005304,0.5768408245951958,0.0033399201959031,1.3472975240629652,1.271771977281773,1.0300762624296945e-24,2.9713738339318105e-23,93.18952234206472,81.14021571648689,True,True,多年背景上持续抬升,2026Q2,1.363979236512697,1.291533401636025,1.393002960227827,1.215762435167415,1.4087889183678872,1.2392092721365044,1.3708004979406874,1.2071713844306604,2.069917933201779,1.556307466647327,983,0.0039608864975453,1413,0.0044857920826642,1.1325222486037425,1.1325222486037425,True,True,True,三年度均有固态/表面储氢材料、金属氢化物证据；3787754为析氢、3925927为含水层储氢。按含边界误分的固态储氢方向作核心与持续升温初评，不把增长解释为纯净技术总量。,宽方向支持，标注边界,True,True,冻结样本审阅或本次多年补审；非独立专家认定,已有样本依据的专家初评候选,283,271,7,189,1.0,9,本轮未作样本语义复核,,False,1,2,已有复核支持，计数为下限,0.2256264243879343,0.223074786563286,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,1883.0,0.9129049389272438,0.6202867764206054,0.1412639405204461,0.0780669144981412,0.2166755177907594,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留
7,C0122,热电材料与热电性能优化,能源材料与电化学基础,方向候选,能源电力直接相关,True,True,2530,418193,0.0060456126603084,2231,337646,0.006601660843557,2023,294889,0.0068531890105126,1837,259776,0.0070632055998247,1740,242709,0.0071600763522074,2530,2231,0.9157714707820448,3,6091,2030.3333333333333,0.0068393518179648,0.8839452657529008,0.844350306186973,-0.0626906320308071,1,4,3,6784,0.0065001541714593,12,3,1.0,2221,3484,1746.3333333333333,1.271652041205647,0.4859443059600051,0.0068237879836807,0.8859613860757015,0.8458301401320881,0.9999998504149,1.0,92.6964560862866,35.65100154083205,True,False,近期份额下降,2026Q2,0.9023247438373428,0.9342688604393056,0.8793687107279796,0.90913031313017,0.8925526483216076,0.9196915259725388,0.9264509103655534,0.9462186563350864,0.8857103763912,0.9375282934761436,1645,0.0066269839671691,1798,0.0057076031557634,0.8612670837955234,0.8612670837955234,False,True,False,本次两条早期补充样本未发现明显脱离主题；结合原已读样本保留，样本少不足以证明类内纯度。热电材料、性能及输运机制的中心与随机证据一致。,原判断保留，少量跨年证据支持,True,False,冻结样本审阅或本次多年补审；非独立专家认定,已有样本依据的专家初评候选,12,12,5,12,1.0,5,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0078186591626753,0.0080719048871605,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,2530.0,0.9003952569169961,0.4276679841897233,0.1177865612648221,0.092490118577075,0.0264822134387351,True,True,True,True,False,4,存在数据敏感性,所列时间长度/删年检验均保留
8,C0556,水系锌离子电池,电化学储能,方向候选,能源电力直接相关,True,True,1435,418193,0.0034295502761797,1307,337646,0.0038681028693483,989,294889,0.0033512382139373,658,259776,0.0025312222516922,498,242709,0.0020507314344012,1435,1307,0.8866233375943027,3,2954,984.6666666666666,0.0032501877783259,1.0551852723863595,0.8866233375943027,0.0115496220593356,2,4,3,3731,0.0035496304531551,12,3,1.0,1098,1628,741.0,1.481132075471698,0.6801141048946892,0.0033096743983886,1.0362198401901457,0.9728947848295552,0.1320218184542244,0.3643851753560925,90.70878274268108,50.33898305084745,True,False,近期份额下降,2026Q2,0.9665780133943392,0.8166109629127919,1.0568062887407728,0.8797820389456571,1.1028437064418135,0.9403660353672544,1.082527370263328,0.9040463743409616,1.1167670035564146,0.968313161340956,1041,0.0041944720764549,1060,0.0033655341377187,0.8023737138722759,0.8023737138722759,False,True,False,本次两条早期补充样本未发现明显脱离主题；结合原已读样本保留，样本少不足以证明类内纯度。五条样本均涉及水系或凝胶锌离子电池，覆盖正负极及电解质；不解读为单一部件路线。,原判断保留，少量跨年证据支持,True,False,冻结样本审阅或本次多年补审；非独立专家认定,已有样本依据的专家初评候选,230,224,7,160,0.991304347826087,4,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.2445079404196901,0.2458567506595623,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,1435.0,0.9219512195121952,0.4689895470383275,0.1484320557491289,0.0,1.0,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留
9,C0245,碳基超级电容器电极,电化学储能,方向候选,能源电力直接相关,True,True,1182,418193,0.0028251084650522,1163,337646,0.0034420938344067,1056,294889,0.0035781537877966,983,259776,0.0037804967115252,941,242709,0.0038731467311711,1182,1163,0.8207528908168754,3,3202,1067.3333333333333,0.0036002481112428,0.7846982701636597,0.7294090983736239,-0.118150103544925,0,4,3,3401,0.0032817853624185,12,3,1.0,1417,2440,1172.0,1.2088661551577151,0.6188998432718998,0.0035874876496326,0.7874893911736623,0.7366806760497235,0.9999999999990516,1.0,90.4160246533128,21.286594761171035,True,False,近期份额下降,2026Q2,0.7852836798438072,0.7422943702125732,0.7829900224119886,0.822138030731311,0.8113438983357277,0.8523857751968316,0.8876602040023356,0.8821205607582442,0.7381725333182875,0.8819710612701498,846,0.0034091412508105,873,0.0027720830450705,0.8131323524396364,0.7422943702125732,False,True,False,跨年样本以生物质/多孔碳、碳复合材料超级电容电极为主；4067911活性相为碳布上金属硫属化物，4224126为超级电容摆动捕碳。可作碳基超级电容宽方向核心初评，注明与邻近超级电容类别的边界。,方向支持，标注边界,True,False,冻结样本审阅或本次多年补审；非独立专家认定,已有样本依据的专家初评候选,9,8,5,9,1.0,5,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0122347023046301,0.0113014061120773,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,1182.0,0.9323181049069372,0.6971235194585449,0.1429780033840947,0.7969543147208121,0.0,False,True,True,False,False,2,存在数据敏感性,所列时间长度/删年检验均保留
10,C0473,二氧化碳地质封存与驱油,碳与环境,方向候选,能源电力直接相关,True,True,1970,418193,0.0047077177423978,1333,337646,0.0039450211673239,928,294889,0.003144643437737,675,259776,0.002596568915745,573,242709,0.0023592667555248,1970,1333,1.1933314278238298,3,2936,978.6666666666666,0.0032287445069353,1.458064499153056,1.1933314278238298,0.201751362721235,3,4,3,4231,0.0039324607824862,12,3,1.0,1597,2275,852.0,1.873388042203986,0.4752841935548566,0.003289510533379,1.4311301619581824,1.351733022240946,1.1371571000025914e-35,5.330423906262148e-34,87.94298921417565,82.11479198767334,True,True,多年背景上持续抬升,2026Q2,1.47409684935813,1.2315305196366395,1.431701490292886,1.1595155395526835,1.4884828298317805,1.2142362398637685,1.5110827352210687,1.2444495883409905,1.2384458933676254,0.9671856565619518,997,0.004017269223489,1611,0.0051141520631152,1.273041904488933,1.1595155395526835,True,True,True,三年度均有CO2地质封存、岩石反应、选址与数值模拟；3746935水合物开采和4264948煤层甲烷为邻近混入。保留核心并纳入持续升温，强调地质研究边界。,宽方向支持，标注边界,True,True,冻结样本审阅或本次多年补审；非独立专家认定,已有样本依据的专家初评候选,14,13,6,13,1.0,3,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0101220948586553,0.009729262559555,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,1970.0,0.8583756345177666,0.3690355329949238,0.1416243654822335,0.1,0.0573604060913705,True,True,True,True,False,4,存在数据敏感性,所列时间长度/删年检验均保留
