report_rank,category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter,quality_multiyear_share_ratio,quality_share_growth_ratio,geometry_multiyear_share_ratio,geometry_share_growth_ratio,dedup_multiyear_share_ratio,dedup_share_growth_ratio,exclude_needs_review_multiyear_share_ratio,exclude_needs_review_share_growth_ratio,supported_only_multiyear_share_ratio,supported_only_share_growth_ratio,papers_2025_jan_aug,share_2025_jan_aug,papers_2026_jan_aug,share_2026_jan_aug,share_ratio_2026_ytd,robust_min_ratio,emerging_robust,core_review_pass,emerging_review_pass,paper_review_reason,paper_review_decision,final_core,final_emerging,core_review_basis,review_status,patents_2026,patents_jan_may,active_patent_months,known_applicant_names,applicant_metadata_fraction,country_count,patent_review_decision,patent_review_reason,patent_review_pass,reviewed_policy_documents,reviewed_policy_points,policy_review_status,patent_literature_relative_share,jan_may_patent_relative_share,cross_label_papers_ytd,cross_label_patents_ytd,cross_label_relative_share,cross_label_jan_may_relative_share,potential_evidence_score,potential_numeric_gate,potential_priority,potential_review_category,potential_reason,potential_unit_ids,potential_selected_unit_ids,potential_evidence_tier,unified_patents,unified_papers,unified_applicants,unified_policy_groups,unified_relative_share,unified_matched_may_relative_share,recent_records,institution_metadata_fraction,title_only_fraction,jan1_fraction,needs_review_fraction,supported_fraction,quality_retained,geometry_retained,dedup_retained,exclude_needs_review_retained,supported_only_retained,data_scenarios_passed,robustness_grade,time_sensitivity_note
1,C0533,氮化镓功率与结器件,电力电子与电机,方向候选,能源电力直接相关,True,True,423,418193,0.0010117830316698,224,337646,0.0006641599190582,173,294889,0.0005876097323073,155,259776,0.0005977297800123,151,242709,0.0006232413486695,423,224,1.5234027267175316,3,552,184.0,0.0006164998104593,1.6411733053348834,1.5234027267175316,0.2717032121526839,4,4,3,820,0.0007545175610118,12,3,1.0,460,688,245.0,1.8739837398373984,0.4175138119263119,0.0006189186343238,1.6347593618267189,1.4403827813744128,7.422914426357653e-15,1.1598303791183834e-13,57.56548536209554,91.92604006163327,True,True,多年背景上持续抬升,2026Q2,1.4692438606205216,1.327196120327555,1.656639589260815,1.5196589133382956,1.7198642376681232,1.5772296070560397,1.6843703429237185,1.5533391163455983,1.7300921731551122,1.6637627815051603,165,0.0006665243674059,336,0.0010678946132412,1.602183904239542,1.327196120327555,True,False,True,GaN HEMT、开关损耗、阈值及辐照证据一致；含RF器件，不能全部解释为电网功率转换。,方向证据可用（含边界说明）,False,True,未通过或尚未完成核心范围审阅,已有样本依据的专家初评候选,2,2,2,2,1.0,1,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0083577167929103,0.0086284225495145,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,423.0,0.9030732860520094,0.2364066193853428,0.1158392434988179,0.0,1.0,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留
2,C0381,光伏发电功率预测方法与装置,太阳能,方向候选,能源电力直接相关,True,True,525,418193,0.001255471034575,303,337646,0.0008978732090609,218,294889,0.0007400157147501,154,259776,0.0005938858585975,106,242709,0.0004381201559954,525,303,1.398272074392373,3,675,225.0,0.0007439249274695,1.6876313566282577,1.398272074392373,0.2642973426907673,4,4,3,1046,0.000964453319462,12,3,1.0,610,1027,323.3333333333333,1.8838643371017476,0.50553147960897,0.000756705045223,1.659128669090515,1.4803615501415237,6.695165431070895e-19,1.3214142298166242e-17,64.89984591679507,91.22496147919875,True,True,多年背景上持续抬升,2026Q2,1.647850041520647,1.424553983285918,1.6643181822310689,1.3352463770254253,1.7418241031344852,1.4363851109115968,1.75732363318995,1.442055842462887,1.8424746427138048,1.48410447727953,237,0.0009564926722592,427,0.0013566863214283,1.418396983872094,1.3352463770254253,True,False,True,本次两条中心、一条随机及边界均明确光伏预测；另一随机是用电负荷，仍保留误分提示。,方向证据可用（含边界说明）,False,True,未通过或尚未完成核心范围审阅,已有样本依据的专家初评候选,1095,1067,8,810,0.9963470319634704,14,应用方向支持（有范围限制）,四条光伏预测一致，边界为充电功率预测；相关论文跨标签较多，不能据单类论文少称学术空白。,True,3,5,已有复核支持，计数为下限,2.882763226425357,2.900068323364381,1362.0,739.0,0.6105684764043151,0.6150016621147165,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,525.0,0.84,0.2819047619047619,0.1695238095238095,0.0152380952380952,0.7314285714285714,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留
3,C0210,地热资源开发与换热,热工与能效,方向候选,能源电力直接相关,True,True,1376,418193,0.0032885934901855,779,337646,0.002306069741229,618,294889,0.0020947355586864,560,259776,0.0021545179530349,482,242709,0.0019849105658949,1376,779,1.4260598590712277,3,1957,652.3333333333334,0.0021851077509835,1.5050028945736893,1.4260598590712277,0.2255163211751458,4,4,3,2773,0.0025631329300337,12,3,1.0,1411,2164,763.6666666666666,1.846556233653008,0.3406102359507424,0.0021928203197988,1.4997095113051389,1.3997965303743385,1.5569239331268635e-31,6.1457523676060416e-30,74.89214175654854,88.94453004622495,True,True,多年背景上持续抬升,2026Q2,1.5798769127527377,1.561603650350124,1.4658946757573443,1.3989429061941714,1.4973345931998128,1.4187903370938473,1.5365698818968296,1.4239225265094972,0.7381725333182875,0.8819710612701498,601,0.0024224435467956,1165,0.003698755339473,1.5268695711673828,1.3989429061941714,True,False,True,地热资源、热电联供和能源桩相符；含技术焦点介绍及矿井储热邻近方向，非全为同行评审原始研究。,方向证据可用（含边界说明）,False,True,未通过或尚未完成核心范围审阅,已有样本依据的专家初评候选,49,48,6,36,0.9387755102040816,7,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0477777431798573,0.0483287904294173,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,1376.0,0.7659883720930233,0.4135174418604651,0.15625,0.190406976744186,0.0,True,True,True,True,False,4,存在数据敏感性,所列时间长度/删年检验均保留
4,C0435,智能电表物联网与用能监测,电网与电力系统,宽泛待细分,能源电力直接相关,True,True,1085,418193,0.0025933659524856,596,337646,0.0017646832593241,446,294889,0.0015122060257938,470,259776,0.0018085650256966,443,242709,0.0018244721989106,1085,596,1.4695928795056847,3,1512,504.0,0.0016951514369382,1.5298727275775308,1.42143352693126,0.2696935493009831,4,4,3,2127,0.0019567517458678,12,3,1.0,802,1579,562.0,1.4262877442273534,0.2405650417048919,0.0016943247681715,1.530619159445009,1.4158144311136511,1.7353533480561606e-27,6.197690528772002e-26,64.22958397534669,88.52080123266565,True,True,多年背景上持续抬升,2026Q2,1.4361960656370825,1.3962104107675226,1.5435315196675947,1.5106056615385597,1.4370800331678026,1.3752489474297809,2.094429138729899,1.6691245650128603,2.158949483467466,1.7877791782503034,484,0.0019512450514089,872,0.0027689095098157,1.4190475500841668,1.3752489474297809,True,False,True,智能用能监测和能源IoT支持明确，兼含变压器保护和电源切换；非纯电表器件。,方向证据可用（含边界说明）,False,True,未通过或尚未完成核心范围审阅,已有样本依据的专家初评候选,664,641,8,581,0.9864457831325302,17,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.8567660722939248,0.8539013302213506,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,1085.0,0.5751152073732719,0.1723502304147465,0.1465437788018433,0.896774193548387,0.1032258064516129,True,True,True,False,False,3,存在数据敏感性,所列时间长度/删年检验均保留
5,C0713,电价预测,电网与电力系统,方向候选,能源电力直接相关,True,True,171,418193,0.0004097303186101,98,337646,0.0002914020134843,72,294889,0.0002455429717134,50,259776,0.0001941180314509,52,242709,0.0002159747247864,171,98,1.4060655028112772,3,220,73.33333333333333,0.0002436876722162,1.6813748306746594,1.4060655028112772,0.2560136071727692,3,3,3,341,0.0003155584346026,5,1,0.4166666666666667,210,384,117.66666666666669,1.7780898876404494,0.4612156943254018,0.0002470073463681,1.6587778648471294,1.358696853728917,2.6345642291840373e-07,2.1020459275404555e-06,44.817026194144844,88.27812018489983,False,True,多年背景上持续抬升,2026Q2,1.655309653039317,1.3759072651287592,1.6665998167856062,1.4219227642119048,1.5894915504985714,1.3261219281235694,1.7249133677329622,1.4336960984486098,1.7791583279783143,1.5356145889119868,69,0.0002798999609348,146,0.0004649229148286,1.6610324391467766,1.3261219281235694,True,False,True,中长期、日前、跨境和价格趋势预测证据一致。,方向证据可用（含边界说明）,False,True,未通过或尚未完成核心范围审阅,已有样本依据的专家初评候选,59,59,5,57,1.0,2,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.4568904196544784,0.4716890626095371,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,171.0,0.7368421052631579,0.3216374269005848,0.1988304093567251,0.0,1.0,False,True,True,True,True,4,存在数据敏感性,所列时间长度/删年检验均保留
6,C0294,电池管理与均衡控制,电化学储能,方向候选,能源电力直接相关,True,True,223,418193,0.0005339634181303,113,337646,0.0003357779546241,100,294889,0.0003403733607889,120,259776,0.0004631925304919,86,242709,0.0003558440703625,223,113,1.5902277406154333,3,333,111.0,0.0003797812819683,1.4059761327966191,1.1527893542741778,0.2251420980773328,4,4,3,436,0.0004033715778478,8,1,0.6666666666666666,265,495,150.33333333333334,1.7577092511013217,0.2863442746432434,0.0003735916100398,1.4292703684472057,1.2065094974955437,1.681106337388969e-05,0.0001096373698297,42.804314329738055,88.13559322033898,False,True,多年背景上持续抬升,2026Q2,1.4690739879308472,1.7705531740707832,1.467302822289299,1.635819926347536,1.2506545183254567,1.4236085026041465,1.2762880711016844,1.5569145102220798,0.7381725333182875,0.8819710612701498,89,0.0003604467122829,179,0.0005696495782371,1.5803988740225998,1.2506545183254567,True,False,True,BMS、数字孪生、状态建模与均衡证据相符；中心同题名重复，需通过去重敏感性。,方向证据可用（含边界说明）,False,True,未通过或尚未完成核心范围审阅,已有样本依据的专家初评候选,2444,2347,8,1342,0.9660392798690672,28,应用方向支持（有范围限制）,BMS、均衡与SOC监测样本一致；政策主要安全质量整治，不能当成新技术研发突破。,True,2,3,已有复核支持，计数为下限,15.319983560201967,15.188595389688224,1238.0,2514.0,2.283959189890234,2.282917582711636,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,223.0,0.672645739910314,0.1031390134529148,0.1255605381165919,0.4977578475336323,0.0,True,True,False,False,False,2,存在数据敏感性,所列时间长度/删年检验均保留
7,C0566,蒸汽重整制氢与合成气,氢能与燃料电池,方向候选,能源电力直接相关,True,True,113,418193,0.0002711626306836,49,337646,0.0001464406057611,61,294889,0.0002082881760052,56,259776,0.0002171815599401,36,242709,0.0001501538562801,113,49,1.8516901734610685,3,166,55.333333333333336,0.0001906367805688,1.422404584647933,1.2485527351324948,0.131898085854579,4,3,3,223,0.0002086304708166,3,0,0.25,220,338,91.0,2.402173913043478,0.550348014050189,0.0001865157513392,1.4538323371440092,1.1452526374170344,0.001039196443383,0.0049018700159579,43.03351309707242,88.09707241910631,False,True,多年背景上持续抬升,2026Q2,1.5898029830228615,2.2973293250339912,1.4770568220110023,1.9188303526990649,1.4784732232379143,1.8893591520516688,1.4613826490694537,1.8880777402751536,1.490846130793397,2.022297281902263,36,0.0001469978212103,97,0.0003094196873433,2.104927030860413,1.4770568220110023,True,False,True,蒸汽重整制氢与合成气跨三年有一致证据；4610278为金属蒸汽氧化循环的邻近路线。按重整制氢宽方向持续升温，非新技术起源。,方向支持，标注边界,False,True,未通过或尚未完成核心范围审阅,已有样本依据的专家初评候选,15,15,5,15,1.0,2,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.1788379953338344,0.1846305432313047,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,113.0,0.9292035398230089,0.5309734513274337,0.1150442477876106,0.0,1.0,False,False,True,True,True,3,存在数据敏感性,未保留情景：omit_baseline_year_1
8,C0542,光伏组件故障与缺陷检测,太阳能,方向候选,能源电力直接相关,True,True,315,418193,0.0007537604403585,191,337646,0.0005665328485508,146,294889,0.0004961661428416,115,259776,0.0004439729234175,91,242709,0.0003764130917707,315,191,1.3304796752503365,3,452,150.66666666666666,0.0005022239716033,1.5008452064766622,1.3304796752503365,0.2090818815621591,4,4,3,652,0.0006054864772503,11,2,0.9166666666666666,457,751,231.66666666666663,1.9684813753581665,0.4744670652322493,0.000506897162048,1.4870086021257851,1.2878960017531569,2.62124539710422e-08,2.3685952383471866e-07,58.00269645608629,87.98921417565485,False,True,多年背景上持续抬升,2026Q2,1.4920626579542984,1.3316514025966777,1.4165650576200453,1.2433117970452203,1.505330087138515,1.3364844360302894,1.540072778377485,1.3566249336590166,1.5849714456427066,1.4530645944163565,155,0.0006262509917318,244,0.0007759293697993,1.2390070116353231,1.2390070116353231,True,False,True,I-V诊断、组件在线故障及光伏智能诊断相符；含电站层面的运维，不是单一故障机制。,方向证据可用（含边界说明）,False,True,未通过或尚未完成核心范围审阅,已有样本依据的专家初评候选,123,118,7,114,1.0,5,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.5682256115346748,0.56288017385281,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,315.0,0.7968253968253968,0.2349206349206349,0.146031746031746,0.0,1.0,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留
9,C0186,煤热解气化与煤质特性,化石能源,方向候选,能源电力直接相关,True,True,1166,418193,0.0027868828959691,549,337646,0.0016256386437529,580,294889,0.0019660371735125,561,259776,0.0021583618744498,574,242709,0.0023633805598064,1166,549,1.7143311071490004,3,1690,563.3333333333334,0.0019166792305717,1.4540163275718156,1.179193458457365,0.1744518999618556,4,4,3,2295,0.0021261862377448,12,3,1.0,840,1319,499.0,1.682,0.4562769692242522,0.0018937229888224,1.4716423217220256,1.3658475533564016,7.077466629472746e-25,2.1232399888418242e-23,73.96764252696457,87.91987673343606,True,True,多年背景上持续抬升,2026Q2,1.5833030161501025,1.9403508334246995,1.4627901740299525,1.7460369860313,1.4746833619650348,1.7326592544424009,1.5077450346106838,1.762533433693022,0.7381725333182875,0.8819710612701498,434,0.0017498781730385,927,0.0029434539488299,1.6820907844794362,1.4627901740299525,True,False,True,煤热解、煤质与防自燃证据一致，解释为既有煤技术近期升温。,方向证据可用（含边界说明）,False,True,未通过或尚未完成核心范围审阅,已有样本依据的专家初评候选,12,11,5,12,1.0,5,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0151610334275705,0.0143999302041979,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,1166.0,0.8902229845626072,0.5368782161234992,0.1149228130360205,0.0137221269296741,0.0,True,True,True,True,False,4,存在数据敏感性,所列时间长度/删年检验均保留
10,C0600,直接空气捕碳,碳与环境,方向候选,能源电力直接相关,True,True,164,418193,0.0003930066321362,98,337646,0.0002914020134843,86,294889,0.0002929581662512,49,259776,0.000190274110036,30,242709,0.0001254710305902,164,98,1.3486750741251028,3,233,77.66666666666667,0.0002582114299238,1.5220342192135776,1.3415111009372669,0.1468983329338833,4,4,3,348,0.0003257889372906,7,1,0.5833333333333334,272,435,115.66666666666669,2.34,0.5751986356247716,0.000261570137764,1.5024904428915111,1.230734345136823,2.9320299587090467e-05,0.0001817373941348,52.5173343605547,87.75808936825885,False,True,多年背景上持续抬升,2026Q2,1.441968941488654,1.2931986266747637,1.461430738841875,1.3722410208163145,1.5094107782463442,1.3587581545255036,1.5617880157269022,1.3751778903486669,1.610746134587135,1.4729364424257831,75,0.0003040639863392,111,0.0003538491809105,1.163732624736854,1.163732624736854,True,False,True,直接空气捕碳综述、吸附材料与生物途径均明确，包含与海洋增碱对比研究。,方向证据可用（含边界说明）,False,True,未通过或尚未完成核心范围审阅,已有样本依据的专家初评候选,44,43,6,33,0.8636363636363636,8,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.4489705495470413,0.4530966535395753,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,164.0,0.8780487804878049,0.1463414634146341,0.1158536585365853,0.0,1.0,True,True,True,True,True,5,五项均保留,所列时间长度/删年检验均保留
