category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter,quality_multiyear_share_ratio,quality_share_growth_ratio,geometry_multiyear_share_ratio,geometry_share_growth_ratio,dedup_multiyear_share_ratio,dedup_share_growth_ratio,exclude_needs_review_multiyear_share_ratio,exclude_needs_review_share_growth_ratio,supported_only_multiyear_share_ratio,supported_only_share_growth_ratio,papers_2025_jan_aug,share_2025_jan_aug,papers_2026_jan_aug,share_2026_jan_aug,share_ratio_2026_ytd,robust_min_ratio,emerging_robust,core_review_pass,emerging_review_pass,paper_review_reason,paper_review_decision,final_core,final_emerging,core_review_basis,review_status,patents_2026,patents_jan_may,active_patent_months,known_applicant_names,applicant_metadata_fraction,country_count,patent_review_decision,patent_review_reason,patent_review_pass,reviewed_policy_documents,reviewed_policy_points,policy_review_status,patent_literature_relative_share,jan_may_patent_relative_share,cross_label_papers_ytd,cross_label_patents_ytd,cross_label_relative_share,cross_label_jan_may_relative_share,potential_evidence_score,potential_numeric_gate,potential_priority,potential_review_category,potential_reason,potential_unit_ids,potential_selected_unit_ids,potential_evidence_tier,unified_patents,unified_papers,unified_applicants,unified_policy_groups,unified_relative_share,unified_matched_may_relative_share,recent_records,institution_metadata_fraction,title_only_fraction,jan1_fraction,needs_review_fraction,supported_fraction
C0001,电池与充电设施热管理,电化学储能,宽泛待细分,能源电力直接相关,True,True,38,418193,9.198027560635308e-05,33,337646,9.91062685454454e-05,30,294889,0.0001032973881001,27,259776,0.0001057078389089,24,242709,0.0001007882049003,38,33,0.9280974549473158,3,90,30.0,0.0001027038318515,0.8955875739800983,0.8701367519733949,-0.058018966359727,2,0,3,101,9.81279774173131e-05,0,0,0.0,48,130,45.0,1.065217391304348,0.3894110290882202,0.0001013794324096,0.9072873404412476,0.6222392687927065,0.7052868749440521,1.0,24.776579352850543,37.01078582434514,False,False,近期份额下降,2026Q2,1.2284490895361653,1.78681169724866,0.7577434099367897,0.8437157580513515,0.8927954989511349,0.9538393650629304,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,24,9.866977040148528e-05,40,0.0001285281778195,1.302609474984576,0.7577434099367897,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,1772,1715,8,1063,0.9774266365688488,25,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,49.23386508339164,49.19400310481412,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,38.0,0.7631578947368421,0.3157894736842105,0.0789473684210526,1.0,0.0
C0002,功能传感材料与电化学检测,其他基础与关联学科,关联基础研究,关联基础或环境研究,False,False,1575,418193,0.0037640240056573,1134,337646,0.0033563003482032,939,294889,0.0031818982334453,783,259776,0.0030117124285511,632,242709,0.002601981208142,1575,1134,1.1214800867486248,3,2856,952.0,0.0031833036700665,1.1824269362208517,1.1214800867486248,0.084005325971991,4,4,3,3648,0.0034340741957686,12,3,1.0,1948,3012,1253.0,1.5542264752791068,0.6354204295387003,0.0031998933555583,1.1762967034882783,1.106125530773685,1.004160485488367e-07,8.558185955866764e-07,93.7211093990755,72.442218798151,False,False,平稳或增长证据不足,2026Q2,1.1796093669462913,1.206707590262016,1.1777326945060524,1.1002228079280183,1.2320434565837783,1.1605881883516431,1.2193457316961878,1.1532504169325335,0.7381725333182875,0.8819710612701498,848,0.0034171959259453,1215,0.0038574321022132,1.1288296561883913,1.1002228079280183,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,30,27,8,29,0.9666666666666668,5,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0282278360756354,0.0262756940082501,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,1575.0,0.9212698412698412,0.5384126984126985,0.1384126984126984,0.0057142857142857,0.0
C0003,电力电子控制与频率调节,电网与电力系统,混杂待重分,质量限制观察,False,False,254,418193,0.000608025458229,203,337646,0.0006020336014626,193,294889,0.0006553457245041,187,259776,0.0007207352652882,180,242709,0.0007425416728373,254,203,1.0099526949190565,3,583,194.33333333333331,0.0006593715304183,0.9221287698655112,0.8188435484107509,-0.0374730834395431,3,4,3,650,0.0006218015947319,12,3,1.0,259,665,280.0,0.9252669039145908,0.2822539056949417,0.0006536452907293,0.9302070509076632,0.8028527181301559,0.8342901767592349,1.0,49.98459167950694,43.64791987673344,False,False,历史峰值以下的恢复或波动,2026Q2,0.9621898235710844,0.9864612951875064,0.9459788514312574,1.006605074839546,0.9120483414031856,0.9821222224406304,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,141,0.0005698682657881,175,0.0005569554372179,0.9773406779330684,0.9120483414031856,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,1452,1400,7,1047,0.9965564738292012,13,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,9.31047269614317,9.267923863635922,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,254.0,0.7047244094488189,0.0039370078740157,0.1220472440944882,1.0,0.0
C0004,风能开发与风电技术经济,风能与水能海洋能源,宽泛待细分,能源电力直接相关,True,True,1168,418193,0.0027916610921045,839,337646,0.0024835735057881,770,294889,0.0026095290993822,655,259776,0.0025196904874476,686,242709,0.002824126639351,1168,839,1.124050117944322,3,2264,754.6666666666666,0.0025375976975393,1.1001196504913004,0.9885042169164346,0.0337335044094579,4,4,3,2777,0.0026282545657582,12,3,1.0,1319,2411,952.6666666666666,1.3841314225795176,0.3173364254671788,0.0025367262396856,1.1004975816588234,1.0254837122515217,0.0037908761367801,0.0165299831545645,74.24499229583977,65.86286594761171,True,False,历史峰值以下的恢复或波动,2026Q2,1.0585132054091697,1.095602386647982,1.1147440731194385,1.1417699237589651,1.1001985953116191,1.1088677141304066,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,609,0.0024546622473349,908,0.0028831567789886,1.1745635401037255,1.0585132054091697,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核,1,1,1,1,1.0,1,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.001857372614737,0.0019175327603158,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,1168.0,0.7491438356164384,0.3339041095890411,0.1857876712328767,1.0,0.0
C0005,钙钛矿氧化物电催化,能源材料与电化学基础,方向候选,能源电力直接相关,True,True,705,418193,0.0016855086867605,634,337646,0.0018771023102114,561,294889,0.0019016879809255,510,259776,0.0019623218822914,426,242709,0.0017545375261226,705,634,0.8979311770015699,3,1705,568.3333333333334,0.0019137040578094,0.880757230922047,0.8589358871095987,-0.0603372466427281,0,4,3,1900,0.0018214329926325,12,3,1.0,954,1736,808.6666666666666,1.179497735693701,0.5818798804772546,0.0019105262096638,0.8822222266488127,0.8081175106253947,0.9974578378604336,1.0,76.15562403697997,31.20184899845917,True,False,近期份额下降,2026Q2,0.7989544286199017,0.8703986500286912,0.8787672555357322,0.8841219630926886,0.9098559820286196,0.9175220726953164,0.9310515135349722,0.9559039365839292,0.7381725333182875,0.8819710612701498,427,0.0017216868100667,547,0.0017375105520047,1.0091908364781954,0.7989544286199017,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核,0,0,0,0,,0,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0010273503929915,0.0010606261873649,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,705.0,0.9319148936170212,0.5035460992907801,0.1361702127659574,0.1716312056737588,0.0
C0006,电网建设与供电服务政策,能源政策与治理,宽泛待细分,能源治理与政策研究,True,False,42,418193,0.0001015366678771,19,337646,5.7688723481677176e-05,22,294889,7.620299122141541e-05,18,259776,7.1112546175106e-05,15,242709,6.37639663655362e-05,42,19,1.7600782570512696,3,59,19.666666666666668,6.833475362606619e-05,1.4858715732372527,1.332449897958967,0.1435096381600846,3,0,3,83,7.84761275267452e-05,0,0,0.0,35,71,15.0,2.25,0.1383898537887059,6.665277600410447e-05,1.5233674269004251,1.027655181086692,0.0185045689560528,0.0673710034807748,15.570107858243452,86.80662557781201,False,False,多年背景上持续抬升,2026Q2,1.4694625281735136,2.377937371526412,1.758638081552594,2.145782291237866,1.2794702268918805,1.4974141278181865,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,15,6.242373229481721e-05,36,0.0001158340368003,1.855608957395392,1.2794702268918805,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,6,6,3,6,1.0,1,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.2003333266333496,0.206822106536172,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,42.0,0.4761904761904761,0.1666666666666666,0.238095238095238,1.0,0.0
C0007,层状电池正极与离子导体,电化学储能,混杂待重分,质量限制观察,False,False,673,418193,0.0016090575485942,672,337646,0.0019895213610988,590,294889,0.0019999051696109,606,259776,0.002331338338119,577,242709,0.0023757219726514,673,672,0.8087661585626448,3,1868,622.6666666666666,0.0021069216229429,0.7637007143847774,0.6772920262207547,-0.1087255650934126,2,4,3,1935,0.001866161359768,12,3,1.0,964,1715,790.3333333333334,1.2194608256107835,0.4959243813623796,0.0020931212094734,0.7687359629780095,0.7039146953245592,0.9999999978553428,1.0,72.75038520801233,26.14791987673344,False,False,近期份额下降,2026Q2,0.7483367295825872,0.7842766490697003,0.7289160800173469,0.7932520410218631,0.7454388826186887,0.828102700237032,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,524,0.0021123385541052,395,0.0012551331932746,0.5941913008382727,0.5941913008382727,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,18,17,5,17,1.0,5,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0526208611530367,0.0513887466887017,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,673.0,0.849925705794948,0.0445765230312035,0.0832095096582466,1.0,0.0
C0008,电极涂布与通用成形加工,制造与通用装置,混杂待重分,质量限制观察,False,False,35,418193,8.481298140326065e-05,29,337646,8.727268424151162e-05,27,294889,9.313698927061884e-05,29,259776,0.0001133956817386,35,242709,0.0001460400519984,35,29,0.971815891081748,3,85,28.33333333333333,9.793511841693766e-05,0.8660119349852384,0.580751514688175,-0.0468113992954908,2,0,3,91,8.840755163846369e-05,0,0,0.0,47,111,38.0,1.2307692307692308,0.2057121024522713,9.5778358795814e-05,0.8855129955198963,0.5987412783781626,0.740515319447354,1.0,17.596302003081664,39.899845916795066,False,False,近期份额下降,2026Q2,0.8664451430017778,1.0622060320049638,0.8777795464950531,1.0478860945286277,0.8769361710297547,0.9611257961161684,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,22,9.061509526667016e-05,29,9.36192900166928e-05,1.033153358622883,0.8664451430017778,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,1460,1412,8,934,0.9678082191780822,24,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,55.69449313951636,55.608720887121365,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,35.0,0.6857142857142857,0.3428571428571428,0.1714285714285714,1.0,0.0
C0009,二氧化碳电还原催化,碳与环境,方向候选,能源电力直接相关,True,True,3091,418193,0.0073858966762867,2668,337646,0.0078944799287618,2188,294889,0.0074120109461363,1839,259776,0.0070708934426544,1524,242709,0.0062714946273716,3091,2668,0.935577358221896,3,6695,2231.6666666666665,0.0074591281058508,0.9901823070304072,0.935577358221896,-0.0017647290160769,0,4,3,7947,0.0075641291837283,12,3,1.0,2356,3357,1587.3333333333333,1.4839454354669466,0.6295350153464906,0.0075003976762265,0.9847340094642268,0.9436472481950754,0.7555732369949628,1.0,98.28197226502311,43.82126348228043,True,False,近期份额下降,2026Q2,0.972599297688472,0.894123443683466,1.0067433409779285,0.9526150231818492,1.0263566631704146,0.9737042832114092,1.0356794334819353,0.9862721422209002,0.67899445157752,0.7204319529473151,1946,0.0078392125749588,2244,0.0071229998794056,0.9086371636558253,0.894123443683466,False,False,False,较早样本3711869为CO2解吸、3670372为析氧，4126822为电化学捕集，另含有机羧化；近期电还原支持明确，但三年整类数量不可统一解释为CO2电还原，退出多年核心并保留观察。,跨年范围待复核,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核,10,8,5,10,1.0,4,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0052626247019025,0.0043982081705946,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,3091.0,0.947913296667745,0.2209640892914914,0.1025558071821417,0.1203494014881915,0.2869621481721126
C0010,土壤碳过程与土壤改良,碳与环境,关联基础研究,关联基础或环境研究,True,False,1051,418193,0.0025121366181839,465,337646,0.0013771333733702,394,294889,0.0013360924460821,372,259776,0.0014318607270392,367,242709,0.0015118230735054,1051,465,1.824178156423504,3,1231,410.3333333333333,0.0013816955154972,1.8181550059383609,1.66166045631188,0.3156921822284992,4,4,3,1910,0.0017417874792121,12,3,1.0,1588,2297,702.6666666666666,2.258171482709616,0.3414281986183995,0.0013795444310765,1.820990003361848,1.677127836401817,5.3105531631276116e-48,4.9786435904321374e-46,68.25115562403698,95.0,False,False,多年背景上持续抬升,2026Q2,1.813694833311948,1.849506844520543,1.8009227451800849,1.807416729449581,1.8264138460345996,1.82102199821766,1.8636503974808856,1.8643291439752483,0.7381725333182875,0.8819710612701498,351,0.0014156091549437,900,0.0028577684969502,2.018755308956568,1.8009227451800849,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛,12,12,5,12,1.0,3,本轮未作样本语义复核,,False,0,0,未确认支持，不等于无相关政策,0.0156156118868091,0.016121400266028,,,,,,False,False,尚未完成统一任务口径复核，不参与本版潜在排序,原类别与旧跨标签指标保留作历史诊断，不用于本版潜在判断,,,未统一复核,,,,,,,1051.0,0.8667935299714558,0.3501427212178877,0.1227402473834443,0.0256898192197906,0.0
