category_id,name,block,start_quarter,end_quarter,papers,background,share
C0001,电池与充电设施热管理,0,2025Q3,2026Q2,38,418193,9.198027560635308e-05
C0002,功能传感材料与电化学检测,0,2025Q3,2026Q2,1575,418193,0.003764024005657384
C0003,电力电子控制与频率调节,0,2025Q3,2026Q2,254,418193,0.0006080254582290094
C0004,风能开发与风电技术经济,0,2025Q3,2026Q2,1168,418193,0.002791661092104509
C0005,钙钛矿氧化物电催化,0,2025Q3,2026Q2,705,418193,0.0016855086867605742
C0006,电网建设与供电服务政策,0,2025Q3,2026Q2,42,418193,0.00010153666787714302
C0007,层状电池正极与离子导体,0,2025Q3,2026Q2,673,418193,0.0016090575485942548
C0008,电极涂布与通用成形加工,0,2025Q3,2026Q2,35,418193,8.481298140326065e-05
C0009,二氧化碳电还原催化,0,2025Q3,2026Q2,3091,418193,0.007385896676286768
C0010,土壤碳过程与土壤改良,0,2025Q3,2026Q2,1051,418193,0.0025121366181839033
C0011,光催化与光生物制氢,0,2025Q3,2026Q2,1199,418193,0.0028657231322031305
C0012,聚合物介电绝缘与储能,0,2025Q3,2026Q2,503,418193,0.0012029108770856827
C0013,集成电路与电子封装,0,2025Q3,2026Q2,301,418193,0.0007203130674107911
C0014,电池单体模组及用电器件混合,0,2025Q3,2026Q2,2,418193,5.972745169243707e-06
C0015,通用机器学习与优化算法,0,2025Q3,2026Q2,1576,418193,0.0037664131037250816
C0016,生物质能源利用与可持续性,0,2025Q3,2026Q2,1009,418193,0.002411794499340609
C0017,电磁场耦合与电磁换能,0,2025Q3,2026Q2,443,418193,0.0010595649930238336
C0018,电力智能算法与多场景辨识,0,2025Q3,2026Q2,770,418193,0.0018408000611609106
C0019,太阳能采集光学与空间应用,0,2025Q3,2026Q2,607,418193,0.0014513770761262208
C0020,纳米复合材料与多类器件,0,2025Q3,2026Q2,645,418193,0.0015421628026987251
C0021,金属离子吸附与材料化学,0,2025Q3,2026Q2,803,418193,0.0019196402973949275
C0022,钠离子电池材料与电解液,0,2025Q3,2026Q2,24,418193,5.853290265858833e-05
C0023,功率半导体器件与电路结构,0,2025Q3,2026Q2,1,418193,3.5836471015462244e-06
C0024,海洋资源开发与海上工程,0,2025Q3,2026Q2,745,418193,0.0017810726094684734
C0025,通用防护支撑与安装结构混杂簇024,0,2025Q3,2026Q2,6,418193,1.5529137440033638e-05
C0026,硫化镉等硫族薄膜制备,0,2025Q3,2026Q2,249,418193,0.000596079967890522
C0027,变压器与高压开关设备,0,2025Q3,2026Q2,473,418193,0.0011312379350547582
C0028,电动汽车充电设施及并网,0,2025Q3,2026Q2,1221,418193,0.002918283289692475
C0029,聚变等离子体诊断,0,2025Q3,2026Q2,555,418193,0.0013271439766059517
C0030,碳基电极与多孔材料制备,0,2025Q3,2026Q2,78,418193,0.0001875441983142524
C0031,车辆驱动制动与运动控制,0,2025Q3,2026Q2,744,418193,0.001778683511400776
C0032,煤炭产业布局与清洁利用政策,0,2025Q3,2026Q2,67,418193,0.0001612641195695801
C0033,石油产业与油价经济,0,2025Q3,2026Q2,1049,418193,0.0025073584220485085
C0034,污泥资源化与水处理,0,2025Q3,2026Q2,777,418193,0.0018575237476347929
C0035,太阳能集热与热利用装置,0,2025Q3,2026Q2,90,418193,0.0002162133751266222
C0036,风机传动支撑与轴承部件,0,2025Q3,2026Q2,18,418193,4.419831425240343e-05
C0037,光催化二氧化碳转化与氧化还原,0,2025Q3,2026Q2,2526,418193,0.006036056268037691
C0038,电气计量校准与测量不确定度,0,2025Q3,2026Q2,694,418193,0.0016592286080159017
C0039,碳达峰与综合节能政策,0,2025Q3,2026Q2,109,418193,0.00026160623841287435
C0040,碳定价与减排经济机制,0,2025Q3,2026Q2,2212,418193,0.005285879474780681
C0041,电池单体与模组构件装配,0,2025Q3,2026Q2,8,418193,2.0307333575428605e-05
C0042,无线充电与充电器结构,0,2025Q3,2026Q2,48,418193,0.00011587125628332792
C0043,气体处理气化与天然气水合物,0,2025Q3,2026Q2,881,418193,0.002105989946675331
C0044,二氧化碳及混合气体膜分离,0,2025Q3,2026Q2,687,418193,0.0016425049215420195
C0045,铜铟镓硒薄膜光伏,0,2025Q3,2026Q2,752,418193,0.0017977962959423559
C0046,煤气化与燃煤清洁转化,0,2025Q3,2026Q2,570,418193,0.0013629804476214139
C0047,分离膜制备与膜污染控制,0,2025Q3,2026Q2,1109,418193,0.0026507043061103574
C0048,配电网柔性调度与协同规划,0,2025Q3,2026Q2,1367,418193,0.0032670916075763076
C0049,电池隔膜、聚合物电解质与粘结剂,0,2025Q3,2026Q2,75,418193,0.00018037690411115996
C0050,固态及凝胶聚合物电解质,0,2025Q3,2026Q2,1205,418193,0.0028800577206093154
C0051,储能及通用装置温控换热,0,2025Q3,2026Q2,45,418193,0.00010870396208023547
C0052,电气故障保护与暂态检测,0,2025Q3,2026Q2,55,418193,0.0001325949427572103
C0053,电能变换与驱动控制电路,0,2025Q3,2026Q2,31,418193,7.525658913247071e-05
C0054,电价与输配电价监管政策,0,2025Q3,2026Q2,10,418193,2.508552971082357e-05
C0055,含铜化合物结构与功能,0,2025Q3,2026Q2,468,418193,0.0011192924447162708
C0056,电储能系统配置与运行,0,2025Q3,2026Q2,1451,418193,0.0034677758452628963
C0057,射频微波电路与功率放大,0,2025Q3,2026Q2,911,418193,0.0021776628887062556
C0058,有价金属浸出回收,0,2025Q3,2026Q2,1423,418193,0.003400881099367367
C0059,厌氧过程微生物与生物能源,0,2025Q3,2026Q2,1113,418193,0.002660260698381147
C0060,超级电容器电极与器件,0,2025Q3,2026Q2,3189,418193,0.0076200282869211215
C0061,有机合成与分子功能材料,0,2025Q3,2026Q2,1062,418193,0.0025384166969285755
C0062,热工设备换热与工况分析,0,2025Q3,2026Q2,861,418193,0.0020582079853213816
C0063,生物质热解与炭化,0,2025Q3,2026Q2,1634,418193,0.0039049807916515357
C0064,锂钠电池电解液与正极配方,0,2025Q3,2026Q2,35,418193,8.481298140326065e-05
C0065,电磁兼容干扰与电缆检测,0,2025Q3,2026Q2,494,418193,0.0011814089944764052
C0066,环境税费补贴与市场规制,0,2025Q3,2026Q2,963,418193,0.002301895988226525
C0067,钙钛矿太阳能电池界面与器件性能,0,2025Q3,2026Q2,2930,418193,0.007001251887387473
C0068,水热溶剂热合成与功能材料,0,2025Q3,2026Q2,553,418193,0.0013223657804705567
C0069,宽禁带半导体外延与结器件,0,2025Q3,2026Q2,628,418193,0.001501548135547868
C0070,气象水文预测与环境评估,0,2025Q3,2026Q2,963,418193,0.002301895988226525
C0071,功能聚合物合成与结构,0,2025Q3,2026Q2,657,418193,0.001570831979511095
C0072,氢能产业与制氢技术经济,0,2025Q3,2026Q2,1880,418193,0.004492698916305117
C0073,电极过程与电化学沉积,0,2025Q3,2026Q2,1143,418193,0.0027319336404120717
C0074,通用防护支撑与安装结构混杂簇073,0,2025Q3,2026Q2,1,418193,3.5836471015462244e-06
C0075,铋基氧化物光催化材料,0,2025Q3,2026Q2,810,418193,0.0019363639838688097
C0076,通用催化剂与催化反应工程,0,2025Q3,2026Q2,1775,418193,0.004241843619196881
C0077,机电传动与运动执行装置,0,2025Q3,2026Q2,44,418193,0.00010631486401253799
C0078,充电连接与通用部件混合,0,2025Q3,2026Q2,1,418193,3.5836471015462244e-06
C0079,燃料电池系统运行控制,0,2025Q3,2026Q2,30,418193,7.286749106477323e-05
C0080,污染物光催化降解,0,2025Q3,2026Q2,1493,418193,0.0035681179641061907
C0081,电力市场与售电制度政策,0,2025Q3,2026Q2,17,418193,4.180921618470595e-05
C0082,智能电网体系与通信,0,2025Q3,2026Q2,940,418193,0.0022469467326694825
C0083,配电网电压无功与电能质量,0,2025Q3,2026Q2,839,418193,0.002005647827832037
C0084,电池单体电极及模组结构,0,2025Q3,2026Q2,2,418193,5.972745169243707e-06
C0085,多类功能薄膜与纳米器件,0,2025Q3,2026Q2,754,418193,0.0018025744920777509
C0086,光伏组件性能建模与故障检测,0,2025Q3,2026Q2,1404,418193,0.0033554882360811145
C0087,制氢储氢与加氢系统,0,2025Q3,2026Q2,49,418193,0.0001182603543510254
C0088,污水厌氧处理与产能回收,0,2025Q3,2026Q2,952,418193,0.0022756159094818526
C0089,信号处理测量与电力扰动,0,2025Q3,2026Q2,824,418193,0.0019698113568165747
C0090,电动汽车充电控制,0,2025Q3,2026Q2,16,418193,3.942011811700847e-05
C0091,等离子体湍流与不稳定性,0,2025Q3,2026Q2,817,418193,0.0019530876703426922
C0092,天然气输配与气价政策,0,2025Q3,2026Q2,15,418193,3.7031020049310985e-05
C0093,电能变换波浪能与互感器混合,0,2025Q3,2026Q2,975,418193,0.0023305651650388946
C0094,晶体缺陷外延与变形,0,2025Q3,2026Q2,778,418193,0.0018599128457024905
C0095,泄漏检测与多设备状态监测,0,2025Q3,2026Q2,121,418193,0.00029027541522524416
C0096,电力设备通信与控制系统,0,2025Q3,2026Q2,42,418193,0.00010153666787714302
