category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter
C0001,电池与充电设施热管理,电化学储能,宽泛待细分,能源电力直接相关,True,True,38,418193,9.198027560635308e-05,33,337646,9.91062685454454e-05,30,294889,0.00010329738810014089,27,259776,0.00010570783890894135,24,242709,0.00010078820490036366,38,33,0.9280974549473158,3,90,30.0,0.00010270383185150922,0.8955875739800983,0.8701367519733949,-0.05801896635972703,2,0,1,38,9.198027560635308e-05,0,0,0.0,48,48,45.0,1.065217391304348,0.3894110290882202,0.00010137943240960428,0.9072873404412476,0.6222392687927065,0.7052868749440521,1.0,23.98305084745763,37.01078582434514,False,False,近期份额下降,2026Q2
C0002,功能传感材料与电化学检测,其他基础与关联学科,关联基础研究,关联基础或环境研究,False,False,1575,418193,0.003764024005657384,1134,337646,0.003356300348203218,939,294889,0.0031818982334453237,783,259776,0.0030117124285511106,632,242709,0.0026019812081420415,1575,1134,1.1214800867486248,3,2856,952.0,0.003183303670066551,1.1824269362208515,1.1214800867486248,0.08400532597199106,4,4,1,1575,0.003764024005657384,4,1,1.0,1948,1948,1253.0,1.5542264752791068,0.6354204295387003,0.0031998933555583936,1.1762967034882785,1.106125530773685,1.004160485488367e-07,8.558185955866764e-07,95.40832049306626,72.442218798151,False,False,平稳或增长证据不足,2026Q2
C0003,电力电子控制与频率调节,电网与电力系统,混杂待重分,质量限制观察,False,False,254,418193,0.0006080254582290094,203,337646,0.000602033601462631,193,294889,0.0006553457245041726,187,259776,0.0007207352652882365,180,242709,0.000742541672837373,254,203,1.0099526949190565,3,583,194.33333333333334,0.0006593715304183467,0.9221287698655111,0.8188435484107509,-0.03747308343954314,3,4,1,254,0.0006080254582290094,4,1,1.0,259,259,280.0,0.9252669039145908,0.2822539056949417,0.000653645290729327,0.9302070509076632,0.8028527181301559,0.8342901767592349,1.0,49.66101694915255,43.64791987673344,False,False,历史峰值以下的恢复或波动,2026Q2
C0004,风能开发与风电技术经济,风能与水能海洋能源,宽泛待细分,能源电力直接相关,True,True,1168,418193,0.002791661092104509,839,337646,0.0024835735057881017,770,294889,0.002609529099382248,655,259776,0.0025196904874476744,686,242709,0.0028241266393510063,1168,839,1.1240501179443219,3,2264,754.6666666666666,0.0025375976975393413,1.1001196504913004,0.9885042169164346,0.03373350440945799,4,4,1,1168,0.002791661092104509,4,1,1.0,1319,1319,952.6666666666666,1.3841314225795176,0.3173364254671788,0.002536726239685623,1.1004975816588234,1.0254837122515217,0.003790876136780143,0.016529983154564578,74.79969183359015,65.86286594761171,True,False,历史峰值以下的恢复或波动,2026Q2
C0005,钙钛矿氧化物电催化,能源材料与电化学基础,方向候选,能源电力直接相关,True,True,705,418193,0.0016855086867605742,634,337646,0.0018771023102114957,561,294889,0.0019016879809255446,510,259776,0.0019623218822914386,426,242709,0.0017545375261226572,705,634,0.8979311770015699,3,1705,568.3333333333334,0.001913704057809493,0.880757230922047,0.8589358871095987,-0.060337246642728104,0,4,1,705,0.0016855086867605742,4,1,1.0,954,954,808.6666666666666,1.179497735693701,0.5818798804772546,0.0019105262096638684,0.8822222266488127,0.8081175106253947,0.9974578378604336,1.0,75.91679506933745,31.20184899845917,True,False,近期份额下降,2026Q2
C0006,电网建设与供电服务政策,能源政策与治理,宽泛待细分,能源治理与政策研究,True,False,42,418193,0.00010153666787714302,19,337646,5.7688723481677176e-05,22,294889,7.620299122141541e-05,18,259776,7.1112546175106e-05,15,242709,6.37639663655362e-05,42,19,1.7600782570512696,3,59,19.666666666666668,6.833475362606619e-05,1.4858715732372527,1.332449897958967,0.14350963816008466,3,0,1,42,0.00010153666787714302,0,0,0.0,35,35,15.0,2.25,0.1383898537887059,6.665277600410447e-05,1.5233674269004251,1.027655181086692,0.018504568956052837,0.06737100348077489,16.779661016949156,86.80662557781201,False,False,多年背景上持续抬升,2026Q2
C0007,层状电池正极与离子导体,电化学储能,混杂待重分,质量限制观察,False,False,673,418193,0.0016090575485942548,672,337646,0.0019895213610988667,590,294889,0.0019999051696109244,606,259776,0.0023313383381190155,577,242709,0.002375721972651429,673,672,0.8087661585626448,3,1868,622.6666666666666,0.002106921622942936,0.7637007143847774,0.6772920262207547,-0.10872556509341269,2,4,1,673,0.0016090575485942548,4,1,1.0,964,964,790.3333333333334,1.2194608256107835,0.4959243813623796,0.002093121209473432,0.7687359629780095,0.7039146953245592,0.9999999978553428,1.0,71.92604006163329,26.14791987673344,False,False,近期份额下降,2026Q2
C0008,电极涂布与通用成形加工,制造与通用装置,混杂待重分,质量限制观察,False,False,35,418193,8.481298140326065e-05,29,337646,8.727268424151162e-05,27,294889,9.313698927061883e-05,29,259776,0.00011339568173868254,35,242709,0.00014604005199848611,35,29,0.971815891081748,3,85,28.333333333333332,9.793511841693766e-05,0.8660119349852384,0.580751514688175,-0.04681139929549083,2,0,1,35,8.481298140326065e-05,0,0,0.0,47,47,38.0,1.2307692307692308,0.2057121024522713,9.577835879581399e-05,0.8855129955198963,0.5987412783781626,0.740515319447354,1.0,17.118644067796613,39.899845916795066,False,False,近期份额下降,2026Q2
C0009,二氧化碳电还原催化,碳与环境,方向候选,能源电力直接相关,True,True,3091,418193,0.007385896676286768,2668,337646,0.007894479928761822,2188,294889,0.007412010946136339,1839,259776,0.007070893442654458,1524,242709,0.0062714946273716085,3091,2668,0.9355773582218961,3,6695,2231.6666666666665,0.007459128105850872,0.9901823070304072,0.9355773582218961,-0.001764729016076938,0,4,1,3091,0.007385896676286768,4,1,1.0,2356,2356,1587.3333333333333,1.4839454354669466,0.6295350153464906,0.007500397676226579,0.9847340094642267,0.9436472481950754,0.7555732369949628,1.0,98.5593220338983,43.82126348228043,True,False,近期份额下降,2026Q2
C0010,土壤碳过程与土壤改良,碳与环境,关联基础研究,关联基础或环境研究,True,False,1051,418193,0.0025121366181839033,465,337646,0.0013771333733702937,394,294889,0.0013360924460821503,372,259776,0.0014318607270392965,367,242709,0.001511823073505455,1051,465,1.824178156423504,3,1231,410.3333333333333,0.0013816955154972467,1.8181550059383609,1.66166045631188,0.31569218222849926,4,4,1,1051,0.0025121366181839033,4,1,1.0,1588,1588,702.6666666666666,2.258171482709616,0.3414281986183995,0.0013795444310765487,1.820990003361848,1.677127836401817,5.310553163127612e-48,4.978643590432137e-46,75.01540832049307,95.0,False,False,多年背景上持续抬升,2026Q2
