numeric_rank,category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter,quality_multiyear_share_ratio,quality_share_growth_ratio,geometry_multiyear_share_ratio,geometry_share_growth_ratio,dedup_multiyear_share_ratio,dedup_share_growth_ratio,exclude_needs_review_multiyear_share_ratio,exclude_needs_review_share_growth_ratio,supported_only_multiyear_share_ratio,supported_only_share_growth_ratio,papers_2025_jan_aug,share_2025_jan_aug,papers_2026_jan_aug,share_2026_jan_aug,share_ratio_2026_ytd,robust_min_ratio,emerging_robust,core_review_pass,emerging_review_pass,paper_review_reason,paper_review_decision,final_core,final_emerging,core_review_basis,review_status
1,C0060,超级电容器电极与器件,电化学储能,方向候选,能源电力直接相关,True,True,3189,418193,0.0076200282869211215,3203,337646,0.009477221829412965,2833,294889,0.009596496694483581,2322,259776,0.008927507486036955,2099,242709,0.008636932089318919,3189,3203,0.8040360797794177,3,8358,2786.0,0.009333742003311168,0.8163958554048202,0.7940427147024803,-0.11530901116374537,0,4,3,9225,0.008897915603605889,12,3,1.0,2494,3906,2042.3333333333333,1.2210440456769984,0.6318008287377825,0.00936331476017323,0.8138173800727964,0.7812874596385146,1.0,1.0,98.9060092449923,21.741140215716488,True,False,近期份额下降,2026Q2,0.748424159763393,0.7956540636603449,0.8096583127597974,0.7911191455888879,0.8461571261676487,0.8320353842445796,0.8402732836331867,0.8221435280981959,0.86353190092951,0.8805263912271192,2279,0.009180315984905539,2300,0.007300717853674636,0.7952577956661431,0.748424159763393,False,True,False,本次两条早期补充样本未发现明显脱离主题；结合原已读样本保留，样本少不足以证明类内纯度。电极、电解液与超级电容器用途一致；部分随机记录仅题名，保留证据深度限制。,原判断保留，少量跨年证据支持,True,False,冻结样本审阅或本次多年补审；非独立专家认定,已有样本依据的专家初评候选
2,C0009,二氧化碳电还原催化,碳与环境,方向候选,能源电力直接相关,True,True,3091,418193,0.007385896676286768,2668,337646,0.007894479928761822,2188,294889,0.007412010946136339,1839,259776,0.007070893442654458,1524,242709,0.0062714946273716085,3091,2668,0.9355773582218961,3,6695,2231.6666666666665,0.007459128105850872,0.9901823070304072,0.9355773582218961,-0.001764729016076938,0,4,3,7947,0.00756412918372831,12,3,1.0,2356,3357,1587.3333333333333,1.4839454354669466,0.6295350153464906,0.007500397676226579,0.9847340094642267,0.9436472481950754,0.7555732369949628,1.0,98.28197226502311,43.82126348228043,True,False,近期份额下降,2026Q2,0.9725992976884719,0.894123443683466,1.0067433409779283,0.9526150231818491,1.0263566631704146,0.9737042832114091,1.0356794334819353,0.9862721422209002,0.67899445157752,0.7204319529473151,1946,0.00783921257495882,2244,0.00712299987940566,0.9086371636558251,0.894123443683466,False,False,False,较早样本3711869为CO2解吸、3670372为析氧，4126822为电化学捕集，另含有机羧化；近期电还原支持明确，但三年整类数量不可统一解释为CO2电还原，退出多年核心并保留观察。,跨年范围待复核,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
3,C0037,光催化二氧化碳转化与氧化还原,碳与环境,宽泛待细分,能源电力直接相关,True,True,2526,418193,0.006036056268037691,2309,337646,0.0068324157374837656,2002,294889,0.0067820662187059715,1626,259776,0.006252138181287022,1355,242709,0.005576261703773181,2526,2309,0.8834439384188648,3,5937,1979.0,0.006622206712492252,0.9114871416881571,0.8834439384188648,-0.05826547230518875,0,4,3,6837,0.00655017940807581,12,3,1.0,2309,3602,1742.6666666666667,1.3247944943605428,0.6321108664837828,0.006651274916375971,0.9075036506424411,0.8662216844167819,0.9999779858157383,1.0,98.21263482280433,34.44530046224962,True,False,近期份额下降,2026Q2,0.8656651937818586,0.8137785009741803,0.9533884553124481,0.9200581564231283,0.9372505032929384,0.9063599657536827,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,1658,0.006679339355545442,1851,0.005875800524268024,0.8796978580508431,0.8137785009741803,False,False,False,中心4592992为亚硝酸盐制氨、随机4494038为有机与生物光化学；CO2光转化边界仍混杂。,观察或降级,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
4,C0155,电解水析氧催化,氢能与燃料电池,方向候选,能源电力直接相关,True,True,3168,418193,0.007569857227499474,2902,337646,0.008586744610541949,2431,294889,0.008235003251327625,1948,259776,0.0074898808768753536,1680,242709,0.006913248095308617,3168,2902,0.8815747493183806,3,7281,2427.0,0.00810387624624831,0.9341032608936916,0.8815747493183806,-0.04210977574004815,2,4,3,8501,0.008130535029789684,12,3,1.0,2404,3673,1804.0,1.332409972299169,0.618280681730557,0.008156843503762801,0.9280375704164796,0.8901221390948196,0.9997721576573345,1.0,98.21263482280432,40.97072419106318,True,False,近期份额下降,2026Q2,0.9205860058278655,0.8467253255763056,0.9629268354762105,0.9117161629533672,0.9468677449961796,0.9024874067384759,0.9826788150710098,0.9181449841552383,0.7569147713034061,0.7872091220009946,2195,0.008842019629243303,2264,0.007186470584501723,0.8127634732605473,0.8127634732605473,False,True,False,九条中各年度均有明确析氧样本；3763980为臭氧分解、3888597为氧还原，保留既有核心但明确三年计数不是纯析氧量，列专家边界复核。,方向支持，标注边界,True,False,冻结样本审阅或本次多年补审；非独立专家认定,已有样本依据的专家初评候选
5,C0067,钙钛矿太阳能电池界面与器件性能,太阳能,宽泛待细分,能源电力直接相关,True,True,2930,418193,0.007001251887387473,2898,337646,0.008574911026238015,2514,294889,0.008516107618944403,2172,259776,0.008350919273806367,2040,242709,0.008394217636701716,2930,2898,0.8164809950755912,3,7584,2528.0,0.008480645972996262,0.8255564387053278,0.8164809950755912,-0.0979352050476816,0,4,3,8342,0.008030756844189963,12,3,1.0,2342,3652,1927.3333333333333,1.2150388936905792,0.592472593556063,0.008496268564758493,0.8240384392305853,0.789647067013674,1.0,1.0,97.48073959938367,24.699537750385208,True,False,近期份额下降,2026Q2,0.7624132288196611,0.7755595964742666,0.8322320817863172,0.8245918508231681,0.8390733939077084,0.8392534992973926,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,2086,0.00840303983439588,2105,0.006681878478988023,0.7951739621222924,0.7624132288196611,False,True,False,本次两条早期补充样本未发现明显脱离主题；结合原已读样本保留，样本少不足以证明类内纯度。中心与随机均涉及钙钛矿光伏；兼有器件比较，仍为宽方向且待复核记录占比高。,原判断保留，少量跨年证据支持,True,False,冻结样本审阅或本次多年补审；非独立专家认定,已有样本依据的专家初评候选
6,C0254,电催化析氢与界面调控,氢能与燃料电池,方向候选,能源电力直接相关,True,True,2826,418193,0.006752785688346935,2343,337646,0.006933001204067203,1936,294889,0.006558537444456486,1697,259776,0.006525056601742834,1462,242709,0.006016438761909463,2826,2343,0.9740061323493575,3,5976,1992.0,0.006672198416755507,1.0120780688099824,0.9740061323493575,0.014593743380355573,2,4,3,7105,0.006748108112290208,12,3,1.0,2360,3425,1680.3333333333333,1.404242664551943,0.6085790569895673,0.006694963290563535,1.0086367012444863,0.9645021540561864,0.34649983547663243,0.7711420670844936,97.46533127889062,51.51771956856703,True,False,近期份额下降,2026Q2,1.0663911135556816,0.9675963752977031,1.0147243443256078,0.9757778579538244,1.0327206053827112,1.0030487710077762,1.0291947430560728,0.9949916063345158,0.7348270858444045,0.8249244224135274,1752,0.007057909086881754,2131,0.006764390395612905,0.9584127979468593,0.9584127979468593,False,True,False,本次两条早期补充样本未发现明显脱离主题；结合原已读样本保留，样本少不足以证明类内纯度。中心和随机支持析氢；4225206主任务是抑制析氢并加氢，保留反向任务误分说明。,原判断保留，少量跨年证据支持,True,False,冻结样本审阅或本次多年补审；非独立专家认定,已有样本依据的专家初评候选
7,C0278,整体电催化水分解,氢能与燃料电池,方向候选,能源电力直接相关,True,True,2050,418193,0.004898845587813689,1919,337646,0.005678641267850222,1677,294889,0.005681356345507749,1432,259776,0.005506417426802126,1248,242709,0.005136084645636899,2050,1919,0.86267917918123,3,5028,1676.0,0.005622138346720033,0.8713491710270141,0.8622669112609365,-0.0740952072067751,0,4,3,5646,0.005419614400390554,12,3,1.0,1853,2769,1383.3333333333333,1.3392728148326511,0.6512184370168971,0.005632999733388896,0.8696690608338571,0.8261336345904703,0.9999999522174626,1.0,97.20338983050847,30.93220338983051,True,False,近期份额下降,2026Q2,0.772500292285171,0.7675267878304041,0.8536116909305814,0.8492424984262605,0.8965562930426177,0.885215506549624,0.9404469748920775,0.9123819144355076,0.6632818791428075,0.7709238574298404,1444,0.005817489116120224,1558,0.004945954694610702,0.8501871848639122,0.7675267878304041,False,True,False,本次两条早期补充样本未发现明显脱离主题；结合原已读样本保留，样本少不足以证明类内纯度。中心和一条随机支持双功能/整体水分解；含仅析氢子反应研究，不能看作逐条纯整体体系。,原判断保留，少量跨年证据支持,True,False,冻结样本审阅或本次多年补审；非独立专家认定,已有样本依据的专家初评候选
8,C0436,钠离子电池电极材料,电化学储能,方向候选,能源电力直接相关,True,True,2868,418193,0.006853127807190229,2118,337646,0.006267362086970928,1370,294889,0.0046416088652866585,1052,259776,0.004045727289151301,865,242709,0.003560497605765908,2868,2118,1.0934628815266692,3,4540,1513.3333333333333,0.0049848994138029625,1.3747775508196267,1.0934628815266692,0.194822058949629,3,4,3,6356,0.005920699586482604,12,3,1.0,2025,2733,1153.6666666666667,1.7546189376443417,0.6125810364535264,0.005086334948682963,1.3473606980925927,1.2858247393167357,1.0673310429220674e-36,5.717844872796789e-35,96.29429892141756,77.93913713405239,True,False,平稳或增长证据不足,2026Q2,1.3430276367519205,1.0435253077579696,1.448203722630874,1.1343665424818317,1.323405966590108,1.115931484077066,1.4036422272165527,1.1250402009640834,0.7381725333182875,0.8819710612701498,1712,0.006896815584185451,2000,0.006348657277233693,0.9205200863701943,0.9205200863701943,False,False,False,中心及随机仍有锂氧、锂离子和通用固态电解质；不能把全部数量归为钠离子电极。,观察或降级,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
9,C0146,铁基催化剂与氧电催化,能源材料与电化学基础,宽泛待细分,能源电力直接相关,True,True,1762,418193,0.004210785344316814,1579,337646,0.004672786602015851,1285,294889,0.004353730898450201,1147,259776,0.004410899823564007,922,242709,0.0037949844498198155,1762,1579,0.9011293908650292,3,4011,1337.0,0.00447913910801002,0.9400880934433782,0.9011293908650292,-0.01669199120967413,2,4,3,4626,0.0044124342815942885,12,3,1.0,1829,2847,1332.6666666666667,1.3721569607598099,0.624683911097757,0.004493741360343951,0.9370333107009345,0.8859915583038714,0.9883916856361764,1.0,96.07858243451463,43.11248073959938,True,False,近期份额下降,2026Q2,0.9354945719525968,0.8625711330958346,0.940072796866711,0.9012666454206777,0.9607759384445606,0.9371600161519237,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,1203,0.004846900762375001,1253,0.003978026441895743,0.820736102702151,0.820736102702151,False,False,False,铁氧催化中心明确，但随机含非铁制氢、边界为泛电催化晶界综述。,观察或降级,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
10,C0369,多体系二次电池材料与电解液综述,电化学储能,宽泛待细分,能源电力直接相关,True,True,2231,418193,0.005331272338066933,2142,337646,0.00633836359279453,1810,294889,0.00613180069361656,1642,259776,0.006313640923924951,1383,242709,0.0056914482236593116,2231,2142,0.841111788558097,3,5594,1864.6666666666667,0.006261268403445347,0.8514684237355691,0.841111788558097,-0.06994926776809951,1,4,3,6183,0.005933812208159341,12,3,1.0,1976,3168,1496.3333333333333,1.3203472840605521,0.5801182651784287,0.006267041266469957,0.8506840965912267,0.8099458223622201,0.9999999999513214,1.0,96.00924499229583,31.89907550077042,True,False,近期份额下降,2026Q2,0.828770199689828,0.8089187764204195,0.8477772158877122,0.8238906875105081,0.8340680809143959,0.8399413005488368,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,1580,0.0063652070252876525,1449,0.0046000393518371594,0.7226849548745474,0.7226849548745474,False,False,False,跨体系电解液、锂金属与固态电池，且含原始研究而非全为综述；不作同粒度重点。,观察或降级,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
