category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter
C0001,电池与充电设施热管理,电化学储能,宽泛待细分,能源电力直接相关,True,True,33,337646,9.91062685454454e-05,30,294889,0.00010329738810014089,27,259776,0.00010570783890894135,24,242709,0.00010078820490036366,9,240184,3.9491351394044706e-05,33,30,0.9594266647804063,3,81,27.0,0.00010326447730314862,0.9597324378498895,0.9375489043042242,-0.03224317895346207,2,0,3,90,0.00010270383185150922,0,0,0.0,43,121,40.666666666666664,1.056,0.4041052671633715,0.0001021624596207579,0.9700849892743623,0.6488013119740303,0.5741728886430215,1.0,24.714946070878273,44.090909090909086,False,False,近期份额下降,2025Q2
C0002,功能传感材料与电化学检测,其他基础与关联学科,关联基础研究,关联基础或环境研究,False,False,1134,337646,0.003356300348203218,939,294889,0.0031818982334453237,783,259776,0.0030117124285511106,632,242709,0.0026019812081420415,487,240184,0.0020265298741680834,1134,939,1.0548107142223255,3,2354,784.6666666666666,0.002931863956712825,1.1447667414849174,1.0548107142223255,0.054165225179201304,3,4,3,2856,0.003183303670066551,12,3,1.0,1483,2440,1057.0,1.4026465028355388,0.6696634665565622,0.002951429584994779,1.1371778494282307,1.0594113999819441,0.00017471126748811965,0.0015599220311439254,91.80277349768876,71.76040061633282,False,False,平稳或增长证据不足,2025Q2
C0003,电力电子控制与频率调节,电网与电力系统,混杂待重分,质量限制观察,False,False,203,337646,0.000602033601462631,193,294889,0.0006553457245041726,187,259776,0.0007207352652882365,180,242709,0.000742541672837373,183,240184,0.0007628066295586529,203,193,0.9186503839910194,3,560,186.66666666666666,0.0007062075542099274,0.8524881925628203,0.78923488356539,-0.08997931629661737,1,4,3,583,0.0006593715304183467,12,3,1.0,288,687,275.0,1.0471014492753623,0.2967607940062121,0.0007026019462261939,0.8568629857862844,0.7298708132654723,0.9712472756788215,1.0,50.72419106317412,29.63405238828968,False,False,近期份额下降,2025Q2
C0004,风能开发与风电技术经济,风能与水能海洋能源,宽泛待细分,能源电力直接相关,True,True,839,337646,0.0024835735057881017,770,294889,0.002609529099382248,655,259776,0.0025196904874476744,686,242709,0.0028241266393510063,694,240184,0.0028870256361225315,839,770,0.9517324433653706,3,2111,703.6666666666666,0.002651115408726976,0.9368032404823426,0.8602533606607342,-0.007218809375789004,1,4,3,2264,0.0025375976975393413,12,3,1.0,1031,2115,899.6666666666666,1.145817912657291,0.3701248701840786,0.002646822496800372,0.93832265245984,0.8662057383970823,0.9400599261204405,1.0,74.93836671802775,42.931432973805855,True,False,近期份额下降,2025Q2
C0005,钙钛矿氧化物电催化,能源材料与电化学基础,方向候选,能源电力直接相关,True,True,634,337646,0.0018771023102114957,561,294889,0.0019016879809255446,510,259776,0.0019623218822914386,426,242709,0.0017545375261226572,378,240184,0.0015734185792258865,634,561,0.9870716589889351,3,1497,499.0,0.00187284912977988,1.0022709679941575,0.9565720726813531,-0.02219957125784866,1,4,3,1705,0.001913704057809493,12,3,1.0,922,1591,712.0,1.2945301542777,0.5972158389360513,0.001877156850086932,0.999970945488421,0.911309841568943,0.49868208428149063,1.0,76.71802773497689,50.620184899845924,True,False,近期份额下降,2025Q2
C0006,电网建设与供电服务政策,能源政策与治理,宽泛待细分,能源治理与政策研究,True,False,19,337646,5.7688723481677176e-05,22,294889,7.620299122141541e-05,18,259776,7.1112546175106e-05,15,242709,6.37639663655362e-05,16,240184,6.859024189491975e-05,19,22,0.7570401444486191,3,55,18.333333333333332,7.035983458735254e-05,0.8199098792657901,0.7570401444486191,-0.10460102928999859,1,0,3,59,6.833475362606619e-05,0,0,0.0,13,44,14.0,0.9333333333333333,0.1683664246585591,6.957075471106827e-05,0.8292093958339547,0.4949736593597396,0.7782603160725177,1.0,14.098613251155626,20.38135593220339,False,False,近期份额下降,2025Q2
C0007,层状电池正极与离子导体,电化学储能,混杂待重分,质量限制观察,False,False,672,337646,0.0019895213610988667,590,294889,0.0019999051696109244,606,259776,0.0023313383381190155,577,242709,0.002375721972651429,494,240184,0.0020556287646689587,672,590,0.9948078495571478,3,1773,591.0,0.002235655160127123,0.8899052933484336,0.8374386329720467,-0.0792742044867647,2,4,3,1868,0.002106921622942936,12,3,1.0,878,1574,738.6666666666666,1.188373141054529,0.5282616577172287,0.0022231303329744065,0.8949189040289033,0.8189082317403671,0.9928724898307908,1.0,75.53158705701078,42.295839753466865,False,False,近期份额下降,2025Q2
C0008,电极涂布与通用成形加工,制造与通用装置,混杂待重分,质量限制观察,False,False,29,337646,8.727268424151162e-05,27,294889,9.313698927061883e-05,29,259776,0.00011339568173868254,35,242709,0.00014604005199848611,30,240184,0.00012678802289666985,29,27,0.9370357032685706,3,91,30.333333333333332,0.00011752424100259583,0.7425930471619381,0.5975941739764398,-0.13092289603270935,1,0,3,85,9.793511841693766e-05,0,0,0.0,33,112,45.333333333333336,0.7338129496402878,0.2112680193852671,0.00011469773073986931,0.7608928588085427,0.5024582361658558,0.9094708330382153,1.0,18.266563944530045,21.483050847457626,False,False,近期份额下降,2025Q2
C0009,二氧化碳电还原催化,碳与环境,方向候选,能源电力直接相关,True,True,2668,337646,0.007894479928761822,2188,294889,0.007412010946136339,1839,259776,0.007070893442654458,1524,242709,0.0062714946273716085,1266,240184,0.005264820688479749,2668,2188,1.0650928588923605,3,5551,1850.3333333333333,0.006918133005387468,1.1411286719428533,1.0650928588923605,0.05508846458187566,3,4,3,6695,0.007459128105850872,12,3,1.0,1890,2738,1350.0,1.3997039230199853,0.6514547741298643,0.006958955761774694,1.1344345615941303,1.083249209916008,3.3225801282239744e-08,5.66348885492723e-07,97.75038520801233,72.1995377503852,True,False,平稳或增长证据不足,2025Q2
C0010,土壤碳过程与土壤改良,碳与环境,关联基础研究,关联基础或环境研究,True,False,465,337646,0.0013771333733702937,394,294889,0.0013360924460821503,372,259776,0.0014318607270392965,367,242709,0.001511823073505455,397,240184,0.0016524012820139757,465,394,1.0307171314443762,3,1133,377.6666666666667,0.0014265920822089672,0.9653308682590678,0.8334134016719107,-0.01948536658395561,2,4,3,1231,0.0013816955154972467,12,3,1.0,746,1591,669.3333333333334,1.1143709597215314,0.4001021313831442,0.0014208729813512773,0.9692163841841891,0.8700849164322789,0.714996592994485,1.0,63.975346687211086,51.06317411402157,False,False,历史峰值以下的恢复或波动,2025Q2
C0011,光催化与光生物制氢,氢能与燃料电池,宽泛待细分,能源电力直接相关,True,True,1063,337646,0.0031462542268083935,860,294889,0.0029143410642679096,748,259776,0.0028771751790306398,640,242709,0.0026348916423952215,493,240184,0.0020514717803116907,1063,860,1.0795765346012243,3,2248,749.3333333333334,0.0028088026285645906,1.1201407300078803,1.0795765346012243,0.044701819357594985,3,4,3,2671,0.0029792568233689806,12,3,1.0,1174,1873,873.0,1.3443935926773456,0.6404424227041579,0.002818555711132198,1.116264693432141,1.0377393129923573,0.0014832433064357173,0.0112366917154221,87.8120184899846,70.90523882896763,True,False,平稳或增长证据不足,2025Q2
C0012,聚合物介电绝缘与储能,能源材料与电化学基础,宽泛待细分,能源电力直接相关,True,True,419,337646,0.0012410471538750552,444,294889,0.0015054324265741845,383,259776,0.001474143862602873,407,242709,0.0016763752447713548,383,240184,0.0015942035010122256,419,444,0.8243791829960951,3,1234,411.3333333333333,0.0015519838446494709,0.7996521085922492,0.7403158438099727,-0.08606094348273441,0,4,3,1246,0.0014068744810173707,12,3,1.0,629,1327,578.3333333333334,1.0874568469505177,0.4573560065031845,0.0015474792196543024,0.8019798509167042,0.71788974532646,0.9999550207332569,1.0,65.84745762711864,21.2557781201849,True,False,近期份额下降,2025Q2
C0013,集成电路与电子封装,电力电子与电机,宽泛待细分,能源电力直接相关,True,True,194,337646,0.00057540803677878,180,294889,0.0006113173295762437,168,259776,0.0006477007584056952,154,242709,0.0006355827615145382,190,240184,0.000791905520059528,194,180,0.9412591610606631,3,502,167.33333333333334,0.0006315336164988256,0.9111281200972301,0.7266119785798769,-0.05917468939966719,1,4,3,542,0.0006114753749202396,12,3,1.0,283,666,251.66666666666666,1.1240105540897098,0.3785535335776868,0.0006298973737353478,0.913494897377582,0.7741456396111714,0.860389311573822,1.0,53.081664098613246,36.97611710323575,False,False,近期份额下降,2025Q2
