numeric_rank,category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter,quality_multiyear_share_ratio,quality_share_growth_ratio,geometry_multiyear_share_ratio,geometry_share_growth_ratio,dedup_multiyear_share_ratio,dedup_share_growth_ratio,exclude_needs_review_multiyear_share_ratio,exclude_needs_review_share_growth_ratio,supported_only_multiyear_share_ratio,supported_only_share_growth_ratio,papers_2025_jan_aug,share_2025_jan_aug,papers_2026_jan_aug,share_2026_jan_aug,share_ratio_2026_ytd,robust_min_ratio,emerging_robust,core_review_pass,emerging_review_pass,paper_review_reason,paper_review_decision,final_core,final_emerging,core_review_basis,review_status
1,C0130,能源网络安全与隐私保护,数字技术与测量,方向候选,能源电力直接相关,True,True,2238,418193,0.005347996024540815,1004,337646,0.0029717088583253704,635,294889,0.002152311152053755,528,259776,0.0020315124677591093,498,242709,0.0020507314344012768,2238,1004,1.7996365995135002,3,2167,722.3333333333334,0.0023851774927127448,2.2421794775777273,1.7996365995135002,0.4550898483258421,4,4,3,3877,0.0034906720116399804,12,3,1.0,1648,2608,827.0,1.9915458937198067,0.2670722277246121,0.002428065411578091,2.202574938483618,2.0762501653468384,2.923706296763527e-160,2.1927797225726452e-157,78.56702619414484,96.14791987673344,True,True,多年背景上持续抬升,2026Q2,2.3370629824224953,1.9298966073971764,2.234985776964747,1.797730917823315,1.9523845466731344,1.567941696671541,2.2924483973710537,1.8231135073382574,0.7381725333182875,0.8819710612701498,822,0.0033124851491927202,2069,0.00656763120981511,1.9826900088640986,1.567941696671541,True,False,False,通用工业及信息物理安全与能源安全并存，尚不足以把总增速解释为能源专属网络安全。,观察或降级,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
2,C0356,电力知识处理与智能决策系统,数字技术与测量,宽泛待细分,能源电力直接相关,True,True,183,418193,0.0004383994954224881,91,337646,0.0002706932409524852,59,294889,0.00020151457678552076,42,259776,0.00016336666013200027,47,242709,0.0001954057033782561,183,91,1.6195435611169928,3,192,64.0,0.00021185815929000208,2.0693066384211565,1.6195435611169928,0.3886344322716071,4,3,3,333,0.00030353577105349803,4,1,0.3333333333333333,166,335,83.0,1.9880952380952381,0.2443335924133539,0.00021564133413092622,2.033003075172567,1.6607968971818705,1.1300277526921725e-12,1.486878621963385e-11,34.21417565485362,94.8382126348228,False,True,多年背景上持续抬升,2026Q2,2.447534427649408,2.061705804517685,1.765627613909018,1.230522954223857,1.8908607839204001,1.4679881562570332,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,78,0.0003161459990414937,166,0.0005283936199247237,1.6713595032887727,1.230522954223857,True,False,False,含汽车企业BI、通用AI治理及废物数据系统，不采用其类内论文增速作电力新兴结论。,观察或降级,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
3,C0308,变电站自动化与电网监控,电网与电力系统,宽泛待细分,能源电力直接相关,True,True,237,418193,0.0005674107910781522,112,337646,0.0003328195585481375,87,294889,0.00029634496586105995,88,259776,0.0003401870452160476,100,242709,0.00041343733030557337,237,112,1.704860115653583,3,287,95.66666666666667,0.0003231171898750817,1.7560526299993984,1.3724227337158363,0.32477966985565,4,4,3,436,0.00039885843849578323,7,1,0.5833333333333334,190,314,73.0,2.581081081081081,0.1118997675401224,0.00032206173279294173,1.7618075458935352,1.4836069729124715,3.041852500258604e-11,3.564670898740552e-10,37.178351309707246,94.64560862865946,False,True,多年背景上持续抬升,2026Q2,1.6193624820177843,1.5461855542160834,1.7682641928345981,1.7269919310155968,1.630427348982447,1.579620393300491,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,95,0.00038461073768742223,211,0.0006712027063908653,1.7451481215180211,1.5461855542160834,True,False,False,PLC、SCADA、油气管道和通用控制混入，不能代表变电站专门方向。,观察或降级,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
4,C0124,电力系统碳计量与低碳调度,碳与环境,宽泛待细分,能源电力直接相关,True,True,681,418193,0.0016281703331358346,340,337646,0.001007333863872363,250,294889,0.0008483933022650916,184,259776,0.0007092035010436247,110,242709,0.00045457537312204837,681,340,1.6163164880379088,3,774,258.0,0.0008549768890603599,1.904344262363902,1.6163164880379088,0.32593392010592037,4,4,3,1271,0.0011612991664244298,12,3,1.0,729,1136,332.3333333333333,2.19,0.3988119776473733,0.0008676063027761162,1.876623449975075,1.6930506202906261,1.668052423467167e-34,7.359054809413972e-33,62.403697996918325,94.49922958397534,True,True,多年背景上持续抬升,2026Q2,1.9172690144386646,1.7120709031063908,1.9944267253838583,1.6925697857595792,1.8803064951874247,1.582991738181411,2.1627610687052785,2.140930442056496,2.22512636614102,2.2931247593023896,266,0.0010732854617141155,532,0.001689907523182675,1.574518227875526,1.574518227875526,True,False,False,电碳计量两条明确，但新中心为冷热电热力经济，随机为尾气捕碳，边界为活性炭LCA；当前残留记录不足支撑专门新兴结论。,观察或降级,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
5,C0606,地热资源勘探与储层建模,热工与能效,方向候选,能源电力直接相关,True,True,244,418193,0.0005841344775520345,105,337646,0.00031211078601625343,101,294889,0.0003437601603988295,81,259776,0.00031327959531195345,92,242709,0.0003805268960523934,244,105,1.8715613292570261,3,287,95.66666666666667,0.0003230501805756788,1.8081849591017123,1.5350675172027974,0.26509351001662873,3,3,3,450,0.0004133351413223725,7,1,0.5833333333333334,406,610,172.0,2.352601156069364,0.3867131484083146,0.00032206173279294173,1.8137345051409235,1.5294015859315158,1.9295969519769754e-12,2.3724552688241503e-11,46.639060092449924,92.19953775038519,False,True,多年背景上持续抬升,2026Q2,1.6225982022914724,1.8641628529737104,1.827348671018197,1.875335435294122,1.8324926079580894,1.8930761678928092,1.8564687374900228,1.9083393841881633,1.903845130085395,2.043999284175845,77,0.00031211866147408607,236,0.000750541087760944,2.404665854378138,1.6225982022914724,True,False,False,三条涉及地热资源/储层，但4406646主任务为盐穴界面监测，4394207为膨胀机循环性能；窄类别仍跨任务。,观察或降级,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
6,C0533,氮化镓功率与结器件,电力电子与电机,方向候选,能源电力直接相关,True,True,423,418193,0.001011783031669884,224,337646,0.0006641599190582834,173,294889,0.0005876097323073589,155,259776,0.0005977297800123775,151,242709,0.0006232413486695957,423,224,1.5234027267175316,3,552,184.0,0.0006164998104593399,1.6411733053348834,1.5234027267175316,0.2717032121526839,4,4,3,820,0.000754517561011842,12,3,1.0,460,688,245.0,1.8739837398373984,0.4175138119263119,0.0006189186343238272,1.6347593618267187,1.4403827813744128,7.422914426357653e-15,1.1598303791183834e-13,57.56548536209554,91.92604006163329,True,True,多年背景上持续抬升,2026Q2,1.4692438606205216,1.327196120327555,1.656639589260815,1.5196589133382956,1.7198642376681232,1.5772296070560397,1.6843703429237185,1.5533391163455985,1.7300921731551122,1.6637627815051603,165,0.0006665243674059516,336,0.0010678946132412586,1.602183904239542,1.327196120327555,True,False,True,GaN HEMT、开关损耗、阈值及辐照证据一致；含RF器件，不能全部解释为电网功率转换。,方向证据可用（含边界说明）,False,True,未通过或尚未完成核心范围审阅,已有样本依据的专家初评候选
7,C0381,光伏发电功率预测方法与装置,太阳能,方向候选,能源电力直接相关,True,True,525,418193,0.0012554710345750273,303,337646,0.0008978732090609755,218,294889,0.0007400157147501897,154,259776,0.0005938858585975068,106,242709,0.00043812015599545837,525,303,1.3982720743923733,3,675,225.0,0.0007439249274695574,1.6876313566282575,1.3982720743923733,0.2642973426907673,4,4,3,1046,0.0009644533194620641,12,3,1.0,610,1027,323.3333333333333,1.8838643371017474,0.50553147960897,0.0007567050452230683,1.659128669090515,1.4803615501415237,6.695165431070895e-19,1.3214142298166242e-17,64.89984591679507,91.22496147919877,True,True,多年背景上持续抬升,2026Q2,1.647850041520647,1.424553983285918,1.6643181822310689,1.3352463770254253,1.7418241031344852,1.4363851109115968,1.75732363318995,1.4420558424628873,1.8424746427138046,1.48410447727953,237,0.0009564926722592961,427,0.0013566863214283448,1.418396983872094,1.3352463770254253,True,False,True,本次两条中心、一条随机及边界均明确光伏预测；另一随机是用电负荷，仍保留误分提示。,方向证据可用（含边界说明）,False,True,未通过或尚未完成核心范围审阅,已有样本依据的专家初评候选
8,C0265,覆冰冻结与除冰传热,热工与能效,宽泛待细分,能源电力直接相关,True,True,408,418193,0.0009759465606544218,217,337646,0.0006434511465263993,182,294889,0.000618090928795925,176,259776,0.0006784521297246599,169,242709,0.0006972898257392507,408,217,1.5167376201331875,3,575,191.66666666666666,0.0006466647350156614,1.5092002204678527,1.3996282817116192,0.2283861254388424,4,4,3,807,0.000745829545325582,12,3,1.0,535,878,284.6666666666667,1.8763127187864643,0.3405396039617754,0.0006446835729472625,1.5138381085045234,1.333548779021607,5.3746176942882324e-11,6.016363090621156e-10,54.260400616332824,89.98459167950693,True,True,多年背景上持续抬升,2026Q2,1.376585337367219,1.3271148287903753,1.5220500099710812,1.5447833098764847,1.5356639972168147,1.5289801700383325,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,172,0.0006947157303778045,335,0.0010647210779864554,1.5325996395783819,1.3271148287903753,True,False,False,中心冰蓄冷与随机隧道冻结、边界压缩空气储能混合，不构成一致除冰方向。,观察或降级,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
9,C0463,区域供热预测与热系统建模,热工与能效,宽泛待细分,能源电力直接相关,True,True,1285,418193,0.003071185566025114,624,337646,0.0018475183494516612,543,294889,0.0018407255879484123,482,259776,0.0018546920826750617,429,242709,0.0017668789389675996,1285,624,1.662330210109488,3,1649,549.6666666666666,0.001847645340025045,1.6622159564364685,1.6559005102321234,0.2559519148724263,3,4,3,2452,0.002253143167808396,12,3,1.0,1458,2344,771.3333333333334,1.8890807078118255,0.3705667043205999,0.001847794185189417,1.6620820601350077,1.5451961455750642,8.693899333292207e-44,6.520424499969155e-42,74.56856702619416,89.83436055469953,True,True,多年背景上持续抬升,2026Q2,1.6790286534622751,1.7148553851914323,1.699304315634056,1.7259335306166168,1.6360161430594866,1.640484291399312,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,455,0.0018344522619541447,1067,0.003387748884502358,1.8467359193602393,1.6360161430594866,True,False,False,材料热导率、开关柜、离合器与聚变热系统混合，与区域供热专名不符。,观察或降级,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
10,C0446,电力扰动孤岛及异常识别算法,电网与电力系统,宽泛待细分,能源电力直接相关,True,True,2117,418193,0.00505891515834942,1233,337646,0.0036491815597255793,940,294889,0.003185285033055164,779,259776,0.0029963367428916285,623,242709,0.002564956969607214,2117,1233,1.3863150066805263,3,2952,984.0,0.003276934445224124,1.5437950447017315,1.3863150066805263,0.23130514369264876,4,4,3,4290,0.003964460583710055,12,3,1.0,1863,2930,1046.0,1.7803247373447946,0.4155689707847143,0.003307433968943167,1.529558928720173,1.4465249530048414,1.1236256126633972e-51,1.4045320158292464e-49,87.10323574730354,88.98305084745762,True,True,多年背景上持续抬升,2026Q2,1.5578308508865861,1.446689789163482,1.5087339145980705,1.3619741593264525,1.534637702464911,1.372587003335904,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,990,0.003989077860517191,1718,0.005453720335379206,1.3671631705559442,1.3619741593264525,True,False,False,电能质量识别、光伏异常诊断与孤岛任务未统一，保留算法背景观察。,观察或降级,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
