category_id,multiyear_growth,recent_growth,trend,quarter_consistency,institution_expansion
C0001,0.37442218798151,0.38212634822804314,0.36517719568567025,0.5,0.2049306625577812
C0002,0.7041602465331279,0.662557781201849,0.6764252696456087,1.0,0.7704160246533128
C0003,0.4083204930662558,0.5069337442218799,0.4052388289676425,0.75,0.10785824345146379
C0004,0.6194144838212635,0.6702619414483821,0.5608628659476117,1.0,0.6209553158705701
C0005,0.3574730354391371,0.3359013867488444,0.349768875192604,0.0,0.32973805855161786
C0006,0.8813559322033898,0.9368258859784283,0.7765793528505393,0.75,0.9506933744221879
C0007,0.19722650231124808,0.2295839753466872,0.23112480739599384,0.5,0.3882896764252696
C0008,0.337442218798151,0.4514637904468413,0.3852080123266564,0.5,0.4098613251155624
C0009,0.4915254237288136,0.39599383667180277,0.4761171032357473,0.0,0.7195685670261941
C0010,0.9568567026194145,0.9399075500770416,0.9244992295839753,1.0,0.9522342064714946
C0011,0.4560862865947612,0.3559322033898305,0.44992295839753466,0.25,0.5993836671802774
C0012,0.32819722650231126,0.4453004622496148,0.2295839753466872,0.5,0.35130970724191063
C0013,0.699537750385208,0.7889060092449923,0.6718027734976888,0.75,0.7257318952234206
C0014,0.24499229583975346,0.19568567026194145,0.6702619414483821,0.25,0.884437596302003
C0015,0.7072419106317411,0.650231124807396,0.6348228043143297,0.75,0.588597842835131
C0016,0.637904468412943,0.5870570107858244,0.5963020030816641,0.5,0.4884437596302003
C0017,0.2280431432973806,0.3667180277349769,0.2896764252696456,0.5,0.2280431432973806
C0018,0.8828967642526965,0.8181818181818182,0.8613251155624037,1.0,0.8351309707241911
C0019,0.5161787365177196,0.4514637904468413,0.3852080123266564,0.25,0.3081664098613251
C0020,0.11556240369799692,0.13713405238828968,0.0970724191063174,0.25,0.13405238828967642
C0021,0.2542372881355932,0.16024653312788906,0.2665639445300462,0.25,0.3266563944530046
C0022,0.02465331278890601,0.053929121725731895,0.05546995377503852,0.25,0.05546995377503852
C0023,0.007704160246533128,0.02773497688751926,0.007704160246533128,0.0,0.2727272727272727
C0024,0.9198767334360555,0.8705701078582434,0.8875192604006163,0.75,0.7580893682588598
C0025,0.5716486902927581,0.8906009244992296,0.9768875192604006,0.25,0.8366718027734977
C0026,0.13097072419106318,0.23420647149460708,0.12326656394453005,0.0,0.13559322033898305
C0027,0.29892141756548535,0.33281972265023113,0.3728813559322034,0.25,0.2465331278890601
C0028,0.6918335901386748,0.5855161787365177,0.6425269645608629,1.0,0.49768875192604006
C0029,0.25577812018489987,0.17103235747303544,0.3220338983050847,0.0,0.34668721109399075
C0030,0.1926040061633282,0.2465331278890601,0.11710323574730354,0.25,0.22650231124807396
C0031,0.2357473035439137,0.31124807395993837,0.2172573189522342,0.25,0.44838212634822805
