category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter
C0001,电池与充电设施热管理,电化学储能,宽泛待细分,能源电力直接相关,True,True,25,334148,7.622794247331275e-05,24,270799,9.03478947096698e-05,24,236539,0.00010341305283773859,22,207891,0.00010803491688513728,21,194098,0.00011055519275169304,25,24,0.8437157580513515,3,70,23.333333333333332,0.00010059862147751522,0.7577434099367897,0.6895012398424442,-0.15250154792460524,1,0,3,73,8.999629667357373e-05,0,0,0.0,37,100,35.333333333333336,1.0458715596330275,0.3921207367851154,9.851817485648488e-05,0.7737449722790424,0.491920219542348,0.8762306557879317,1.0,24.691833590138675,21.96841294298921,False,False,近期份额下降,2026Q2
C0002,功能传感材料与电化学检测,其他基础与关联学科,关联基础研究,关联基础或环境研究,False,False,1409,334148,0.004213462153573894,1038,270799,0.003829644434938453,829,236539,0.003501270503220578,708,207891,0.0034018994939164337,549,194098,0.002825585042653736,1409,1038,1.1002228079280185,3,2575,858.3333333333334,0.0035776048106918213,1.1777326945060524,1.1002228079280185,0.0925793852303789,4,4,3,3276,0.0038481256972443083,12,3,1.0,1797,2809,1173.3333333333333,1.5310814646608006,0.63836305158849,0.0035990575793315854,1.1707126270417756,1.0971034164383529,8.60891515373174e-07,7.421478580803224e-06,95.53929121725731,71.50231124807395,False,False,平稳或增长证据不足,2026Q2
C0003,电力电子控制与频率调节,电网与电力系统,混杂待重分,质量限制观察,False,False,169,334148,0.0005066916176167259,136,270799,0.0005033668419538747,125,236539,0.0005297280869851508,119,207891,0.000573785447456618,111,194098,0.0005733443717122685,169,136,1.0066050748395459,3,380,126.66666666666667,0.0005356267921318812,0.9459788514312574,0.8830680873185357,-0.02223063110712209,3,4,3,430,0.0005132621821852505,10,1,0.8333333333333334,180,474,191.0,0.9427083333333334,0.2734973035527669,0.0005317186600410283,0.9529317958817333,0.7951610919672244,0.7029487309945153,1.0,46.25192604006163,45.83590138674884,False,False,历史峰值以下的恢复或波动,2026Q2
C0004,风能开发与风电技术经济,风能与水能海洋能源,宽泛待细分,能源电力直接相关,True,True,1027,334148,0.003071537682012896,729,270799,0.0026901546608450663,667,236539,0.0028174780722118576,574,207891,0.002758491544467172,599,194098,0.0030826901420762777,1027,729,1.1417699237589651,3,1970,656.6666666666666,0.002755374759174699,1.1147440731194385,0.9963822312495312,0.0431680628165374,4,4,3,2423,0.00285972347168994,12,3,1.0,1197,2218,861.6666666666666,1.3887171561051006,0.3177281962780157,0.002753617922761751,1.1154552912454485,1.0344207144859296,0.002159625626134363,0.01101849809252226,76.44838212634824,66.94915254237289,True,False,历史峰值以下的恢复或波动,2026Q2
C0005,钙钛矿氧化物电催化,能源材料与电化学基础,方向候选,能源电力直接相关,True,True,601,334148,0.0017980826430469654,551,270799,0.0020337495482605264,472,236539,0.0019943945904421015,439,207891,0.002110282043156348,373,194098,0.0019205750926863884,601,551,0.8841219630926886,3,1462,487.3333333333333,0.002046142060619659,0.8787672555357322,0.8520579743727402,-0.051809820990986744,0,4,3,1624,0.0019420755939165311,12,3,1.0,835,1529,707.3333333333334,1.180235294117647,0.5834115410393571,0.0020437280954270797,0.8798052182529782,0.8001197694094432,0.9959146494490072,1.0,77.8813559322034,31.887519260400616,True,False,近期份额下降,2026Q2
C0006,电网建设与供电服务政策,能源政策与治理,宽泛待细分,能源治理与政策研究,True,False,22,334148,6.725994924115831e-05,8,270799,3.134518796049769e-05,13,236539,5.698270258406004e-05,5,207891,2.6408535238589112e-05,7,194098,3.856576491338129e-05,22,8,2.145782291237866,3,26,8.666666666666666,3.8245475261048944e-05,1.758638081552594,1.1803573047792428,0.08290859665154038,4,0,3,43,5.186261326190535e-05,0,0,0.0,17,32,5.333333333333333,2.8421052631578947,0.1427281040357247,3.703165437867871e-05,1.8162825930856548,1.0355333563611238,0.018729845205521237,0.07432478256159221,13.674884437596301,89.93836671802772,False,False,多年背景上持续抬升,2026Q2
C0007,层状电池正极与离子导体,电化学储能,混杂待重分,质量限制观察,False,False,456,334148,0.0013646296368261673,466,270799,0.0017202976686555495,426,236539,0.001800231307563082,436,207891,0.002095877387571663,418,194098,0.002151969682166676,456,466,0.7932520410218631,3,1328,442.6666666666667,0.0018721354545967646,0.7289160800173469,0.6341305122162372,-0.13851604867981004,2,4,3,1348,0.0016283862043482663,12,3,1.0,693,1347,614.6666666666666,1.1272333513806172,0.4924785660554943,0.001856473692153761,0.7350654321651131,0.6609148840955108,0.9999999940224102,1.0,70.41602465331277,22.673343605546997,False,False,近期份额下降,2026Q2
C0008,电极涂布与通用成形加工,制造与通用装置,混杂待重分,质量限制观察,False,False,26,334148,7.921727355069757e-05,20,270799,7.559721802237678e-05,19,236539,8.230834817697561e-05,23,207891,0.00011283646874669893,23,194098,0.00012083939672859472,26,20,1.0478860945286275,3,62,20.666666666666668,9.024734498201709e-05,0.8777795464950531,0.6555583335840344,-0.01913908152021726,1,0,3,65,7.904094658335e-05,0,0,0.0,34,74,24.0,1.4,0.1718722285566457,8.733880749688375e-05,0.9070111651515741,0.5758270034476645,0.6781612266574786,1.0,16.87211093990755,44.526194144838215,False,False,历史峰值以下的恢复或波动,2026Q2
C0009,二氧化碳电还原催化,碳与环境,方向候选,能源电力直接相关,True,True,2549,334148,0.007621299581792583,2169,270799,0.008000398268270557,1772,236539,0.007481617802240476,1505,207891,0.007228736327581075,1216,194098,0.006255367068950446,2549,2169,0.9526150231818491,3,5446,1815.3333333333333,0.0075702507993640365,1.0067433409779283,0.9526150231818491,0.00924892581300929,1,4,3,6490,0.007701105217434539,12,3,1.0,2111,3008,1375.6666666666667,1.534140435835351,0.6315419469707165,0.007611053040508437,1.0013462711703112,0.9553399669257634,0.46935076691303734,0.9513866896885892,98.4360554699538,48.686440677966104,True,False,近期份额下降,2026Q2
C0010,土壤碳过程与土壤改良,碳与环境,关联基础研究,关联基础或环境研究,True,False,917,334148,0.0027427112635005665,411,270799,0.0015174758642052704,351,236539,0.0014836607376516374,326,207891,0.001567706682799881,312,194098,0.0016069068713908871,917,411,1.807416729449581,3,1088,362.6666666666667,0.001522947761552263,1.8009227451800847,1.7068265201495862,0.3072172191075482,4,4,3,1679,0.001914615955119158,12,3,1.0,1423,2096,639.3333333333334,2.223841749089016,0.3439395077131966,0.0015210926713657275,1.8031191097896733,1.6514861605913476,4.754929930485085e-41,5.094567782662591e-39,70.83975346687211,94.4684129429892,False,False,多年背景上持续抬升,2026Q2
C0011,光催化与光生物制氢,氢能与燃料电池,宽泛待细分,能源电力直接相关,True,True,865,334148,0.002587266047476556,773,270799,0.0028524121044052895,631,236539,0.002665524198654364,548,207891,0.0026336511960665687,447,194098,0.0023010906398317505,865,773,0.9070449685305852,3,1952,650.6666666666666,0.0027171958330420736,0.9521823992273487,0.9070449685305852,-0.014899498818595536,1,4,3,2269,0.0027017341168454035,12,3,1.0,1113,1850,835.3333333333334,1.3320047827819848,0.6326933584600899,0.0027284643462026485,0.9482499014793411,0.8753115154783797,0.9025242173611359,1.0,87.14175654853621,41.78351309707242,True,False,近期份额下降,2026Q2
