category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter,quality_multiyear_share_ratio,quality_share_growth_ratio,geometry_multiyear_share_ratio,geometry_share_growth_ratio,dedup_multiyear_share_ratio,dedup_share_growth_ratio,exclude_needs_review_multiyear_share_ratio,exclude_needs_review_share_growth_ratio,supported_only_multiyear_share_ratio,supported_only_share_growth_ratio,papers_2025_jan_aug,share_2025_jan_aug,papers_2026_jan_aug,share_2026_jan_aug,share_ratio_2026_ytd,robust_min_ratio,emerging_robust,core_review_pass,emerging_review_pass,paper_review_reason,paper_review_decision,final_core,final_emerging,core_review_basis,review_status
C0001,电池与充电设施热管理,电化学储能,宽泛待细分,能源电力直接相关,True,True,38,418193,9.198027560635308e-05,33,337646,9.91062685454454e-05,30,294889,0.00010329738810014089,27,259776,0.00010570783890894135,24,242709,0.00010078820490036366,38,33,0.9280974549473158,3,90,30.0,0.00010270383185150922,0.8955875739800983,0.8701367519733949,-0.05801896635972703,2,0,3,101,9.81279774173131e-05,0,0,0.0,48,130,45.0,1.065217391304348,0.3894110290882202,0.00010137943240960428,0.9072873404412476,0.6222392687927065,0.7052868749440521,1.0,24.776579352850543,37.01078582434514,False,False,近期份额下降,2026Q2,1.2284490895361653,1.78681169724866,0.7577434099367897,0.8437157580513515,0.8927954989511349,0.9538393650629304,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,24,9.866977040148528e-05,40,0.0001285281778195274,1.302609474984576,0.7577434099367897,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛
C0002,功能传感材料与电化学检测,其他基础与关联学科,关联基础研究,关联基础或环境研究,False,False,1575,418193,0.003764024005657384,1134,337646,0.003356300348203218,939,294889,0.0031818982334453237,783,259776,0.0030117124285511106,632,242709,0.0026019812081420415,1575,1134,1.1214800867486248,3,2856,952.0,0.003183303670066551,1.1824269362208515,1.1214800867486248,0.08400532597199106,4,4,3,3648,0.003434074195768642,12,3,1.0,1948,3012,1253.0,1.5542264752791068,0.6354204295387003,0.0031998933555583936,1.1762967034882785,1.106125530773685,1.004160485488367e-07,8.558185955866764e-07,93.7211093990755,72.442218798151,False,False,平稳或增长证据不足,2026Q2,1.1796093669462913,1.206707590262016,1.1777326945060524,1.1002228079280185,1.2320434565837783,1.1605881883516431,1.2193457316961878,1.1532504169325335,0.7381725333182875,0.8819710612701498,848,0.003417195925945317,1215,0.0038574321022132236,1.1288296561883913,1.1002228079280185,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛
C0003,电力电子控制与频率调节,电网与电力系统,混杂待重分,质量限制观察,False,False,254,418193,0.0006080254582290094,203,337646,0.000602033601462631,193,294889,0.0006553457245041726,187,259776,0.0007207352652882365,180,242709,0.000742541672837373,254,203,1.0099526949190565,3,583,194.33333333333334,0.0006593715304183467,0.9221287698655111,0.8188435484107509,-0.03747308343954314,3,4,3,650,0.0006218015947319377,12,3,1.0,259,665,280.0,0.9252669039145908,0.2822539056949417,0.000653645290729327,0.9302070509076632,0.8028527181301559,0.8342901767592349,1.0,49.98459167950694,43.64791987673344,False,False,历史峰值以下的恢复或波动,2026Q2,0.9621898235710845,0.9864612951875065,0.9459788514312574,1.0066050748395459,0.9120483414031856,0.9821222224406305,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,141,0.0005698682657881701,175,0.0005569554372179521,0.9773406779330683,0.9120483414031856,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛
C0004,风能开发与风电技术经济,风能与水能海洋能源,宽泛待细分,能源电力直接相关,True,True,1168,418193,0.002791661092104509,839,337646,0.0024835735057881017,770,294889,0.002609529099382248,655,259776,0.0025196904874476744,686,242709,0.0028241266393510063,1168,839,1.1240501179443219,3,2264,754.6666666666666,0.0025375976975393413,1.1001196504913004,0.9885042169164346,0.03373350440945799,4,4,3,2777,0.002628254565758286,12,3,1.0,1319,2411,952.6666666666666,1.3841314225795176,0.3173364254671788,0.002536726239685623,1.1004975816588234,1.0254837122515217,0.003790876136780143,0.016529983154564578,74.24499229583977,65.86286594761171,True,False,历史峰值以下的恢复或波动,2026Q2,1.0585132054091697,1.095602386647982,1.1147440731194385,1.1417699237589651,1.1001985953116193,1.1088677141304066,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,609,0.0024546622473349093,908,0.002883156778988658,1.1745635401037255,1.0585132054091697,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
C0005,钙钛矿氧化物电催化,能源材料与电化学基础,方向候选,能源电力直接相关,True,True,705,418193,0.0016855086867605742,634,337646,0.0018771023102114957,561,294889,0.0019016879809255446,510,259776,0.0019623218822914386,426,242709,0.0017545375261226572,705,634,0.8979311770015699,3,1705,568.3333333333334,0.001913704057809493,0.880757230922047,0.8589358871095987,-0.060337246642728104,0,4,3,1900,0.0018214329926325382,12,3,1.0,954,1736,808.6666666666666,1.179497735693701,0.5818798804772546,0.0019105262096638684,0.8822222266488127,0.8081175106253947,0.9974578378604336,1.0,76.15562403697997,31.20184899845917,True,False,近期份额下降,2026Q2,0.7989544286199017,0.8703986500286912,0.8787672555357322,0.8841219630926886,0.9098559820286196,0.9175220726953164,0.9310515135349722,0.9559039365839292,0.7381725333182875,0.8819710612701498,427,0.001721686810066733,547,0.0017375105520047221,1.0091908364781954,0.7989544286199017,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
C0006,电网建设与供电服务政策,能源政策与治理,宽泛待细分,能源治理与政策研究,True,False,42,418193,0.00010153666787714302,19,337646,5.7688723481677176e-05,22,294889,7.620299122141541e-05,18,259776,7.1112546175106e-05,15,242709,6.37639663655362e-05,42,19,1.7600782570512696,3,59,19.666666666666668,6.833475362606619e-05,1.4858715732372527,1.332449897958967,0.14350963816008466,3,0,3,83,7.84761275267452e-05,0,0,0.0,35,71,15.0,2.25,0.1383898537887059,6.665277600410447e-05,1.5233674269004251,1.027655181086692,0.018504568956052837,0.06737100348077489,15.570107858243453,86.80662557781201,False,False,多年背景上持续抬升,2026Q2,1.4694625281735136,2.377937371526412,1.758638081552594,2.145782291237866,1.2794702268918803,1.4974141278181865,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,15,6.242373229481721e-05,36,0.00011583403680031482,1.8556089573953918,1.2794702268918803,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛
C0007,层状电池正极与离子导体,电化学储能,混杂待重分,质量限制观察,False,False,673,418193,0.0016090575485942548,672,337646,0.0019895213610988667,590,294889,0.0019999051696109244,606,259776,0.0023313383381190155,577,242709,0.002375721972651429,673,672,0.8087661585626448,3,1868,622.6666666666666,0.002106921622942936,0.7637007143847774,0.6772920262207547,-0.10872556509341269,2,4,3,1935,0.0018661613597680154,12,3,1.0,964,1715,790.3333333333334,1.2194608256107835,0.4959243813623796,0.002093121209473432,0.7687359629780095,0.7039146953245592,0.9999999978553428,1.0,72.75038520801233,26.14791987673344,False,False,近期份额下降,2026Q2,0.7483367295825872,0.7842766490697003,0.7289160800173469,0.7932520410218631,0.7454388826186887,0.828102700237032,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,524,0.0021123385541052665,395,0.0012551331932746442,0.5941913008382727,0.5941913008382727,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛
C0008,电极涂布与通用成形加工,制造与通用装置,混杂待重分,质量限制观察,False,False,35,418193,8.481298140326065e-05,29,337646,8.727268424151162e-05,27,294889,9.313698927061883e-05,29,259776,0.00011339568173868254,35,242709,0.00014604005199848611,35,29,0.971815891081748,3,85,28.333333333333332,9.793511841693766e-05,0.8660119349852384,0.580751514688175,-0.04681139929549083,2,0,3,91,8.840755163846369e-05,0,0,0.0,47,111,38.0,1.2307692307692308,0.2057121024522713,9.577835879581399e-05,0.8855129955198963,0.5987412783781626,0.740515319447354,1.0,17.596302003081664,39.899845916795066,False,False,近期份额下降,2026Q2,0.8664451430017778,1.0622060320049638,0.8777795464950531,1.0478860945286275,0.8769361710297547,0.9611257961161683,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,22,9.061509526667016e-05,29,9.361929001669279e-05,1.033153358622883,0.8664451430017778,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛
C0009,二氧化碳电还原催化,碳与环境,方向候选,能源电力直接相关,True,True,3091,418193,0.007385896676286768,2668,337646,0.007894479928761822,2188,294889,0.007412010946136339,1839,259776,0.007070893442654458,1524,242709,0.0062714946273716085,3091,2668,0.9355773582218961,3,6695,2231.6666666666665,0.007459128105850872,0.9901823070304072,0.9355773582218961,-0.001764729016076938,0,4,3,7947,0.00756412918372831,12,3,1.0,2356,3357,1587.3333333333333,1.4839454354669466,0.6295350153464906,0.007500397676226579,0.9847340094642267,0.9436472481950754,0.7555732369949628,1.0,98.28197226502311,43.82126348228043,True,False,近期份额下降,2026Q2,0.9725992976884719,0.894123443683466,1.0067433409779283,0.9526150231818491,1.0263566631704146,0.9737042832114091,1.0356794334819353,0.9862721422209002,0.67899445157752,0.7204319529473151,1946,0.00783921257495882,2244,0.00712299987940566,0.9086371636558251,0.894123443683466,False,False,False,较早样本3711869为CO2解吸、3670372为析氧，4126822为电化学捕集，另含有机羧化；近期电还原支持明确，但三年整类数量不可统一解释为CO2电还原，退出多年核心并保留观察。,跨年范围待复核,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
C0010,土壤碳过程与土壤改良,碳与环境,关联基础研究,关联基础或环境研究,True,False,1051,418193,0.0025121366181839033,465,337646,0.0013771333733702937,394,294889,0.0013360924460821503,372,259776,0.0014318607270392965,367,242709,0.001511823073505455,1051,465,1.824178156423504,3,1231,410.3333333333333,0.0013816955154972467,1.8181550059383609,1.66166045631188,0.31569218222849926,4,4,3,1910,0.0017417874792121158,12,3,1.0,1588,2297,702.6666666666666,2.258171482709616,0.3414281986183995,0.0013795444310765487,1.820990003361848,1.677127836401817,5.310553163127612e-48,4.978643590432137e-46,68.25115562403698,95.0,False,False,多年背景上持续抬升,2026Q2,1.8136948333119478,1.849506844520543,1.8009227451800847,1.807416729449581,1.8264138460345993,1.8210219982176599,1.8636503974808856,1.8643291439752485,0.7381725333182875,0.8819710612701498,351,0.0014156091549437583,900,0.002857768496950233,2.018755308956568,1.8009227451800847,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛
C0011,光催化与光生物制氢,氢能与燃料电池,宽泛待细分,能源电力直接相关,True,True,1199,418193,0.0028657231322031305,1063,337646,0.0031462542268083935,860,294889,0.0029143410642679096,748,259776,0.0028771751790306398,640,242709,0.0026348916423952215,1199,1063,0.9108364822477051,3,2671,890.3333333333334,0.0029792568233689806,0.961891942220186,0.9108364822477051,-0.00841151188583611,1,4,3,3122,0.0029754394744264776,12,3,1.0,1370,2181,998.0,1.3723723723723724,0.6332284600463558,0.002992653631848153,0.9575859704263087,0.8945252254159463,0.8928056454302229,1.0,88.60554699537751,42.353620955315876,True,False,近期份额下降,2026Q2,0.8892056935285337,0.8273626951886086,0.9521823992273487,0.9070449685305852,1.0055461505221932,0.9448080869480897,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,796,0.0032077743724401235,876,0.0027816036508349572,0.8671444209833928,0.8273626951886086,False,False,False,补读15条：制氢证据与污染物净化4161242、过氧化氢合成4249875/4623019、甲烷转化4451075/4538064和CO2制甲酸4590738混合；两条高原相似度样本4147200/4349574同题同摘要，4390672题名残缺。当前1199条不能整体解释为光催化/光生物制氢，保留观察，先清理任务边界。,观察或降级,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
C0012,聚合物介电绝缘与储能,能源材料与电化学基础,宽泛待细分,能源电力直接相关,True,True,503,418193,0.0012029108770856827,419,337646,0.0012410471538750552,444,294889,0.0015054324265741845,383,259776,0.001474143862602873,407,242709,0.0016763752447713548,503,419,0.9692708881606187,3,1246,415.3333333333333,0.0014068744810173707,0.8550235954353275,0.7175665954490702,-0.11216791659758485,2,4,3,1366,0.001316463485844974,12,3,1.0,731,1441,610.3333333333334,1.1973827699018538,0.4412596781121364,0.0013963476519179196,0.8614694739046207,0.7767684298206542,0.9976686207474265,1.0,65.75500770416025,35.72419106317412,True,False,近期份额下降,2026Q2,0.7910664578497429,0.8913858148453233,0.8354489077723446,0.9593457401661292,0.8737225581029088,0.9862254705219152,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,286,0.0011538322130622666,364,0.0011567536003757467,1.002531899595459,0.7910664578497429,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
C0013,集成电路与电子封装,电力电子与电机,宽泛待细分,能源电力直接相关,True,True,301,418193,0.0007203130674107911,194,337646,0.00057540803677878,180,294889,0.0006113173295762437,168,259776,0.0006477007584056952,154,242709,0.0006355827615145382,301,194,1.251830042978216,3,542,180.66666666666666,0.0006114753749202396,1.1779919469443036,1.1121078029672684,0.08203487399723874,3,4,3,675,0.0006356794779219382,12,3,1.0,401,801,269.0,1.488888888888889,0.3630010113790348,0.0006077164870962466,1.1852781398980083,1.029613602053889,0.009025456712696082,0.03678854638327207,54.06009244992296,72.39984591679506,False,False,平稳或增长证据不足,2026Q2,1.1464052601425379,1.2783778148828608,1.139471248484513,1.1982022625894648,1.1206489334769592,1.1822585150386522,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,134,0.0005416769028163172,239,0.0007600616935253534,1.4031643025087421,1.1206489334769592,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛
C0014,电池单体模组及用电器件混合,电化学储能,混杂待重分,质量限制观察,False,False,2,418193,5.972745169243707e-06,2,337646,7.395990189958612e-06,1,294889,5.080199414761028e-06,2,259776,9.609803537176486e-06,1,242709,6.170706422471244e-06,2,2,0.8075653179411708,3,5,1.6666666666666667,7.361997713965375e-06,0.8112940809413294,0.6215262514095679,0.08092806668308228,1,0,3,5,6.149644924654448e-06,0,0,0.0,4,6,1.6666666666666667,1.8749999999999998,0.0889208432132506,6.161180975169321e-06,0.9694156353002704,0.2173837255016545,0.5751673717137521,1.0,4.322033898305086,38.216486902927585,False,False,近期份额下降,2026Q2,1.9785108198169923,3.8288822083899854,1.2098002340372525,0.8106288655787494,0.5161806211512489,0.5078187042166025,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,2,1.0068343918518907e-05,2,7.933838137007865e-06,0.7879983243733855,0.5078187042166025,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛
C0015,通用机器学习与优化算法,数字技术与测量,关联基础研究,关联基础或环境研究,True,False,1576,418193,0.0037664131037250816,1149,337646,0.0034006762893429698,982,294889,0.0033275306166684728,728,259776,0.002800296750733228,695,242709,0.0028611508778858337,1576,1149,1.1075482590119667,3,2859,953.0,0.0031761678855815566,1.1858356483053007,1.1075482590119667,0.061946322420936006,3,4,3,3707,0.0034982066699121746,12,3,1.0,1481,2667,1084.0,1.3658986175115206,0.4313524483408166,0.0032032539997266674,1.175808444802213,1.1056929875099586,1.0667746954534423e-07,8.889789128778687e-07,85.462249614792,67.09167950693374,False,False,平稳或增长证据不足,2026Q2,1.2128985715401726,1.0587691671895787,1.1879232847737082,1.1188769703809884,1.2233176188913628,1.1434804081101848,1.2210591396060093,1.1296439407706378,0.7381725333182875,0.8819710612701498,883,0.0035581527408045815,1272,0.004038323611737003,1.1349494824732689,1.0587691671895787,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛
C0016,生物质能源利用与可持续性,生物质与资源循环,宽泛待细分,关联基础或环境研究,True,False,1009,418193,0.002411794499340609,766,337646,0.0022676105922413104,644,294889,0.0021827923485423215,530,259776,0.0020392003105888503,567,242709,0.002334583929834954,1009,766,1.0635840684430684,3,1940,646.6666666666666,0.0021632010837908276,1.114919235854922,1.0330725181986125,0.049883062486911545,2,4,3,2419,0.0022873991467080804,12,3,1.0,1235,2458,954.6666666666666,1.293337983955354,0.3384269505854018,0.002173776669512012,1.1094950705686013,1.028236177252497,0.0036009245403938886,0.015980434350860453,72.81972265023113,58.8135593220339,False,False,平稳或增长证据不足,2026Q2,1.1909398077435707,1.1428220141827283,1.1113456992448616,1.0755761493326845,1.0629465333728207,1.0175778260487773,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,548,0.002208994655723048,746,0.0023690440677105484,1.072453508012274,1.0175778260487773,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,未过本版数值门槛
C0017,电磁场耦合与电磁换能,电力电子与电机,宽泛待细分,能源电力直接相关,True,True,443,418193,0.0010595649930238336,390,337646,0.0011552536676715352,369,294889,0.001251422455836133,405,259776,0.001558710133730026,411,242709,0.0016928304618979448,443,390,0.917170854050984,3,1164,388.0,0.0013217954190792313,0.8016104290646818,0.6259132363650196,-0.08321121451922453,2,4,3,1202,0.0011554137055105006,12,3,1.0,475,1061,435.6666666666667,1.0900763358778625,0.2189953845966972,0.0013044900446517588,0.812244598851416,0.7280978677309368,0.9999072947753088,1.0,54.568567026194145,30.223420647149464,True,False,近期份额下降,2026Q2,0.7065852943098498,0.8207693638810849,0.7814098945507987,0.8722634570111832,0.8064204942979135,0.9166204453542217,0.7224527370846096,0.8234347854063445,0.7381725333182875,0.8819710612701498,267,0.0010773127992815229,321,0.0010202915844192114,0.947070883312312,0.7065852943098498,False,False,False,本轮尚无对应语义审阅；仅为数值候选,待专家复核,False,False,未通过或尚未完成核心范围审阅,数值通过，语义未通过或待复核
