category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter
C0001,电池与充电设施热管理,电化学储能,宽泛待细分,能源电力直接相关,True,True,24,240126,0.00010187067829239796,10,183795,5.701254275940707e-05,16,161037,0.00010222288305702178,13,150390,8.954332902198786e-05,18,134302,0.000137365697186602,24,10,1.78681169724866,3,39,13.0,8.292625161280557e-05,1.2284490895361653,0.7416020183992044,-0.001725704191369637,3,0,3,50,8.70353680362756e-05,0,0,0.0,29,67,20.666666666666668,1.3846153846153846,0.4386107552409964,7.970185453099999e-05,1.2781468999918366,0.772110128955014,0.17855786151909214,0.513097303215782,25.90909090909091,72.9930662557781,False,False,历史峰值以下的恢复或波动,2026Q2
C0002,功能传感材料与电化学检测,其他基础与关联学科,关联基础研究,关联基础或环境研究,False,False,618,240126,0.0025717148785244135,392,183795,0.002131183146006407,367,161037,0.0022767823953609395,321,150390,0.002132457798560674,237,134302,0.001763478544963134,618,392,1.206707590262016,3,1080,360.0,0.0021801411133093402,1.1796093669462913,1.1295391618296127,0.060904864076383625,3,4,3,1377,0.0023265601399639203,12,3,1.0,1123,1803,644.3333333333334,1.7417355371900825,0.6556585132008367,0.002180198830904949,1.179578138502604,1.0685803831196516,0.0004990794746108225,0.0031992274013514263,85.43913713405239,71.99922958397534,False,False,平稳或增长证据不足,2026Q2
C0003,电力电子控制与频率调节,电网与电力系统,混杂待重分,质量限制观察,False,False,223,240126,0.000929310065238814,173,183795,0.0009420643970244882,154,161037,0.0009571779049884767,150,150390,0.0009982422976154944,145,134302,0.0010803626454405726,223,173,0.9864612951875065,3,477,159.0,0.0009658281998761531,0.9621898235710845,0.860183447808713,-0.014773413655530643,3,4,3,550,0.0009428507890839262,12,3,1.0,237,581,239.0,0.9916666666666667,0.312230981425431,0.0009634844440139872,0.9645304301615927,0.8228636402438162,0.6737202265698099,1.0,56.517719568567024,49.05624036979969,False,False,近期份额下降,2026Q2
C0004,风能开发与风电技术经济,风能与水能海洋能源,宽泛待细分,能源电力直接相关,True,True,717,240126,0.002983355578563083,501,183795,0.0027230276375088233,466,161037,0.0028901196937030703,428,150390,0.002842171591549763,414,134302,0.0030777341342619747,717,501,1.095602386647982,3,1395,465.0,0.002818439640920552,1.0585132054091697,0.9693350524828477,0.015875391159746677,3,4,3,1684,0.0028655009699249923,12,3,1.0,994,1814,657.6666666666666,1.5106275303643726,0.3542309350345976,0.0028157958986838095,1.0595070402501814,0.968278905261868,0.10203403207229311,0.3318967751777865,76.22496147919877,63.03158705701078,True,False,历史峰值以下的恢复或波动,2026Q2
C0005,钙钛矿氧化物电催化,能源材料与电化学基础,方向候选,能源电力直接相关,True,True,299,240126,0.0012453170672887014,263,183795,0.0014307433349622632,253,161037,0.0015705152033306073,252,150390,0.0016747918946705138,213,134302,0.0015852743972615962,299,263,0.8703986500286912,3,768,256.0,0.0015586834776544613,0.7989544286199017,0.7435652580189349,-0.11600677525130942,1,4,3,815,0.001415525201860524,12,3,1.0,549,1050,454.3333333333333,1.2079062957540263,0.5920241452016446,0.001550655068533506,0.8030909597880007,0.7027179910973548,0.999378797083256,1.0,75.43913713405239,32.122496147919875,True,False,近期份额下降,2026Q2
C0006,电网建设与供电服务政策,能源政策与治理,宽泛待细分,能源治理与政策研究,True,False,29,240126,0.00012266061263778528,9,183795,5.1582776782320685e-05,15,161037,9.602755681114168e-05,15,150390,0.00010280900739561569,11,134302,8.538948744032017e-05,29,9,2.377937371526412,3,39,13.0,8.347311366302602e-05,1.4694625281735136,1.193092081570045,0.1223930471968444,4,0,3,53,9.009031541041587e-05,0,0,0.0,29,59,13.0,2.142857142857143,0.1994366030812145,7.970185453099999e-05,1.5389932061126195,0.9552142755056483,0.03944432734398933,0.14865952516578895,16.84129429892142,89.27580893682588,False,False,多年背景上持续抬升,2026Q2
C0007,层状电池正极与离子导体,电化学储能,混杂待重分,质量限制观察,False,False,593,240126,0.002467765206797477,579,183795,0.0031465493837215617,513,161037,0.0031813000272594353,537,150390,0.00356515106291248,514,134302,0.0038202514163517155,593,579,0.7842766490697003,3,1629,543.0,0.0032976668246311592,0.7483367295825872,0.6459693192533796,-0.12698848017288755,2,4,3,1685,0.0029318715392594916,12,3,1.0,903,1614,731.0,1.2349726775956285,0.5244294393836768,0.0032879537204623917,0.7505474275502971,0.6832310252936004,0.9999999990555736,1.0,83.65947611710325,29.114021571648692,False,False,近期份额下降,2026Q2
C0008,电极涂布与通用成形加工,制造与通用装置,混杂待重分,质量限制观察,False,False,21,240126,8.939671768516555e-05,15,183795,8.416137264483901e-05,15,161037,9.602755681114168e-05,19,150390,0.00012934036414287135,18,134302,0.000137365697186602,21,15,1.0622060320049638,3,49,16.333333333333332,0.00010317643119961736,0.8664451430017778,0.6507936079829753,-0.03577561690923403,2,0,3,51,8.986188238038208e-05,0,0,0.0,36,75,26.0,1.3703703703703705,0.2270292683800247,9.987953922239239e-05,0.8950453554467676,0.5394910967554001,0.682128355182173,1.0,17.07241910631741,48.166409861325114,False,False,历史峰值以下的恢复或波动,2026Q2
C0009,二氧化碳电还原催化,碳与环境,方向候选,能源电力直接相关,True,True,2180,240126,0.009066490368023417,1867,183795,0.010140087962208829,1493,161037,0.00925271974822194,1292,150390,0.008572944648956986,1054,134302,0.007829844739636315,2180,1867,0.894123443683466,3,4652,1550.6666666666667,0.00932191745312925,0.9725992976884719,0.894123443683466,-0.010166147700113815,0,4,3,5540,0.009486432692818063,12,3,1.0,2057,2933,1316.6666666666667,1.5618517581583606,0.669463065599819,0.009387667802670314,0.965787302938485,0.9178886701539136,0.9067775049763402,1.0,98.98305084745765,45.50077041602466,True,False,近期份额下降,2026Q2
C0010,土壤碳过程与土壤改良,碳与环境,关联基础研究,关联基础或环境研究,True,False,619,240126,0.002575872865393491,256,183795,0.0013927349731226585,221,161037,0.0013722647634624439,225,150390,0.001495705236626538,214,134302,0.0015926995700824937,619,256,1.849506844520543,3,702,234.0,0.0014202349910705468,1.8136948333119478,1.6172999062592037,0.31486298327856144,4,4,3,1096,0.001780290867326198,12,3,1.0,1137,1661,462.3333333333333,2.456115107913669,0.342099192447368,0.0014174823495703161,1.817216888925862,1.6311417461730973,1.5585774727570114e-28,8.349522175483989e-27,70.03852080123268,94.66872110939907,False,False,多年背景上持续抬升,2026Q2
