unit_id,source,rule_status,final_status,documents
U0246,paper,excluded,excluded,30
U0246,paper,pending,excluded,2
U0246,paper,pending,pending,106
U0246,paper,pending,strict,2
U0246,paper,strict,strict,422
U0246,patent,excluded,excluded,143
U0246,patent,pending,excluded,1
U0246,patent,pending,pending,30
U0246,patent,pending,strict,1
U0246,patent,strict,strict,658
U0356_KG,paper,excluded,excluded,634
U0356_KG,paper,pending,excluded,1
U0356_KG,paper,pending,pending,46
U0356_KG,paper,pending,strict,2
U0356_KG,paper,strict,strict,24
U0356_KG,patent,excluded,excluded,3513
U0356_KG,patent,pending,pending,74
U0356_KG,patent,pending,strict,4
U0356_KG,patent,strict,excluded,1
U0356_KG,patent,strict,pending,1
U0356_KG,patent,strict,strict,799
U0356_LLM,paper,excluded,excluded,1348
U0356_LLM,paper,pending,pending,224
U0356_LLM,paper,pending,strict,3
U0356_LLM,paper,strict,excluded,1
U0356_LLM,paper,strict,pending,1
U0356_LLM,paper,strict,strict,129
U0356_LLM,patent,excluded,excluded,3710
U0356_LLM,patent,pending,pending,61
U0356_LLM,patent,pending,strict,3
U0356_LLM,patent,strict,strict,563
U0650,paper,pending,excluded,1
U0650,paper,pending,pending,97
U0650,paper,pending,strict,2
U0650,paper,strict,strict,171
U0650,patent,pending,pending,1
U0650,patent,pending,strict,2
U0650,patent,strict,strict,283
